2017-11-13,Milwaukee,Horizon,A,Iowa State,W,74,56,24,50,7,19,19,28,5,29,15,11,0,10,24,16,42,3,15,21,28,6,29,5,3,2,18,24
2017-11-18,Milwaukee,Horizon,H,Florida International,W,66,51,24,50,9,17,9,11,3,33,13,5,3,13,14,19,54,5,19,8,13,5,28,7,7,5,9,15
2017-11-19,Milwaukee,Horizon,H,Elon,W,72,71,28,70,10,34,6,12,15,40,11,6,3,5,18,25,50,11,19,10,17,5,32,15,3,2,11,18
2017-11-24,Milwaukee,Horizon,A,Wisconsin,L,49,71,23,51,1,11,2,8,6,24,3,5,2,8,18,27,54,10,19,7,10,12,37,14,3,2,9,14
2017-11-29,Milwaukee,Horizon,A,Northern Illinois,W,75,62,30,52,6,18,9,13,7,36,14,5,5,17,17,26,64,5,18,5,7,8,24,7,6,4,10,16
2017-12-02,Milwaukee,Horizon,H,Montana State,L,64,68,22,52,7,26,13,20,6,33,9,9,6,14,23,22,53,9,21,15,22,9,35,10,4,5,14,18
2017-12-05,Milwaukee,Horizon,A,Jacksonville,W,62,52,25,56,7,23,5,7,6,34,20,5,5,17,14,21,55,2,13,8,12,4,28,8,9,7,13,13
2017-12-09,Milwaukee,Horizon,A,Western Illinois,L,69,90,27,68,7,26,8,9,9,31,18,8,1,13,20,31,53,16,26,12,17,2,35,24,7,4,16,11
2017-12-13,Milwaukee,Horizon,A,Belmont,L,63,82,25,65,6,22,7,9,9,29,10,6,2,8,22,25,50,14,33,18,24,5,35,13,2,1,12,11
2017-12-16,Milwaukee,Horizon,H,Loyola (IL),W,73,56,26,53,9,22,12,18,2,29,13,8,7,7,12,20,52,4,19,12,16,4,31,9,4,4,12,15
2017-12-22,Milwaukee,Horizon,H,Western Michigan,L,63,66,24,53,13,29,2,5,5,25,13,4,3,10,15,25,52,8,16,8,9,5,28,13,6,6,8,9
2017-12-28,Milwaukee,Horizon,H,Oakland,L,68,76,27,70,6,19,8,11,11,39,14,6,4,12,15,26,57,5,18,19,22,3,34,16,5,9,12,13
2017-12-30,Milwaukee,Horizon,H,Detroit,W,87,79,26,47,12,24,23,35,4,30,16,2,9,12,17,29,66,6,20,15,19,12,37,11,6,1,11,29
2018-01-04,Milwaukee,Horizon,A,Youngstown State,L,63,72,23,55,4,20,13,19,7,29,13,6,3,14,13,25,55,8,21,14,19,6,30,14,9,7,10,19
