Date,Team,Conference,Location,Opponent,Result,Points,OppponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2015-09-12,Indiana,Big Ten,H,Florida International,W,36,22,19,33,234,1,52,205,2,10,14,11,110,0,1
2015-09-19,Indiana,Big Ten,H,Western Kentucky,W,38,35,20,27,355,3,59,284,1,13,18,5,50,1,0
2015-09-26,Indiana,Big Ten,A,Wake Forest,W,31,24,19,34,205,2,52,211,1,12,13,11,119,0,0
2015-10-03,Indiana,Big Ten,H,Ohio State,L,27,34,17,36,226,0,55,176,3,11,5,7,50,0,0
2015-10-10,Indiana,Big Ten,A,Penn State,L,7,29,15,33,155,0,33,79,1,7,7,8,65,0,1
2015-10-17,Indiana,Big Ten,H,Rutgers,L,52,55,32,42,464,4,34,163,3,21,7,4,19,1,2
2015-10-24,Indiana,Big Ten,A,Michigan State,L,26,52,23,37,308,3,23,81,1,15,3,6,45,1,1
2015-11-07,Indiana,Big Ten,H,Iowa,L,27,35,16,37,180,1,39,227,2,13,11,3,35,0,1
2015-11-14,Indiana,Big Ten,H,Michigan,L,41,48,20,34,220,1,55,307,2,9,20,9,79,0,0
2015-11-21,Indiana,Big Ten,A,Maryland,W,47,28,23,35,385,4,45,170,1,15,6,7,55,1,0
2015-11-28,Indiana,Big Ten,A,Purdue,W,54,36,18,29,350,4,56,309,3,13,14,7,54,1,0
2015-12-26,Indiana,Big Ten,N,Duke,L,41,44,28,52,389,3,47,278,2,16,14,7,54,1,2
2015-09-05,Florida State,ACC,H,Texas State,W,59,16,25,32,370,5,41,266,3,16,14,5,35,1,0
2015-09-12,Florida State,ACC,H,South Florida,W,34,14,14,26,163,1,46,278,3,10,10,7,50,0,0
2015-09-18,Florida State,ACC,A,Boston College,W,14,0,15,24,119,1,33,98,0,7,5,4,26,0,0
2015-10-03,Florida State,ACC,A,Wake Forest,W,24,16,20,31,202,1,21,127,2,7,6,10,100,0,0
2015-10-10,Florida State,ACC,H,Miami (FL),W,29,24,25,33,291,1,36,248,2,13,10,7,43,0,0
