2012-11-18,NC State,ACC,N,Oklahoma State,L,56,76,22,62,4,14,8,16,10,27,7,9,1,12,21,24,57,8,22,20,24,12,42,14,6,8,13,16
2012-11-23,NC State,ACC,H,UNC Asheville,W,82,80,29,52,3,9,21,32,10,34,10,5,4,19,13,32,64,8,19,8,9,6,19,15,14,4,12,22
2012-11-27,NC State,ACC,A,Michigan,L,72,79,32,56,2,8,6,9,8,30,14,5,5,13,18,27,54,9,24,16,20,6,22,14,3,4,6,9
2012-12-04,NC State,ACC,N,UConn,W,69,65,26,55,4,9,13,21,15,36,12,6,3,12,11,25,62,8,23,7,11,13,28,10,9,5,10,17
2012-12-08,NC State,ACC,H,Cleveland State,W,80,63,29,53,4,11,18,23,9,28,15,6,7,12,10,25,57,7,21,6,10,13,27,9,3,0,18,19
2012-12-15,NC State,ACC,H,Norfolk State,W,84,62,31,54,4,11,18,28,9,41,21,12,7,17,19,21,64,3,16,17,23,13,28,10,9,1,16,21
2012-12-18,NC State,ACC,H,Stanford,W,88,79,32,57,5,15,19,27,10,33,12,3,11,10,12,34,75,7,25,4,6,13,31,19,5,3,6,21
2012-12-22,NC State,ACC,H,St. Bonaventure,W,92,73,32,56,6,14,22,35,7,34,21,8,8,12,19,26,64,8,25,13,21,13,37,12,6,4,14,24
2012-12-29,NC State,ACC,H,Western Michigan,W,84,68,30,55,4,11,20,28,10,31,17,10,6,8,13,24,67,4,16,16,17,20,36,10,3,2,12,19
2012-12-31,NC State,ACC,H,UNC Greensboro,W,89,68,32,60,8,18,17,22,10,34,19,5,3,11,10,29,67,2,17,8,13,15,33,8,9,2,10,16
2013-01-05,NC State,ACC,A,Boston College,W,78,73,24,50,5,13,25,35,9,31,14,6,2,7,20,21,51,7,22,24,37,6,29,11,3,1,7,24
2013-01-09,NC State,ACC,H,Georgia Tech,W,83,70,28,55,7,16,20,29,8,38,16,4,8,12,16,27,73,4,18,12,16,12,33,8,5,2,7,20
2013-01-12,NC State,ACC,H,Duke,W,84,76,30,59,4,8,20,23,9,33,13,4,4,11,13,30,67,6,20,10,12,12,31,10,6,4,12,20
2013-01-16,NC State,ACC,A,Maryland,L,50,51,19,61,5,16,7,12,11,37,10,4,4,11,9,21,61,3,18,6,8,8,37,10,4,3,13,13
2013-01-20,NC State,ACC,H,Clemson,W,66,62,23,51,6,12,14,23,9,34,14,3,3,9,12,26,64,5,19,5,7,11,32,11,4,2,6,17
2013-01-22,NC State,ACC,A,Wake Forest,L,84,86,34,70,2,9,14,25,17,40,19,8,6,13,23,31,63,4,10,20,33,16,40,13,8,9,12,21
2013-01-26,NC State,ACC,H,UNC,W,91,83,32,65,7,13,20,23,8,36,22,9,3,16,9,33,71,8,22,9,10,8,29,21,6,4,14,16
2013-01-29,NC State,ACC,A,Virginia,L,55,58,20,53,6,15,9,13,7,33,10,5,2,14,12,22,54,4,16,10,15,5,30,13,4,4,8,14
2013-02-02,NC State,ACC,H,Miami (FL),L,78,79,28,52,4,9,18,21,8,29,11,5,3,12,17,30,61,3,21,16,23,11,26,9,10,2,8,16
2013-02-07,NC State,ACC,A,Duke,L,85,98,35,66,4,9,11,19,9,27,12,2,1,7,22,28,52,10,24,32,41,6,30,18,3,4,7,21
2013-02-10,NC State,ACC,A,Clemson,W,58,57,23,61,6,16,6,10,9,34,8,5,6,12,12,22,57,6,17,7,10,7,32,10,5,9,16,12
2013-02-16,NC State,ACC,H,Virginia Tech,W,90,86,26,55,7,18,31,43,10,36,13,8,4,12,12,35,80,11,23,5,7,17,37,13,5,3,14,28
2013-02-19,NC State,ACC,H,Florida State,W,84,66,27,59,5,8,25,31,18,39,15,9,5,14,17,22,51,6,18,16,20,5,18,10,6,5,14,19
2013-02-23,NC State,ACC,A,UNC,L,65,76,27,61,5,16,6,13,13,39,16,4,6,16,17,28,64,9,21,11,16,9,32,19,9,5,9,12
2013-02-27,NC State,ACC,H,Boston College,W,82,64,33,59,7,17,9,14,14,38,19,8,6,13,18,21,54,7,21,15,19,10,24,9,5,2,10,10
2013-03-03,NC State,ACC,A,Georgia Tech,W,70,57,24,56,1,11,21,30,8,32,12,12,3,10,13,22,64,4,18,9,12,15,35,12,3,5,15,23
2013-03-06,NC State,ACC,H,Wake Forest,W,81,66,31,64,7,18,12,16,13,34,17,10,6,14,13,28,60,4,18,6,9,9,29,9,5,3,15,14
2013-03-09,NC State,ACC,A,Florida State,L,67,71,21,45,4,13,21,33,13,26,10,7,1,14,22,23,50,3,14,22,29,12,27,10,6,3,13,22
2013-03-14,NC State,ACC,N,Virginia Tech,W,80,63,28,53,5,16,19,26,8,36,18,5,2,12,12,25,60,4,18,9,11,4,21,10,5,3,9,21
2013-03-15,NC State,ACC,N,Virginia,W,75,56,27,59,8,16,13,16,9,38,16,7,3,10,13,21,54,5,20,9,15,3,26,15,7,4,10,15
2013-03-16,NC State,ACC,N,Miami (FL),L,71,81,25,50,7,16,14,25,7,25,14,10,5,14,22,26,57,6,20,23,30,13,35,10,6,4,11,19
2013-03-22,NC State,ACC,N,Temple,L,72,76,29,52,4,13,10,16,7,34,14,3,2,13,24,24,50,7,18,21,33,4,22,13,5,4,5,15
2012-11-09,Iowa State,Big 12,H,Southern,W,82,59,30,68,7,21,15,28,20,57,12,8,9,21,17,20,66,5,25,14,16,5,29,12,9,2,16,26
