Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2009-09-12,North Carolina,ACC,Butch Davis,A,Connecticut,Big East,Randy Edsall,W,12,10,23,32,233,1,38,35,0,12,4,5,30,0,2
2009-09-19,North Carolina,ACC,Butch Davis,H,East Carolina,CUSA,Skip Holtz,W,31,17,21,26,285,2,37,148,2,11,9,6,56,1,0
2009-09-26,North Carolina,ACC,Butch Davis,A,Georgia Tech,ACC,Paul Johnson,L,7,24,11,26,137,1,18,17,0,5,2,2,9,1,2
2009-10-03,North Carolina,ACC,Butch Davis,H,Virginia,ACC,Al Groh,L,3,16,20,36,135,0,23,39,0,7,2,4,55,1,2
2009-10-22,North Carolina,ACC,Butch Davis,H,Florida State,ACC,Bobby Bowden,L,27,30,13,27,95,1,41,238,2,4,13,7,59,0,1
2009-10-29,North Carolina,ACC,Butch Davis,A,Virginia Tech,ACC,Frank Beamer,W,20,17,18,29,131,2,42,181,0,7,9,6,30,0,1
2009-11-07,North Carolina,ACC,Butch Davis,H,Duke,ACC,David Cutcliffe,W,19,6,16,28,119,0,51,192,1,9,11,11,120,0,1
2009-11-14,North Carolina,ACC,Butch Davis,H,Miami (FL),ACC,Randy Shannon,W,33,24,17,31,213,1,32,116,0,9,8,3,35,0,0
2009-11-21,North Carolina,ACC,Butch Davis,A,Boston College,ACC,Frank Spaziani,W,31,13,23,34,182,0,38,96,2,13,4,4,37,1,3
2009-11-28,North Carolina,ACC,Butch Davis,A,North Carolina State,ACC,Tom O'Brien,L,27,28,14,20,322,2,34,159,1,8,7,10,122,1,1
2009-12-26,North Carolina,ACC,Butch Davis,N,Pitt,Big East,Dave Wannstedt,L,17,19,19,33,183,2,29,81,0,7,10,8,78,1,1
2009-09-05,Miami (OH),MAC,Michael Haywood,N,Kentucky,SEC,Rich Brooks,L,0,42,13,34,126,0,22,62,0,7,3,5,40,0,2
2009-09-12,Miami (OH),MAC,Michael Haywood,A,Boise State,WAC,Chris Petersen,L,0,48,23,39,156,0,26,38,0,10,2,6,40,0,4
2009-09-19,Miami (OH),MAC,Michael Haywood,A,Western Michigan,MAC,Bill Cubit,L,26,48,28,49,362,3,26,59,1,19,5,10,77,4,1
2009-09-26,Miami (OH),MAC,Michael Haywood,A,Kent State,MAC,Doug Martin,L,19,29,31,53,337,1,38,215,1,12,14,11,99,3,2
2009-10-03,Miami (OH),MAC,Michael Haywood,H,Cincinnati,Big East,Jeff Quinn,L,13,37,33,47,286,1,35,30,1,16,4,4,35,0,2
2009-10-10,Miami (OH),MAC,Michael Haywood,A,Northwestern,Big Ten,Pat Fitzgerald,L,6,16,17,37,176,1,42,126,0,7,11,9,67,1,3
2009-10-17,Miami (OH),MAC,Michael Haywood,A,Ohio,MAC,Frank Solich,L,7,28,19,30,166,0,30,52,1,9,4,7,59,2,2
2009-10-24,Miami (OH),MAC,Michael Haywood,H,Northern Illinois,MAC,Jerry Kill,L,22,27,27,38,348,3,27,-11,0,13,4,6,50,0,0
2009-10-31,Miami (OH),MAC,Michael Haywood,H,Toledo,MAC,Tim Beckman,W,31,24,31,51,344,1,22,92,2,18,8,4,33,1,0
2009-11-05,Miami (OH),MAC,Michael Haywood,A,Temple,MAC,Al Golden,L,32,34,31,51,426,3,22,52,1,19,4,6,40,1,1
2009-11-12,Miami (OH),MAC,Michael Haywood,H,Bowling Green State,MAC,Dave Clawson,L,14,35,29,48,259,0,27,36,2,15,2,4,35,2,3
2009-11-18,Miami (OH),MAC,Michael Haywood,H,Buffalo,MAC,Turner Gill,L,17,42,35,57,295,2,35,90,0,14,12,3,30,1,1
2009-09-12,Indiana,Big Ten,Bill Lynch,H,Western Michigan,MAC,Bill Cubit,W,23,19,18,29,185,0,33,187,2,10,5,13,106,0,0
2009-09-19,Indiana,Big Ten,Bill Lynch,A,Akron,MAC,J.D. Brookhart,W,38,21,20,31,175,2,46,180,2,11,11,4,45,1,1
2009-09-26,Indiana,Big Ten,Bill Lynch,A,Michigan,Big Ten,Rich Rodriguez,L,33,36,21,38,270,0,33,197,3,12,7,6,50,0,1
2009-10-03,Indiana,Big Ten,Bill Lynch,H,Ohio State,Big Ten,Jim Tressel,L,14,33,20,34,210,2,26,18,0,10,1,9,87,1,2
2009-10-10,Indiana,Big Ten,Bill Lynch,A,Virginia,ACC,Al Groh,L,7,47,23,36,190,0,29,82,1,10,4,5,57,1,1
2009-10-17,Indiana,Big Ten,Bill Lynch,H,Illinois,Big Ten,Ron Zook,W,27,14,23,40,333,3,31,149,0,16,7,5,30,1,0
2009-10-24,Indiana,Big Ten,Bill Lynch,A,Northwestern,Big Ten,Pat Fitzgerald,L,28,29,17,29,172,0,27,133,3,7,6,3,32,0,0
2009-10-31,Indiana,Big Ten,Bill Lynch,A,Iowa,Big Ten,Kirk Ferentz,L,24,42,23,41,227,2,27,79,1,7,5,6,62,0,3
2009-11-07,Indiana,Big Ten,Bill Lynch,H,Wisconsin,Big Ten,Bret Bielema,L,28,31,25,35,323,3,26,63,1,11,5,4,27,0,2
2009-11-14,Indiana,Big Ten,Bill Lynch,A,Penn State,Big Ten,Joe Paterno,L,20,31,32,52,298,2,24,48,0,15,4,3,39,0,1
2009-11-21,Indiana,Big Ten,Bill Lynch,H,Purdue,Big Ten,Danny Hope,L,21,38,23,39,266,2,36,196,1,15,8,4,20,2,2
2009-09-07,Florida State,ACC,Bobby Bowden,H,Miami (FL),ACC,Randy Shannon,L,34,38,24,41,294,2,30,110,1,11,7,5,35,1,1
2009-09-19,Florida State,ACC,Bobby Bowden,A,Brigham Young,MWC,Bronco Mendenhall,W,54,28,22,28,199,2,49,313,4,8,18,9,73,0,0
2009-09-26,Florida State,ACC,Bobby Bowden,H,South Florida,Big East,Jim Leavitt,L,7,17,25,37,269,0,27,19,1,11,3,7,85,4,0
2009-10-03,Florida State,ACC,Bobby Bowden,A,Boston College,ACC,Frank Spaziani,L,21,28,29,42,340,0,29,71,2,16,6,9,79,1,0
2009-10-10,Florida State,ACC,Bobby Bowden,H,Georgia Tech,ACC,Paul Johnson,L,44,49,26,36,359,5,30,180,1,16,10,6,65,2,0
2009-10-22,Florida State,ACC,Bobby Bowden,A,North Carolina,ACC,Butch Davis,W,30,27,33,40,395,3,25,43,0,12,8,16,121,1,0
2009-10-31,Florida State,ACC,Bobby Bowden,H,North Carolina State,ACC,Tom O'Brien,W,45,42,26,40,277,1,33,278,5,11,15,7,76,0,2
2009-11-07,Florida State,ACC,Bobby Bowden,A,Clemson,ACC,Dabo Swinney,L,24,40,21,35,264,1,36,128,1,10,9,7,39,1,4
2009-11-14,Florida State,ACC,Bobby Bowden,A,Wake Forest,ACC,Jim Grobe,W,41,28,15,20,220,1,43,217,3,10,12,6,75,0,1
2009-11-21,Florida State,ACC,Bobby Bowden,H,Maryland,ACC,Ralph Friedgen,W,29,26,17,27,206,0,24,198,4,11,7,0,0,0,3
2009-11-28,Florida State,ACC,Bobby Bowden,A,Florida,SEC,Urban Meyer,L,10,37,19,32,198,1,24,83,0,10,4,5,45,0,2
2010-01-01,Florida State,ACC,Bobby Bowden,N,West Virginia,Big East,Bill Stewart,W,33,21,17,24,189,0,46,226,3,9,15,7,69,0,0
2009-09-12,Iowa State,Big 12,Paul Rhoads,H,Iowa,Big Ten,Kirk Ferentz,L,3,35,13,31,113,0,34,190,0,5,10,9,79,1,5
2009-09-19,Iowa State,Big 12,Paul Rhoads,A,Kent State,MAC,Doug Martin,W,34,14,16,28,170,1,42,234,3,9,7,8,85,3,1
2009-09-26,Iowa State,Big 12,Paul Rhoads,H,Army,Ind,Rich Ellerson,W,31,10,10,19,173,1,44,203,3,8,10,2,30,0,0
2009-10-03,Iowa State,Big 12,Paul Rhoads,A,Kansas State,Big 12,Bill Snyder,L,23,24,13,27,164,2,41,207,1,10,9,5,65,2,0
2009-10-10,Iowa State,Big 12,Paul Rhoads,A,Kansas,Big 12,Mark Mangino,L,36,41,25,41,293,2,43,219,3,11,14,1,6,0,0
2009-10-17,Iowa State,Big 12,Paul Rhoads,H,Baylor,Big 12,Art Briles,W,24,10,25,36,214,1,46,240,2,13,13,10,79,0,1
2009-10-24,Iowa State,Big 12,Paul Rhoads,A,Nebraska,Big 12,Bo Pelini,W,9,7,9,19,102,1,48,137,0,4,7,8,72,0,0
2009-10-31,Iowa State,Big 12,Paul Rhoads,A,Texas A&M,Big 12,Mike Sherman,L,10,35,18,27,155,0,34,169,1,9,10,3,28,0,2
2009-11-07,Iowa State,Big 12,Paul Rhoads,H,Oklahoma State,Big 12,Mike Gundy,L,8,34,14,28,188,1,26,54,0,9,4,3,35,0,3
2009-11-14,Iowa State,Big 12,Paul Rhoads,H,Colorado,Big 12,Dan Hawkins,W,17,10,12,26,116,2,46,194,0,7,8,7,64,1,1
2009-11-21,Iowa State,Big 12,Paul Rhoads,A,Missouri,Big 12,Gary Pinkel,L,24,34,29,41,259,2,28,77,1,11,8,6,39,0,2
2009-12-31,Iowa State,Big 12,Paul Rhoads,N,Minnesota,Big Ten,Tim Brewster,W,14,13,19,26,216,1,44,212,1,11,11,8,56,2,2
2009-09-07,Cincinnati,Big East,Jeff Quinn,A,Rutgers,Big East,Greg Schiano,W,47,15,29,36,396,3,34,168,3,16,10,2,20,0,1
2009-09-19,Cincinnati,Big East,Jeff Quinn,A,Oregon State,Pac-10,Mike Riley,W,28,18,31,49,332,2,23,76,2,14,3,6,51,0,1
2009-09-26,Cincinnati,Big East,Jeff Quinn,H,Fresno State,WAC,Pat Hill,W,28,20,18,26,300,3,16,57,1,11,4,2,9,0,0
2009-10-03,Cincinnati,Big East,Jeff Quinn,A,Miami (OH),MAC,Michael Haywood,W,37,13,23,42,270,2,19,164,3,13,8,7,85,0,1
2009-10-15,Cincinnati,Big East,Jeff Quinn,A,South Florida,Big East,Jim Leavitt,W,34,17,16,32,212,2,37,189,2,8,9,9,63,0,1
2009-10-24,Cincinnati,Big East,Jeff Quinn,H,Louisville,Big East,Steve Kragthorpe,W,41,10,19,23,286,3,34,182,2,14,7,5,50,0,0
2009-10-31,Cincinnati,Big East,Jeff Quinn,A,Syracuse,Big East,Doug Marrone,W,28,7,22,29,295,4,34,127,0,12,7,6,44,0,0
2009-11-07,Cincinnati,Big East,Jeff Quinn,H,Connecticut,Big East,Randy Edsall,W,47,45,29,37,480,1,36,231,4,18,8,7,73,0,0
2009-11-13,Cincinnati,Big East,Jeff Quinn,H,West Virginia,Big East,Bill Stewart,W,24,21,19,28,221,2,30,216,1,8,10,4,39,1,1
2009-11-27,Cincinnati,Big East,Jeff Quinn,H,Illinois,Big Ten,Ron Zook,W,49,36,32,46,399,6,15,21,0,15,2,5,35,1,0
2009-12-05,Cincinnati,Big East,Jeff Quinn,A,Pitt,Big East,Dave Wannstedt,W,45,44,22,44,302,3,18,69,2,13,2,4,40,0,3
2010-01-01,Cincinnati,Big East,Jeff Quinn,N,Florida,SEC,Urban Meyer,L,24,51,27,45,170,3,23,76,0,9,6,3,40,0,0
2009-09-19,Arizona State,Pac-10,Dennis Erickson,H,Louisiana-Monroe,Sun Belt,Charlie Weatherbie,W,38,14,19,32,220,1,35,107,3,8,6,12,111,0,0
2009-09-26,Arizona State,Pac-10,Dennis Erickson,A,Georgia,SEC,Mark Richt,L,17,20,10,32,116,1,28,88,0,6,5,8,74,0,1
2009-10-03,Arizona State,Pac-10,Dennis Erickson,H,Oregon State,Pac-10,Mike Riley,L,17,28,32,58,338,1,31,68,1,20,4,10,80,1,1
2009-10-10,Arizona State,Pac-10,Dennis Erickson,A,Washington State,Pac-10,Paul Wulff,W,27,14,22,33,190,1,37,220,3,7,14,6,70,3,3
2009-10-17,Arizona State,Pac-10,Dennis Erickson,H,Washington,Pac-10,Steve Sarkisian,W,24,17,22,36,295,2,27,169,1,12,7,9,99,1,0
2009-10-24,Arizona State,Pac-10,Dennis Erickson,A,Stanford,Pac-10,Jim Harbaugh,L,14,33,13,30,161,2,25,129,0,8,6,10,90,1,0
2009-10-31,Arizona State,Pac-10,Dennis Erickson,H,California,Pac-10,Jeff Tedford,L,21,23,17,30,247,2,26,82,1,9,4,11,123,1,2
2009-11-07,Arizona State,Pac-10,Dennis Erickson,H,USC,Pac-10,Pete Carroll,L,9,14,23,50,266,1,33,81,0,13,7,9,75,1,3
2009-11-14,Arizona State,Pac-10,Dennis Erickson,A,Oregon,Pac-10,Chip Kelly,L,21,44,18,32,127,1,38,84,2,7,4,9,82,0,1
2009-11-21,Arizona State,Pac-10,Dennis Erickson,A,UCLA,Pac-10,Rick Neuheisel,L,13,23,15,22,197,2,33,118,0,5,10,9,62,5,1
2009-11-28,Arizona State,Pac-10,Dennis Erickson,H,Arizona,Pac-10,Mike Stoops,L,17,20,17,33,217,2,30,86,0,8,6,10,83,1,0
2009-09-03,Utah,MWC,Kyle Whittingham,H,Utah State,WAC,Gary Andersen,W,35,17,20,30,286,2,50,233,2,12,14,5,37,2,1
2009-09-12,Utah,MWC,Kyle Whittingham,A,San Jose State,WAC,Dick Tomey,W,24,14,18,32,248,1,40,251,2,10,12,11,69,2,0
2009-09-19,Utah,MWC,Kyle Whittingham,A,Oregon,Pac-10,Chip Kelly,L,24,31,20,42,178,1,33,119,1,8,6,10,100,0,2
2009-09-26,Utah,MWC,Kyle Whittingham,H,Louisville,Big East,Steve Kragthorpe,W,30,14,17,22,202,2,42,214,1,9,9,9,100,0,1
2009-10-10,Utah,MWC,Kyle Whittingham,A,Colorado State,MWC,Steve Fairchild,W,24,17,24,32,248,2,40,209,1,9,13,5,70,1,1
2009-10-17,Utah,MWC,Kyle Whittingham,A,Nevada-Las Vegas,MWC,Mike Sanford,W,35,15,17,24,174,2,31,153,2,8,5,10,110,2,0
2009-10-24,Utah,MWC,Kyle Whittingham,H,Air Force,MWC,Troy Calhoun,W,23,16,11,21,167,1,30,100,2,4,4,5,35,2,0
2009-10-31,Utah,MWC,Kyle Whittingham,H,Wyoming,MWC,Dave Christensen,W,22,10,20,28,211,1,38,152,1,11,8,7,51,0,0
2009-11-07,Utah,MWC,Kyle Whittingham,H,New Mexico,MWC,Mike Locksley,W,45,14,19,31,306,2,47,251,4,12,15,4,34,1,1
2009-11-14,Utah,MWC,Kyle Whittingham,A,Texas Christian,MWC,Gary Patterson,L,28,55,16,32,219,1,27,65,3,7,2,14,110,1,1
2009-11-21,Utah,MWC,Kyle Whittingham,H,San Diego State,MWC,Brady Hoke,W,38,7,15,29,202,1,42,189,3,7,13,4,36,0,0
2009-11-28,Utah,MWC,Kyle Whittingham,A,Brigham Young,MWC,Bronco Mendenhall,L,23,26,22,45,201,0,30,97,1,8,8,12,113,0,1
2009-12-23,Utah,MWC,Kyle Whittingham,N,California,Pac-10,Jeff Tedford,W,37,27,26,37,338,3,35,51,0,13,6,5,35,0,1
2009-09-05,Syracuse,Big East,Doug Marrone,H,Minnesota,Big Ten,Tim Brewster,L,20,23,19,31,167,1,34,90,1,6,7,8,68,1,1
2009-09-12,Syracuse,Big East,Doug Marrone,A,Penn State,Big Ten,Joe Paterno,L,7,28,18,25,135,1,29,65,0,8,4,3,13,0,2
2009-09-19,Syracuse,Big East,Doug Marrone,H,Northwestern,Big Ten,Pat Fitzgerald,W,37,34,24,36,346,2,32,125,2,13,9,6,64,1,1
2009-10-03,Syracuse,Big East,Doug Marrone,H,South Florida,Big East,Jim Leavitt,L,20,34,25,46,269,2,30,75,0,16,4,4,44,2,5
2009-10-10,Syracuse,Big East,Doug Marrone,H,West Virginia,Big East,Bill Stewart,L,13,34,12,25,150,2,24,72,0,7,2,7,55,1,1
2009-10-24,Syracuse,Big East,Doug Marrone,H,Akron,MAC,J.D. Brookhart,W,28,14,12,18,105,1,46,234,3,6,12,4,30,2,0
2009-10-31,Syracuse,Big East,Doug Marrone,H,Cincinnati,Big East,Jeff Quinn,L,7,28,19,27,182,1,29,101,0,9,6,7,55,1,1
2009-11-07,Syracuse,Big East,Doug Marrone,A,Pitt,Big East,Dave Wannstedt,L,10,37,17,34,141,0,32,144,1,6,7,5,30,0,3
2009-11-14,Syracuse,Big East,Doug Marrone,A,Louisville,Big East,Steve Kragthorpe,L,9,10,14,21,110,0,47,156,1,8,10,9,65,1,1
2009-11-21,Syracuse,Big East,Doug Marrone,H,Rutgers,Big East,Greg Schiano,W,31,13,17,22,211,1,51,213,3,13,10,4,40,0,0
