Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2006-09-02,North Carolina,ACC,John Bunting,H,Rutgers,Big East,Greg Schiano,L,16,21,24,36,234,1,32,169,1,12,10,8,60,1,2
2006-09-09,North Carolina,ACC,John Bunting,H,Virginia Tech,ACC,Frank Beamer,L,10,35,19,38,179,1,31,89,0,12,4,1,10,1,4
2006-09-23,North Carolina,ACC,John Bunting,A,Clemson,ACC,Tommy Bowden,L,7,52,7,23,96,0,22,54,1,5,3,9,65,1,1
2006-10-07,North Carolina,ACC,John Bunting,A,Miami (FL),ACC,Larry Coker,L,7,27,13,36,186,0,28,58,1,10,4,5,45,1,2
2006-10-14,North Carolina,ACC,John Bunting,H,South Florida,Big East,Jim Leavitt,L,20,37,9,26,117,1,39,168,1,6,10,10,87,0,2
2006-10-19,North Carolina,ACC,John Bunting,A,Virginia,ACC,Al Groh,L,0,23,9,20,84,0,33,98,0,4,7,8,64,2,1
2006-10-28,North Carolina,ACC,John Bunting,H,Wake Forest,ACC,Jim Grobe,L,17,24,19,30,236,1,40,134,1,11,7,3,15,1,2
2006-11-04,North Carolina,ACC,John Bunting,A,Notre Dame,Ind,Charlie Weis,L,26,45,14,24,213,3,25,31,0,7,3,5,56,0,0
2006-11-11,North Carolina,ACC,John Bunting,H,Georgia Tech,ACC,Chan Gailey,L,0,7,13,34,156,0,23,55,0,8,4,7,54,0,2
2006-11-18,North Carolina,ACC,John Bunting,H,North Carolina State,ACC,Chuck Amato,W,23,9,8,15,137,0,41,123,1,7,7,5,60,1,0
2006-11-25,North Carolina,ACC,John Bunting,A,Duke,ACC,Ted Roof,W,45,44,20,31,253,2,32,200,2,10,8,6,75,2,1
2006-08-31,Miami (OH),MAC,Shane Montgomery,H,Northwestern,Big Ten,Pat Fitzgerald,L,3,21,16,26,175,0,29,72,0,9,3,4,50,0,0
2006-09-09,Miami (OH),MAC,Shane Montgomery,A,Purdue,Big Ten,Joe Tiller,L,31,38,31,46,386,4,37,97,0,17,6,6,66,0,2
2006-09-16,Miami (OH),MAC,Shane Montgomery,H,Kent State,MAC,Doug Martin,L,14,16,20,35,167,0,41,130,2,10,9,10,86,1,1
2006-09-23,Miami (OH),MAC,Shane Montgomery,A,Syracuse,Big East,Greg Robinson,L,14,34,25,39,241,2,29,31,0,12,4,3,21,0,1
2006-09-30,Miami (OH),MAC,Shane Montgomery,A,Cincinnati,Big East,Brian Kelly,L,10,24,21,48,190,0,25,36,0,10,3,4,32,1,2
2006-10-08,Miami (OH),MAC,Shane Montgomery,H,Northern Illinois,MAC,Joe Novak,L,25,28,22,30,372,1,26,97,2,12,5,7,80,1,1
2006-10-15,Miami (OH),MAC,Shane Montgomery,A,Buffalo,MAC,Turner Gill,W,38,31,17,28,167,1,41,93,4,8,7,10,100,2,1
2006-10-21,Miami (OH),MAC,Shane Montgomery,A,Akron,MAC,J.D. Brookhart,L,13,24,21,47,263,1,30,57,0,15,3,8,64,0,0
2006-10-28,Miami (OH),MAC,Shane Montgomery,H,Ball State,MAC,Brady Hoke,L,17,20,20,35,226,1,36,133,1,9,9,8,79,1,1
2006-11-04,Miami (OH),MAC,Shane Montgomery,A,Western Michigan,MAC,Bill Cubit,L,24,27,16,26,282,2,29,93,1,13,1,2,20,2,1
2006-11-15,Miami (OH),MAC,Shane Montgomery,A,Bowling Green State,MAC,Gregg Brandon,W,9,7,12,24,130,1,37,73,0,6,6,4,31,1,0
2006-11-24,Miami (OH),MAC,Shane Montgomery,H,Ohio,MAC,Frank Solich,L,24,34,20,36,180,2,26,128,1,10,6,3,27,2,1
2006-09-02,Indiana,Big Ten,Terry Hoeppner,H,Western Michigan,MAC,Bill Cubit,W,39,20,20,35,252,2,28,71,1,10,5,8,90,1,1
2006-09-09,Indiana,Big Ten,Terry Hoeppner,A,Ball State,MAC,Brady Hoke,W,24,23,16,33,226,1,29,147,1,9,8,9,74,0,0
2006-09-23,Indiana,Big Ten,Terry Hoeppner,H,Connecticut,Big East,Randy Edsall,L,7,14,20,43,192,0,27,0,0,7,3,4,15,1,3
2006-09-30,Indiana,Big Ten,Terry Hoeppner,H,Wisconsin,Big Ten,Bret Bielema,L,17,52,13,30,113,0,33,167,1,5,8,4,37,2,0
2006-10-07,Indiana,Big Ten,Terry Hoeppner,A,Illinois,Big Ten,Ron Zook,W,34,32,20,41,240,0,33,149,3,13,7,4,35,1,0
2006-10-14,Indiana,Big Ten,Terry Hoeppner,H,Iowa,Big Ten,Kirk Ferentz,W,31,28,19,25,255,3,42,158,1,13,7,6,55,2,0
2006-10-21,Indiana,Big Ten,Terry Hoeppner,A,Ohio State,Big Ten,Jim Tressel,L,3,44,20,35,158,0,28,7,0,8,6,5,30,0,2
