Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1933-09-30,North Carolina,Southern,Chuck Collins,H,Davidson,Ind,,W,6,0
1933-10-07,North Carolina,Southern,Chuck Collins,A,Vanderbilt,SEC,Dan McGugin,L,13,20
1933-10-14,North Carolina,Southern,Chuck Collins,H,Georgia,SEC,Harry Mehre,L,0,30
1933-10-21,North Carolina,Southern,Chuck Collins,A,Florida,SEC,Dutch Stanley,L,0,9
1933-10-28,North Carolina,Southern,Chuck Collins,H,Georgia Tech,SEC,William Alexander,L,6,10
1933-11-04,North Carolina,Southern,Chuck Collins,A,North Carolina State,Southern,,W,6,0
1933-11-11,North Carolina,Southern,Chuck Collins,H,Wake Forest,Ind,Jim Weaver,W,26,0
1933-11-18,North Carolina,Southern,Chuck Collins,A,Duke,Southern,Wallace Wade,L,0,21
1933-11-30,North Carolina,Southern,Chuck Collins,H,Virginia,Southern,Fred Dawson,W,14,0
1933-10-07,Indiana,Western,Billy Hayes,A,Minnesota,Western,Bernie Bierman,T,6,6
1933-10-14,Indiana,Western,Billy Hayes,H,Notre Dame,Ind,Hunk Anderson,L,2,12
1933-10-21,Indiana,Western,Billy Hayes,A,Northwestern,Western,Dick Hanley,L,0,25
1933-11-04,Indiana,Western,Billy Hayes,A,Ohio State,Western,Sam Willaman,L,0,21
1933-11-11,Indiana,Western,Billy Hayes,A,Chicago,Western,Clark Shaughnessy,T,7,7
1933-11-25,Indiana,Western,Billy Hayes,H,Purdue,Western,Noble Kizer,L,3,19
1933-09-29,Iowa State,Big 6,George Veenker,A,Denver,RMC,Percy Locey,W,18,13
1933-10-14,Iowa State,Big 6,George Veenker,H,Nebraska,Big 6,Dana Bible,L,0,20
1933-10-21,Iowa State,Big 6,George Veenker,A,Oklahoma,Big 6,Lewie Hardage,L,7,19
1933-10-28,Iowa State,Big 6,George Veenker,H,Missouri,Big 6,Frank Carideo,W,14,7
1933-11-04,Iowa State,Big 6,George Veenker,A,Iowa,Western,Ossie Solem,L,7,27
1933-11-11,Iowa State,Big 6,George Veenker,H,Kansas State,Big 6,Bo McMillin,L,0,7
1933-11-18,Iowa State,Big 6,George Veenker,A,Kansas,Big 6,Adrian Lindsey,L,6,20
1933-11-25,Iowa State,Big 6,George Veenker,A,Drake,MVC,Vee Green,T,7,7
1933-10-14,Fordham,Ind,Jimmy Crowley,H,West Virginia,Ind,Greasy Neale,W,20,0
1933-10-28,Fordham,Ind,Jimmy Crowley,H,Alabama,SEC,Frank Thomas,W,2,0
1933-11-04,Fordham,Ind,Jimmy Crowley,H,Saint Mary's (CA),Ind,Slip Madigan,L,6,13
1933-11-11,Fordham,Ind,Jimmy Crowley,N,New York University,Ind,Howard Cann,W,20,12
1933-11-18,Fordham,Ind,Jimmy Crowley,H,Oregon State,PCC,Lon Stiner,L,6,9
1933-10-21,Arizona State,BIAA,Rudy Lavik,A,New Mexico,BIAA,,W,26,13
1933-10-28,Arizona State,BIAA,Rudy Lavik,A,Northern Arizona,BIAA,Mark McIntosh,L,0,13
1933-11-11,Arizona State,BIAA,Rudy Lavik,H,New Mexico State,BIAA,Gerald Hines,W,19,7
1933-11-18,Arizona State,BIAA,Rudy Lavik,H,Arizona,BIAA,Tex Oliver,L,7,26
1933-11-25,Arizona State,BIAA,Rudy Lavik,H,Northern Arizona,BIAA,Mark McIntosh,L,0,6
1933-09-30,Furman,Ind,,A,Richmond,Ind,Frank Dobson,W,14,6
1933-10-14,Furman,Ind,,H,Citadel,Ind,Tatum Gressette,W,14,0
1933-10-28,Furman,Ind,,H,Mercer,Ind,,T,6,6
1933-11-04,Furman,Ind,,H,Wofford,Ind,Tommy Scaffe,W,38,0
1933-11-11,Furman,Ind,,A,Bucknell,Ind,Carl Snavely,L,0,12
1933-11-19,Furman,Ind,,A,South Carolina,Southern,Billy Laval,T,0,0
1933-11-30,Furman,Ind,,H,Clemson,Southern,Jess Neely,W,6,0
1933-09-23,Utah,RMC,Ike Armstrong,H,Montana State,RMC,Schubert Dyche,W,61,0
1933-10-06,Utah,RMC,Ike Armstrong,A,UCLA,PCC,William Spaulding,L,0,21
1933-10-14,Utah,RMC,Ike Armstrong,H,Brigham Young,RMC,Ott Romney,W,21,6
1933-10-28,Utah,RMC,Ike Armstrong,H,Utah State,RMC,,W,14,6
1933-11-04,Utah,RMC,Ike Armstrong,A,Oregon,PCC,Prink Callison,L,7,26
1933-11-11,Utah,RMC,Ike Armstrong,H,Colorado,RMC,William Saunders,W,13,6
1933-11-18,Utah,RMC,Ike Armstrong,A,Denver,RMC,Percy Locey,L,0,13
