Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1984-09-15,North Carolina,ACC,Dick Crum,H,Navy,Ind,Gary Tranquill,L,30,33
1984-09-22,North Carolina,ACC,Dick Crum,A,Boston College,Ind,Jack Bicknell,L,20,52
1984-09-29,North Carolina,ACC,Dick Crum,H,Kansas,Big 8,Mike Gottfried,W,23,17
1984-10-06,North Carolina,ACC,Dick Crum,A,Clemson,ACC,Danny Ford,L,12,20
1984-10-13,North Carolina,ACC,Dick Crum,A,Wake Forest,ACC,Al Groh,L,3,14
1984-10-20,North Carolina,ACC,Dick Crum,H,North Carolina State,ACC,Tom Reed,W,28,21
1984-10-27,North Carolina,ACC,Dick Crum,A,Memphis,Ind,Rey Dempsey,W,30,27
1984-11-03,North Carolina,ACC,Dick Crum,H,Maryland,ACC,Bobby Ross,L,23,34
1984-11-10,North Carolina,ACC,Dick Crum,H,Georgia Tech,ACC,Bill Curry,W,24,17
1984-11-17,North Carolina,ACC,Dick Crum,H,Virginia,ACC,George Welsh,T,24,24
1984-11-24,North Carolina,ACC,Dick Crum,A,Duke,ACC,Steve Sloan,W,17,15
1984-09-08,Miami (OH),MAC,Tim Rose,A,Western Michigan,MAC,Jack Harbaugh,L,13,17
1984-09-15,Miami (OH),MAC,Tim Rose,A,Houston,SWC,Bill Yeoman,L,17,30
1984-09-22,Miami (OH),MAC,Tim Rose,H,Bowling Green State,MAC,Dennis Stolz,L,10,41
1984-09-29,Miami (OH),MAC,Tim Rose,A,Washington,Pac-10,Don James,L,7,53
1984-10-06,Miami (OH),MAC,Tim Rose,A,Kent State,MAC,Dick Scesniak,W,19,3
1984-10-13,Miami (OH),MAC,Tim Rose,H,Toledo,MAC,Dan Simrell,L,7,10
1984-10-20,Miami (OH),MAC,Tim Rose,H,Central Michigan,MAC,Herb Deromedi,L,9,10
