Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1991-09-14,North Carolina,ACC,Mack Brown,H,Cincinnati,Ind,Tim Murphy,W,51,16
1991-09-21,North Carolina,ACC,Mack Brown,A,Army,Ind,Bob Sutton,W,20,12
1991-09-28,North Carolina,ACC,Mack Brown,A,North Carolina State,ACC,Dick Sheridan,L,7,24
1991-10-12,North Carolina,ACC,Mack Brown,H,Wake Forest,ACC,Bill Dooley,W,24,10
1991-10-19,North Carolina,ACC,Mack Brown,A,Virginia,ACC,George Welsh,L,9,14
1991-10-26,North Carolina,ACC,Mack Brown,A,Georgia Tech,ACC,Bobby Ross,L,14,35
1991-11-02,North Carolina,ACC,Mack Brown,H,Maryland,ACC,Joe Krivak,W,24,0
1991-11-09,North Carolina,ACC,Mack Brown,H,Clemson,ACC,Ken Hatfield,L,6,21
1991-11-16,North Carolina,ACC,Mack Brown,H,South Carolina,Ind,Sparky Woods,W,21,17
1991-11-23,North Carolina,ACC,Mack Brown,H,Duke,ACC,Barry Wilson,W,47,14
1991-08-31,Miami (OH),MAC,Randy Walker,H,Ball State,MAC,Paul Schudel,W,15,7
1991-09-07,Miami (OH),MAC,Randy Walker,A,Kentucky,SEC,Bill Curry,L,20,23
1991-09-14,Miami (OH),MAC,Randy Walker,H,Eastern Michigan,MAC,Jim Harkema,W,29,3
1991-09-28,Miami (OH),MAC,Randy Walker,A,Cincinnati,Ind,Tim Murphy,W,22,9
1991-10-05,Miami (OH),MAC,Randy Walker,A,Louisiana,Ind,Nelson Stokley,W,27,14
1991-10-12,Miami (OH),MAC,Randy Walker,A,Central Michigan,MAC,Herb Deromedi,T,10,10
1991-10-19,Miami (OH),MAC,Randy Walker,H,Ohio,MAC,Tom Lichtenberg,W,34,0
1991-10-26,Miami (OH),MAC,Randy Walker,A,Toledo,MAC,Gary Pinkel,L,7,24
1991-11-02,Miami (OH),MAC,Randy Walker,H,Bowling Green State,MAC,Gary Blackney,L,7,17
1991-11-09,Miami (OH),MAC,Randy Walker,A,Western Michigan,MAC,Al Molde,L,23,24
1991-11-16,Miami (OH),MAC,Randy Walker,A,Kent State,MAC,Pete Cordelli,W,20,9
1991-09-07,Indiana,Big Ten,Bill Mallory,A,Notre Dame,Ind,Lou Holtz,L,27,49
