Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1969-09-20,North Carolina,ACC,Bill Dooley,A,North Carolina State,ACC,Earle Edwards,L,3,10
1969-09-27,North Carolina,ACC,Bill Dooley,A,South Carolina,ACC,Paul Dietzel,L,6,14
1969-10-04,North Carolina,ACC,Bill Dooley,H,Vanderbilt,SEC,Bill Pace,W,38,22
1969-10-11,North Carolina,ACC,Bill Dooley,H,Air Force,Ind,Ben Martin,L,10,20
1969-10-18,North Carolina,ACC,Bill Dooley,A,Florida,SEC,Ray Graves,L,2,52
1969-10-25,North Carolina,ACC,Bill Dooley,H,Wake Forest,ACC,Cal Stoll,W,23,3
1969-11-01,North Carolina,ACC,Bill Dooley,A,Virginia,ACC,George Blackburn,W,12,0
1969-11-08,North Carolina,ACC,Bill Dooley,H,Virginia Military Institute,Southern,Vito Ragazzo,W,61,11
1969-11-15,North Carolina,ACC,Bill Dooley,H,Clemson,ACC,Frank Howard,W,32,15
1969-11-22,North Carolina,ACC,Bill Dooley,A,Duke,ACC,Tom Harp,L,13,17
1969-09-13,Miami (OH),MAC,Bill Mallory,H,Xavier,Ind,Irvin Etlar,W,35,7
1969-09-20,Miami (OH),MAC,Bill Mallory,A,Dayton,Ind,John McVay,W,19,9
1969-09-27,Miami (OH),MAC,Bill Mallory,A,Western Michigan,MAC,Bill Doolittle,W,24,20
1969-10-11,Miami (OH),MAC,Bill Mallory,H,Marshall,MAC,Rick Tolley,W,35,7
1969-10-18,Miami (OH),MAC,Bill Mallory,A,Ohio,MAC,Bill Hess,W,24,21
1969-10-25,Miami (OH),MAC,Bill Mallory,A,Bowling Green State,MAC,Don Nehlen,L,0,3
1969-11-01,Miami (OH),MAC,Bill Mallory,H,Toledo,MAC,Frank Lauterbur,L,10,14
1969-11-08,Miami (OH),MAC,Bill Mallory,A,Maryland,ACC,Roy Lester,W,34,21
1969-11-15,Miami (OH),MAC,Bill Mallory,A,Kent State,MAC,Dave Puddington,L,14,17
1969-11-22,Miami (OH),MAC,Bill Mallory,A,Cincinnati,MVC,Ray Callahan,W,36,20
1969-09-20,Indiana,Big Ten,John Pont,A,Kentucky,SEC,John Ray,W,58,30
1969-09-27,Indiana,Big Ten,John Pont,H,California,Pac-8,Ray Willsey,L,14,17
1969-10-04,Indiana,Big Ten,John Pont,A,Colorado,Big 8,Eddie Crowder,L,7,30
1969-10-11,Indiana,Big Ten,John Pont,H,Minnesota,Big Ten,Murray Warmath,W,17,7
1969-10-18,Indiana,Big Ten,John Pont,H,Illinois,Big Ten,James Valek,W,41,20
1969-10-25,Indiana,Big Ten,John Pont,A,Wisconsin,Big Ten,John Coatta,L,34,36
1969-11-01,Indiana,Big Ten,John Pont,A,Michigan State,Big Ten,Duffy Daugherty,W,16,0
1969-11-08,Indiana,Big Ten,John Pont,H,Iowa,Big Ten,Ray Nagel,L,17,28
1969-11-15,Indiana,Big Ten,John Pont,A,Northwestern,Big Ten,Alex Agase,L,27,30
1969-11-22,Indiana,Big Ten,John Pont,H,Purdue,Big Ten,Jack Mollenkopf,L,21,44
1969-09-20,Florida State,Ind,Bill Peterson,H,Wichita State,MVC,Ben Wilson,W,24,0
1969-09-26,Florida State,Ind,Bill Peterson,A,Miami (FL),Ind,Charlie Tate,W,16,14
1969-10-04,Florida State,Ind,Bill Peterson,A,Florida,SEC,Ray Graves,L,6,21
1969-10-18,Florida State,Ind,Bill Peterson,A,Tulsa,MVC,Vince Carillot,W,38,20
1969-10-25,Florida State,Ind,Bill Peterson,H,Mississippi State,SEC,Charles Shira,W,20,17
1969-11-01,Florida State,Ind,Bill Peterson,H,South Carolina,ACC,Paul Dietzel,W,34,9
1969-11-08,Florida State,Ind,Bill Peterson,A,Virginia Tech,Ind,Jerry Claiborne,T,10,10
1969-11-15,Florida State,Ind,Bill Peterson,H,Memphis,MVC,Billy Murphy,L,26,28
1969-11-22,Florida State,Ind,Bill Peterson,H,North Carolina State,ACC,Earle Edwards,W,33,22
1969-11-29,Florida State,Ind,Bill Peterson,A,Houston,Ind,Bill Yeoman,L,13,41
1969-09-20,Iowa State,Big 8,Johnny Majors,A,Syracuse,Ind,Ben Schwartzwalder,L,13,14
1969-09-27,Iowa State,Big 8,Johnny Majors,H,BYU,WAC,Tommy Hudspeth,W,10,0
1969-10-04,Iowa State,Big 8,Johnny Majors,A,Illinois,Big Ten,James Valek,W,48,20
1969-10-11,Iowa State,Big 8,Johnny Majors,H,Colorado,Big 8,Eddie Crowder,L,0,14
1969-10-18,Iowa State,Big 8,Johnny Majors,A,Kansas State,Big 8,Vince Gibson,L,7,34
