Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1889-09-28,Trinity (CT),Ind,Lucius Robinson,A,Stevens,Ind,,L,0,5
1889-10-05,Trinity (CT),Ind,Lucius Robinson,H,Wesleyan (CT),Ind,,W,4,2
1889-10-12,Trinity (CT),Ind,Lucius Robinson,H,Columbia,Ind,,W,24,4
1889-10-24,Trinity (CT),Ind,Lucius Robinson,H,Yale,Ind,Walter Camp,L,0,64
1889-11-13,Trinity (CT),Ind,Lucius Robinson,A,Wesleyan (CT),Ind,,L,0,6
1889-11-16,Trinity (CT),Ind,Lucius Robinson,H,Stevens,Ind,,W,12,0
1889-10-11,Dickinson,Ind,,H,Bucknell,Ind,,W,20,4
1889-10-19,Dickinson,Ind,,A,Swarthmore,Ind,Jacob Shell,W,17,16
1889-10-30,Dickinson,Ind,,H,Franklin & Marshall,Ind,W.M. Irvin,W,10,0
1889-11-28,Dickinson,Ind,,A,Franklin & Marshall,Ind,W.M. Irvin,L,0,22
1889-09-28,Yale,Ind,Walter Camp,H,Wesleyan (CT),Ind,,W,38,0
1889-10-02,Yale,Ind,Walter Camp,H,Williams,Ind,,W,36,0
1889-10-09,Yale,Ind,Walter Camp,A,Wesleyan (CT),Ind,,W,63,5
1889-10-15,Yale,Ind,Walter Camp,H,Cornell,Ind,,W,56,6
1889-10-19,Yale,Ind,Walter Camp,H,Amherst,Ind,,W,42,0
1889-10-24,Yale,Ind,Walter Camp,A,Trinity (CT),Ind,Lucius Robinson,W,64,0
1889-10-26,Yale,Ind,Walter Camp,A,Columbia,Ind,,W,62,0
1889-10-30,Yale,Ind,Walter Camp,A,Pennsylvania,Ind,E.O. Wagenhurst,W,20,10
1889-10-31,Yale,Ind,Walter Camp,N,Stevens,Ind,,W,30,0
1889-11-09,Yale,Ind,Walter Camp,A,Cornell,Ind,,W,70,0
1889-11-12,Yale,Ind,Walter Camp,A,Amherst,Ind,,W,32,0
1889-11-13,Yale,Ind,Walter Camp,A,Williams,Ind,,W,70,0
1889-11-16,Yale,Ind,Walter Camp,N,Wesleyan (CT),Ind,,W,52,0
1889-11-23,Yale,Ind,Walter Camp,N,Harvard,Ind,,W,6,0
1889-11-28,Yale,Ind,Walter Camp,N,Princeton,Ind,,L,0,10
1889-10-19,Franklin & Marshall,Ind,W.M. Irvin,H,Bucknell,Ind,,T,12,12
