Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1999-09-04,North Carolina,ACC,Carl Torbush,H,Virginia,ACC,George Welsh,L,17,20
1999-09-11,North Carolina,ACC,Carl Torbush,A,Indiana,Big Ten,Cam Cameron,W,42,30
1999-09-25,North Carolina,ACC,Carl Torbush,H,Florida State,ACC,Bobby Bowden,L,10,42
1999-10-02,North Carolina,ACC,Carl Torbush,A,Clemson,ACC,Tommy Bowden,L,20,31
1999-10-09,North Carolina,ACC,Carl Torbush,A,Georgia Tech,ACC,George O'Leary,L,24,31
1999-10-16,North Carolina,ACC,Carl Torbush,H,Houston,CUSA,Kim Helton,L,12,20
1999-10-23,North Carolina,ACC,Carl Torbush,A,Maryland,ACC,Ron Vanderlinden,L,7,45
1999-11-06,North Carolina,ACC,Carl Torbush,H,Wake Forest,ACC,Jim Caldwell,L,3,19
1999-11-11,North Carolina,ACC,Carl Torbush,N,North Carolina State,ACC,Mike O'Cain,W,10,6
1999-11-20,North Carolina,ACC,Carl Torbush,H,Duke,ACC,Carl Franks,W,38,0
1999-09-04,Miami (OH),MAC,Terry Hoeppner,A,Northwestern,Big Ten,Randy Walker,W,28,3
1999-09-11,Miami (OH),MAC,Terry Hoeppner,A,West Virginia,Big East,Don Nehlen,L,27,43
1999-09-18,Miami (OH),MAC,Terry Hoeppner,H,Eastern Michigan,MAC,Rick Rasnick,W,35,14
1999-09-25,Miami (OH),MAC,Terry Hoeppner,A,Central Michigan,MAC,Dick Flynn,W,24,16
1999-10-02,Miami (OH),MAC,Terry Hoeppner,H,Marshall,MAC,Bob Pruett,L,14,32
1999-10-09,Miami (OH),MAC,Terry Hoeppner,A,Bowling Green State,MAC,Gary Blackney,W,45,31
1999-10-16,Miami (OH),MAC,Terry Hoeppner,A,Kent State,MAC,Dean Pees,W,17,10
1999-10-30,Miami (OH),MAC,Terry Hoeppner,H,Cincinnati,CUSA,Rick Minter,L,42,52
1999-11-06,Miami (OH),MAC,Terry Hoeppner,H,Akron,MAC,Lee Owens,W,32,23
1999-11-13,Miami (OH),MAC,Terry Hoeppner,A,Ohio,MAC,Jim Grobe,L,28,40
1999-11-20,Miami (OH),MAC,Terry Hoeppner,H,Buffalo,MAC,Craig Cirbus,W,43,0
1999-09-04,Indiana,Big Ten,Cam Cameron,H,Ball State,MAC,Bill Lynch,W,21,9
1999-09-11,Indiana,Big Ten,Cam Cameron,H,North Carolina,ACC,Carl Torbush,L,30,42
1999-09-18,Indiana,Big Ten,Cam Cameron,H,Kentucky,SEC,Hal Mumme,L,35,44
1999-09-25,Indiana,Big Ten,Cam Cameron,A,Penn State,Big Ten,Joe Paterno,L,24,45
1999-10-02,Indiana,Big Ten,Cam Cameron,H,Illinois,Big Ten,Ron Turner,W,34,31
1999-10-09,Indiana,Big Ten,Cam Cameron,H,Northwestern,Big Ten,Randy Walker,W,34,17
1999-10-16,Indiana,Big Ten,Cam Cameron,A,Wisconsin,Big Ten,Barry Alvarez,L,0,59
1999-10-23,Indiana,Big Ten,Cam Cameron,A,Iowa,Big Ten,Kirk Ferentz,W,38,31
1999-10-30,Indiana,Big Ten,Cam Cameron,H,Michigan,Big Ten,Lloyd Carr,L,31,34
1999-11-13,Indiana,Big Ten,Cam Cameron,A,Minnesota,Big Ten,Glen Mason,L,20,44
1999-11-20,Indiana,Big Ten,Cam Cameron,H,Purdue,Big Ten,Joe Tiller,L,24,30
1999-08-28,Florida State,ACC,Bobby Bowden,H,Louisiana Tech,Ind,Jack Bicknell,W,41,7
1999-09-11,Florida State,ACC,Bobby Bowden,H,Georgia Tech,ACC,George O'Leary,W,41,35
1999-09-18,Florida State,ACC,Bobby Bowden,H,North Carolina State,ACC,Mike O'Cain,W,42,11
1999-09-25,Florida State,ACC,Bobby Bowden,A,North Carolina,ACC,Carl Torbush,W,42,10
