Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1938-09-24,North Carolina,Southern,Raymond Wolf,H,Wake Forest,Southern,D.C. Walker,W,14,6
1938-10-01,North Carolina,Southern,Raymond Wolf,A,North Carolina State,Southern,,W,21,0
1938-10-08,North Carolina,Southern,Raymond Wolf,H,Tulane,SEC,Red Dawson,L,14,17
1938-10-15,North Carolina,Southern,Raymond Wolf,A,New York University,Ind,Mal Stevens,W,7,0
1938-10-22,North Carolina,Southern,Raymond Wolf,A,Davidson,Southern,Gene McEver,W,34,0
1938-10-29,North Carolina,Southern,Raymond Wolf,H,Duke,Southern,Wallace Wade,L,0,14
1938-11-05,North Carolina,Southern,Raymond Wolf,H,Virginia Tech,Southern,Henry Redd,W,7,0
1938-11-12,North Carolina,Southern,Raymond Wolf,N,Fordham,Ind,Jimmy Crowley,T,0,0
1938-11-24,North Carolina,Southern,Raymond Wolf,A,Virginia,Ind,Frank Murray,W,20,0
1938-10-01,Indiana,Western,Bo McMillin,A,Ohio State,Western,Francis Schmidt,L,0,6
1938-10-08,Indiana,Western,Bo McMillin,A,Illinois,Western,Robert Zuppke,L,2,12
1938-10-15,Indiana,Western,Bo McMillin,A,Nebraska,Big 6,Biff Jones,T,0,0
1938-10-22,Indiana,Western,Bo McMillin,H,Kansas State,Big 6,Wesley Fry,L,6,13
1938-10-29,Indiana,Western,Bo McMillin,A,Wisconsin,Western,Harry Stuhldreher,L,0,6
1938-11-05,Indiana,Western,Bo McMillin,A,Boston College,Ind,Gilmour Dobie,L,0,14
1938-11-12,Indiana,Western,Bo McMillin,H,Iowa,Western,Irl Tubbs,W,7,3
1938-11-19,Indiana,Western,Bo McMillin,A,Purdue,Western,Mal Elward,L,6,13
1938-09-23,Iowa State,Big 6,Jim Yeager,A,Denver,MSAC,William Saunders,W,14,7
1938-10-08,Iowa State,Big 6,Jim Yeager,A,Nebraska,Big 6,Biff Jones,W,8,7
1938-10-15,Iowa State,Big 6,Jim Yeager,A,Missouri,Big 6,Don Faurot,W,16,13
1938-10-22,Iowa State,Big 6,Jim Yeager,H,Kansas,Big 6,Adrian Lindsey,W,21,7
1938-10-29,Iowa State,Big 6,Jim Yeager,A,Marquette,Ind,Paddy Driscoll,W,7,0
1938-11-05,Iowa State,Big 6,Jim Yeager,H,Drake,MVC,Vee Green,W,14,0
1938-11-12,Iowa State,Big 6,Jim Yeager,A,Kansas State,Big 6,Wesley Fry,T,13,13
1938-11-19,Iowa State,Big 6,Jim Yeager,H,Oklahoma,Big 6,Tom Stidham,L,0,10
1938-10-15,Fordham,Ind,Jimmy Crowley,H,Purdue,Western,Mal Elward,T,6,6
1938-10-22,Fordham,Ind,Jimmy Crowley,H,Oregon,PCC,Tex Oliver,W,26,0
1938-10-29,Fordham,Ind,Jimmy Crowley,A,Pitt,Ind,Jock Sutherland,L,13,24
1938-11-05,Fordham,Ind,Jimmy Crowley,H,Saint Mary's (CA),Ind,Slip Madigan,W,3,0
1938-11-12,Fordham,Ind,Jimmy Crowley,N,North Carolina,Southern,Raymond Wolf,T,0,0
1938-11-19,Fordham,Ind,Jimmy Crowley,H,South Carolina,Southern,Rex Enright,W,13,0
1938-11-26,Fordham,Ind,Jimmy Crowley,N,New York University,Ind,Mal Stevens,W,25,0
1938-09-30,Arizona State,BIAA,Dixie Howell,A,New Mexico,BIAA,Ted Shipkey,L,0,21
1938-10-15,Arizona State,BIAA,Dixie Howell,A,Northern Arizona,BIAA,Garrett Arbelbide,L,13,19
1938-10-22,Arizona State,BIAA,Dixie Howell,H,New Mexico State,BIAA,Gerald Hines,L,12,14
1938-11-19,Arizona State,BIAA,Dixie Howell,A,UTEP,BIAA,Mack Saxon,L,6,14
1938-09-23,Furman,Southern,,A,Bucknell,Ind,Al Humphreys,L,6,28
1938-09-30,Furman,Southern,,A,George Washington,Ind,,L,0,7
1938-10-09,Furman,Southern,,A,Georgia,SEC,Joel Hunt,L,7,38
1938-10-15,Furman,Southern,,H,Citadel,Southern,Tatum Gressette,L,6,9
1938-10-22,Furman,Southern,,A,North Carolina State,Southern,,T,7,7
1938-10-29,Furman,Southern,,H,Davidson,Southern,Gene McEver,L,12,13
1938-11-12,Furman,Southern,,H,South Carolina,Southern,Rex Enright,L,6,27
1938-11-24,Furman,Southern,,A,Clemson,Southern,Jess Neely,L,7,10
1938-10-15,Utah,MSAC,Ike Armstrong,H,Brigham Young,MSAC,Edwin Kimball,T,7,7
1938-10-22,Utah,MSAC,Ike Armstrong,A,Utah State,MSAC,E. Lowell Romney,W,33,0
1938-10-29,Utah,MSAC,Ike Armstrong,H,Denver,MSAC,William Saunders,W,21,0
1938-11-05,Utah,MSAC,Ike Armstrong,A,Colorado,MSAC,Bunny Oakes,T,0,0
1938-11-12,Utah,MSAC,Ike Armstrong,H,Colorado State,MSAC,Harry Hughes,W,13,0
1938-11-19,Utah,MSAC,Ike Armstrong,A,Wyoming,MSAC,Dutch Witte,W,39,0
1938-11-24,Utah,MSAC,Ike Armstrong,H,Idaho,PCC,Ted Bank,L,0,16
1939-01-02,Utah,MSAC,Ike Armstrong,N,New Mexico,BIAA,Ted Shipkey,W,26,0
1938-10-23,Villanova,Ind,,H,Detroit Mercy,Ind,Gus Dorais,W,13,6
1938-10-28,Villanova,Ind,,A,South Carolina,Southern,Rex Enright,T,6,6
1938-11-05,Villanova,Ind,,H,Auburn,SEC,Jack Meagher,W,25,12
1938-11-12,Villanova,Ind,,A,Temple,Ind,Pop Warner,W,20,7
1938-11-24,Villanova,Ind,,A,Manhattan,Ind,Herb Kopf,W,20,0
1938-09-23,Washington & Lee,Southern,Tex Tilson,H,Hampden-Sydney,Ind,Charles Bernier,W,7,6
1938-10-01,Washington & Lee,Southern,Tex Tilson,A,Virginia,Ind,Frank Murray,L,0,13
1938-10-08,Washington & Lee,Southern,Tex Tilson,N,West Virginia,Ind,Marshall Glenn,T,6,6
1938-10-15,Washington & Lee,Southern,Tex Tilson,A,Kentucky,SEC,A.D. Kirwan,W,8,0
1938-10-22,Washington & Lee,Southern,Tex Tilson,H,Virginia Tech,Southern,Henry Redd,W,6,0
1938-10-29,Washington & Lee,Southern,Tex Tilson,A,Richmond,Southern,Glenn Thistlethwaite,L,0,6
1938-11-12,Washington & Lee,Southern,Tex Tilson,H,William & Mary,Southern,,W,27,0
1938-11-24,Washington & Lee,Southern,Tex Tilson,A,Maryland,Southern,Frank Dobson,L,13,19
1938-10-08,Syracuse,Ind,Ossie Solem,H,Maryland,Southern,Frank Dobson,W,53,0
1938-10-15,Syracuse,Ind,Ossie Solem,H,Cornell,Ind,Carl Snavely,W,19,17
1938-10-22,Syracuse,Ind,Ossie Solem,A,Michigan State,Ind,Charlie Bachman,L,12,19
1938-10-29,Syracuse,Ind,Ossie Solem,A,Penn State,Ind,Bob Higgins,L,6,33
1938-11-05,Syracuse,Ind,Ossie Solem,H,Colgate,Ind,Andrew Kerr,W,7,0
1938-11-12,Syracuse,Ind,Ossie Solem,H,Duke,Southern,Wallace Wade,L,0,21
1938-11-19,Syracuse,Ind,Ossie Solem,A,Columbia,Ind,Lou Little,W,13,12
1938-10-01,Arizona,BIAA,Orian Landreth,A,SMU,SWC,Madison Bell,L,7,29
1938-10-08,Arizona,BIAA,Orian Landreth,H,New Mexico State,BIAA,Gerald Hines,L,6,7
1938-10-15,Arizona,BIAA,Orian Landreth,H,Santa Clara,Ind,Buck Shaw,L,0,27
1938-10-22,Arizona,BIAA,Orian Landreth,A,Loyola Marymount,Ind,Tom Lieb,W,14,12
1938-10-29,Arizona,BIAA,Orian Landreth,H,New Mexico,BIAA,Ted Shipkey,L,7,20
1938-11-05,Arizona,BIAA,Orian Landreth,A,Centenary (LA),Ind,Curtis Player,W,7,6
1938-11-12,Arizona,BIAA,Orian Landreth,H,UTEP,BIAA,Mack Saxon,L,14,26
1938-11-19,Arizona,BIAA,Orian Landreth,H,Marquette,Ind,Paddy Driscoll,W,20,12
1938-11-26,Arizona,BIAA,Orian Landreth,H,Montana,PCC,Doug Fessenden,L,0,7
1938-10-01,Georgetown,Ind,Jack Hagerty,A,Hampden-Sydney,Ind,Charles Bernier,W,51,0
1938-10-22,Georgetown,Ind,Jack Hagerty,A,Manhattan,Ind,Herb Kopf,W,14,13
1938-10-29,Georgetown,Ind,Jack Hagerty,H,Temple,Ind,Pop Warner,W,13,0
1938-11-05,Georgetown,Ind,Jack Hagerty,H,Bucknell,Ind,Al Humphreys,W,13,0
1938-11-12,Georgetown,Ind,Jack Hagerty,A,West Virginia,Ind,Marshall Glenn,W,14,0
1938-11-19,Georgetown,Ind,Jack Hagerty,A,Maryland,Southern,Frank Dobson,W,14,7
1938-10-01,Montana,PCC,Doug Fessenden,A,San Francisco,Ind,George Malley,T,0,0
1938-10-15,Montana,PCC,Doug Fessenden,H,Texas Tech,BIAA,Pete Cawthon,L,13,19
1938-10-29,Montana,PCC,Doug Fessenden,A,Idaho,PCC,Ted Bank,L,6,19
1938-11-05,Montana,PCC,Doug Fessenden,A,Gonzaga,Ind,Mike Pecarovich,W,9,0
1938-11-26,Montana,PCC,Doug Fessenden,A,Arizona,BIAA,Orian Landreth,W,7,0
1938-10-01,Penn State,Ind,Bob Higgins,H,Maryland,Southern,Frank Dobson,W,33,0
1938-10-08,Penn State,Ind,Bob Higgins,H,Bucknell,Ind,Al Humphreys,L,0,14
1938-10-22,Penn State,Ind,Bob Higgins,A,Cornell,Ind,Carl Snavely,L,6,21
1938-10-29,Penn State,Ind,Bob Higgins,H,Syracuse,Ind,Ossie Solem,W,33,6
1938-11-12,Penn State,Ind,Bob Higgins,A,Pennsylvania,Ind,George Munger,T,7,7
1938-11-19,Penn State,Ind,Bob Higgins,A,Pitt,Ind,Jock Sutherland,L,0,26
1938-10-08,Princeton,Ind,Tad Wieman,H,Dartmouth,Ind,Red Blaik,L,0,22
1938-10-15,Princeton,Ind,Tad Wieman,H,Pennsylvania,Ind,George Munger,W,13,0
1938-10-22,Princeton,Ind,Tad Wieman,A,Navy,Ind,Hank Hardwick,T,13,13
1938-10-29,Princeton,Ind,Tad Wieman,A,Harvard,Ind,Dick Harlow,L,7,26
1938-11-12,Princeton,Ind,Tad Wieman,H,Yale,Ind,Ducky Pond,W,20,7
1938-11-19,Princeton,Ind,Tad Wieman,H,Army,Ind,William Wood,L,7,19
1938-09-24,Vanderbilt,SEC,Ray Morrison,A,Washington (MO),MVC,Jimmy Conzelman,W,20,0
1938-10-08,Vanderbilt,SEC,Ray Morrison,A,Kentucky,SEC,A.D. Kirwan,W,14,7
1938-10-15,Vanderbilt,SEC,Ray Morrison,H,Ole Miss,SEC,Harry Mehre,W,13,7
1938-10-22,Vanderbilt,SEC,Ray Morrison,A,LSU,SEC,Bernie Moore,L,0,7
1938-10-29,Vanderbilt,SEC,Ray Morrison,H,Georgia Tech,SEC,William Alexander,W,13,7
1938-11-05,Vanderbilt,SEC,Ray Morrison,H,Sewanee,SEC,Heck Clark,W,14,0
1938-11-12,Vanderbilt,SEC,Ray Morrison,H,Tennessee,SEC,Bob Neyland,L,0,14
1938-11-24,Vanderbilt,SEC,Ray Morrison,A,Alabama,SEC,Frank Thomas,L,0,7
1938-10-08,Kentucky,SEC,A.D. Kirwan,H,Vanderbilt,SEC,Ray Morrison,L,7,14
1938-10-15,Kentucky,SEC,A.D. Kirwan,H,Washington & Lee,Southern,Tex Tilson,L,0,8
1938-10-29,Kentucky,SEC,A.D. Kirwan,H,Alabama,SEC,Frank Thomas,L,6,26
1938-11-05,Kentucky,SEC,A.D. Kirwan,A,Georgia Tech,SEC,William Alexander,L,18,19
1938-11-12,Kentucky,SEC,A.D. Kirwan,H,Clemson,Southern,Jess Neely,L,0,14
1938-11-24,Kentucky,SEC,A.D. Kirwan,A,Tennessee,SEC,Bob Neyland,L,0,46
1938-09-24,California,PCC,Stub Allison,H,Saint Mary's (CA),Ind,Slip Madigan,W,12,7
1938-10-01,California,PCC,Stub Allison,A,Washington State,PCC,O.E. Hollingbery,W,27,3
1938-10-15,California,PCC,Stub Allison,H,UCLA,PCC,William Spaulding,W,20,7
1938-10-22,California,PCC,Stub Allison,A,Washington,PCC,James Phelan,W,14,7
1938-10-29,California,PCC,Stub Allison,H,Oregon State,PCC,Lon Stiner,W,13,7
1938-11-05,California,PCC,Stub Allison,A,USC,PCC,Howard Jones,L,7,13
1938-11-12,California,PCC,Stub Allison,H,Oregon,PCC,Tex Oliver,W,20,0
1938-11-19,California,PCC,Stub Allison,H,Stanford,PCC,Tiny Thornhill,W,6,0
1938-12-26,California,PCC,Stub Allison,H,Georgia Tech,SEC,William Alexander,W,13,0
1938-10-01,Florida,SEC,Josh Cody,A,Mississippi State,SEC,Spike Nelson,L,0,22
1938-10-08,Florida,SEC,Josh Cody,H,Sewanee,SEC,Heck Clark,W,10,6
1938-10-15,Florida,SEC,Josh Cody,H,Miami (FL),Ind,Jack Harding,L,7,19
1938-10-29,Florida,SEC,Josh Cody,A,Boston College,Ind,Gilmour Dobie,L,0,33
1938-11-05,Florida,SEC,Josh Cody,N,Georgia,SEC,Joel Hunt,L,6,19
1938-11-12,Florida,SEC,Josh Cody,H,Maryland,Southern,Frank Dobson,W,21,7
1938-11-19,Florida,SEC,Josh Cody,A,Georgia Tech,SEC,William Alexander,T,0,0
1938-11-26,Florida,SEC,Josh Cody,H,Auburn,SEC,Jack Meagher,W,9,7
1938-12-03,Florida,SEC,Josh Cody,H,Temple,Ind,Pop Warner,L,12,20
1938-10-02,Gonzaga,Ind,Mike Pecarovich,A,Saint Mary's (CA),Ind,Slip Madigan,L,0,20
1938-10-15,Gonzaga,Ind,Mike Pecarovich,H,Idaho,PCC,Ted Bank,L,12,26
1938-10-29,Gonzaga,Ind,Mike Pecarovich,H,Washington State,PCC,O.E. Hollingbery,L,13,15
1938-11-05,Gonzaga,Ind,Mike Pecarovich,H,Montana,PCC,Doug Fessenden,L,0,9
1938-11-11,Gonzaga,Ind,Mike Pecarovich,A,Texas Tech,BIAA,Pete Cawthon,L,0,7
1938-11-19,Gonzaga,Ind,Mike Pecarovich,A,San Francisco,Ind,George Malley,L,0,8
1938-11-27,Gonzaga,Ind,Mike Pecarovich,H,Loyola Marymount,Ind,Tom Lieb,L,19,20
