Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1962-09-22,North Carolina,ACC,James Hickey,H,North Carolina State,ACC,Earle Edwards,L,6,7
1962-09-29,North Carolina,ACC,James Hickey,A,Ohio State,Big Ten,Woody Hayes,L,7,41
1962-10-06,North Carolina,ACC,James Hickey,A,Michigan State,Big Ten,Duffy Daugherty,L,6,38
1962-10-13,North Carolina,ACC,James Hickey,H,Maryland,ACC,Thomas Nugent,L,13,31
1962-10-20,North Carolina,ACC,James Hickey,H,South Carolina,ACC,Marvin Bass,W,19,14
1962-10-27,North Carolina,ACC,James Hickey,H,Wake Forest,ACC,Billy Hildebrand,W,23,14
1962-11-03,North Carolina,ACC,James Hickey,A,Clemson,ACC,Frank Howard,L,6,17
1962-11-10,North Carolina,ACC,James Hickey,A,Virginia,ACC,William Elias,W,11,7
1962-11-17,North Carolina,ACC,James Hickey,A,Notre Dame,Ind,Joe Kuharich,L,7,21
1962-11-24,North Carolina,ACC,James Hickey,H,Duke,ACC,Bill Murray,L,14,16
1962-09-15,Miami (OH),MAC,John Pont,A,Xavier,Ind,Edward Biles,W,23,14
1962-09-29,Miami (OH),MAC,John Pont,H,Western Michigan,MAC,Merle Schlosser,W,17,7
1962-10-06,Miami (OH),MAC,John Pont,H,Kent State,MAC,Trevor Rees,W,23,14
1962-10-13,Miami (OH),MAC,John Pont,A,Purdue,Big Ten,Jack Mollenkopf,W,10,7
1962-10-20,Miami (OH),MAC,John Pont,A,Ohio,MAC,Bill Hess,L,6,12
1962-10-27,Miami (OH),MAC,John Pont,H,Bowling Green State,MAC,Doyt Perry,T,24,24
1962-11-03,Miami (OH),MAC,John Pont,A,Toledo,MAC,Clive Rush,W,21,12
1962-11-10,Miami (OH),MAC,John Pont,H,Dayton,Ind,Stan Zajdel,W,42,20
1962-11-17,Miami (OH),MAC,John Pont,A,Cincinnati,MVC,Charles Studley,W,38,16
1962-12-22,Miami (OH),MAC,John Pont,N,Houston,Ind,Bill Yeoman,L,21,49
1962-09-22,Indiana,Big Ten,Phil Dickens,H,Kansas State,Big 8,Doug Weaver,W,21,0
1962-09-29,Indiana,Big Ten,Phil Dickens,A,Cincinnati,MVC,Charles Studley,W,26,6
1962-10-06,Indiana,Big Ten,Phil Dickens,A,Wisconsin,Big Ten,Milt Bruhn,L,6,30
1962-10-13,Indiana,Big Ten,Phil Dickens,H,Iowa,Big Ten,Jerry Burns,L,10,14
1962-10-20,Indiana,Big Ten,Phil Dickens,A,Washington State,AAWU,Jim Sutherland,L,15,21
1962-10-27,Indiana,Big Ten,Phil Dickens,H,Michigan State,Big Ten,Duffy Daugherty,L,8,26
1962-11-03,Indiana,Big Ten,Phil Dickens,H,Northwestern,Big Ten,Ara Parseghian,L,21,26
1962-11-10,Indiana,Big Ten,Phil Dickens,A,Ohio State,Big Ten,Woody Hayes,L,7,10
1962-11-24,Indiana,Big Ten,Phil Dickens,A,Purdue,Big Ten,Jack Mollenkopf,W,12,7
1962-09-15,Florida State,Ind,Bill Peterson,H,Citadel,Southern,Eddie Teague,W,49,0
1962-09-22,Florida State,Ind,Bill Peterson,A,Kentucky,SEC,Charley Bradshaw,T,0,0
1962-09-29,Florida State,Ind,Bill Peterson,H,Furman,Southern,Robert King,W,42,0
1962-10-05,Florida State,Ind,Bill Peterson,A,Miami (FL),Ind,Andy Gustafson,L,6,7
1962-10-20,Florida State,Ind,Bill Peterson,A,Georgia,SEC,Johnny Griffith,W,18,0
1962-10-27,Florida State,Ind,Bill Peterson,H,Virginia Tech,Southern,Jerry Claiborne,W,20,7
1962-11-03,Florida State,Ind,Bill Peterson,H,Houston,Ind,Bill Yeoman,L,0,7
1962-11-10,Florida State,Ind,Bill Peterson,A,Georgia Tech,SEC,Bobby Dodd,T,14,14
1962-11-17,Florida State,Ind,Bill Peterson,A,Florida,SEC,Ray Graves,L,7,20
1962-11-24,Florida State,Ind,Bill Peterson,A,Auburn,SEC,Ralph Jordan,T,14,14
1962-09-22,Iowa State,Big 8,Clay Stapleton,A,Oregon State,Ind,Tommy Prothro,L,35,39
1962-10-06,Iowa State,Big 8,Clay Stapleton,A,Nebraska,Big 8,Bob Devaney,L,22,36
1962-10-13,Iowa State,Big 8,Clay Stapleton,H,Kansas,Big 8,Jack Mitchell,L,8,29
1962-10-20,Iowa State,Big 8,Clay Stapleton,H,Colorado,Big 8,Bud Davis,W,57,19
1962-10-27,Iowa State,Big 8,Clay Stapleton,A,Missouri,Big 8,Dan Devine,L,6,21
1962-11-03,Iowa State,Big 8,Clay Stapleton,A,Oklahoma State,Big 8,Cliff Speegle,W,34,7
1962-11-10,Iowa State,Big 8,Clay Stapleton,H,Oklahoma,Big 8,Bud Wilkinson,L,0,41
1962-11-17,Iowa State,Big 8,Clay Stapleton,A,Kansas State,Big 8,Doug Weaver,W,28,14
1962-11-24,Iowa State,Big 8,Clay Stapleton,H,Ohio,MAC,Bill Hess,W,31,22
1962-09-22,Cincinnati,MVC,Charles Studley,H,Dayton,Ind,Stan Zajdel,W,13,0
1962-09-29,Cincinnati,MVC,Charles Studley,H,Indiana,Big Ten,Phil Dickens,L,6,26
1962-10-06,Cincinnati,MVC,Charles Studley,H,Wichita State,MVC,Chelo Huerta,W,27,15
1962-10-20,Cincinnati,MVC,Charles Studley,A,North Texas,MVC,Odus Mitchell,L,8,14
1962-10-27,Cincinnati,MVC,Charles Studley,H,Richmond,Southern,Edwin Merrick,L,20,21
1962-11-03,Cincinnati,MVC,Charles Studley,H,Tulsa,MVC,Glenn Dobbs,L,18,24
1962-11-09,Cincinnati,MVC,Charles Studley,A,Detroit Mercy,Ind,John Idzik,L,14,15
1962-11-17,Cincinnati,MVC,Charles Studley,H,Miami (OH),MAC,John Pont,L,16,38
1962-11-24,Cincinnati,MVC,Charles Studley,H,Xavier,Ind,Edward Biles,L,6,7
1962-12-01,Cincinnati,MVC,Charles Studley,A,Houston,Ind,Bill Yeoman,L,14,42
1962-09-22,Arizona State,WAC,Frank Kush,A,Wichita State,MVC,Chelo Huerta,W,21,10
1962-09-29,Arizona State,WAC,Frank Kush,H,Colorado State,Ind,Milo Lude,W,35,0
1962-10-06,Arizona State,WAC,Frank Kush,H,Washington State,AAWU,Jim Sutherland,T,24,24
1962-10-13,Arizona State,WAC,Frank Kush,H,West Texas A&M,Ind,Joe Kerbel,L,14,15
1962-10-20,Arizona State,WAC,Frank Kush,H,San Jose State,Ind,Robert Titchenal,W,44,8
1962-10-27,Arizona State,WAC,Frank Kush,H,UTEP,Ind,Bum Phillips,W,35,7
1962-11-03,Arizona State,WAC,Frank Kush,H,Utah State,Ind,John Ralston,W,34,15
1962-11-10,Arizona State,WAC,Frank Kush,H,Utah,WAC,Ray Nagel,W,35,7
1962-11-17,Arizona State,WAC,Frank Kush,H,New Mexico State,Ind,Warren Woodson,W,45,20
1962-11-24,Arizona State,WAC,Frank Kush,A,Arizona,WAC,Jim LaRue,L,17,20
1962-09-29,Furman,Southern,Robert King,A,Florida State,Ind,Bill Peterson,L,0,42
1962-10-05,Furman,Southern,Robert King,A,George Washington,Southern,Jim Camp,L,7,14
1962-10-20,Furman,Southern,Robert King,A,William & Mary,Southern,Milt Drewer,L,7,21
1962-10-27,Furman,Southern,Robert King,H,Citadel,Southern,Eddie Teague,W,33,25
1962-11-03,Furman,Southern,Robert King,A,Davidson,Southern,,W,14,7
1962-11-10,Furman,Southern,Robert King,H,Clemson,ACC,Frank Howard,L,3,44
1962-09-22,Utah,WAC,Ray Nagel,H,Colorado,Big 8,Bud Davis,W,37,21
1962-09-29,Utah,WAC,Ray Nagel,A,Oregon,Ind,Len Casanova,L,8,35
1962-10-06,Utah,WAC,Ray Nagel,A,Wyoming,WAC,Lloyd Eaton,L,7,16
1962-10-13,Utah,WAC,Ray Nagel,H,BYU,WAC,Hal Mitchell,W,35,20
1962-10-20,Utah,WAC,Ray Nagel,H,New Mexico,WAC,Bill Weeks,T,7,7
1962-10-27,Utah,WAC,Ray Nagel,H,Idaho,Ind,Dee Andros,W,25,21
1962-11-03,Utah,WAC,Ray Nagel,A,Colorado State,Ind,Milo Lude,W,26,8
1962-11-10,Utah,WAC,Ray Nagel,A,Arizona State,WAC,Frank Kush,L,7,35
1962-11-17,Utah,WAC,Ray Nagel,H,Utah State,Ind,John Ralston,L,6,19
1962-12-01,Utah,WAC,Ray Nagel,H,UCLA,AAWU,Bill Barnes,L,11,14
1962-09-15,Wichita State,MVC,Chelo Huerta,H,Louisville,Ind,Frank Camp,L,20,21
1962-09-22,Wichita State,MVC,Chelo Huerta,H,Arizona State,WAC,Frank Kush,L,10,21
1962-09-29,Wichita State,MVC,Chelo Huerta,H,Hardin-Simmons,Ind,Jack Thomas,W,13,6
1962-10-06,Wichita State,MVC,Chelo Huerta,A,Cincinnati,MVC,Charles Studley,L,15,27
1962-10-13,Wichita State,MVC,Chelo Huerta,H,New Mexico State,Ind,Warren Woodson,W,24,6
1962-11-03,Wichita State,MVC,Chelo Huerta,H,North Texas,MVC,Odus Mitchell,L,7,9
1962-11-17,Wichita State,MVC,Chelo Huerta,A,Dayton,Ind,Stan Zajdel,L,0,8
1962-11-22,Wichita State,MVC,Chelo Huerta,A,Tulsa,MVC,Glenn Dobbs,L,6,21
1962-09-22,Villanova,Ind,Alex Bell,H,Virginia Military Institute,Southern,John McKenna,W,24,0
1962-09-29,Villanova,Ind,Alex Bell,H,Boston College,Ind,Jim Miller,L,13,28
1962-10-06,Villanova,Ind,Alex Bell,A,Buffalo,Ind,Dick Offenhamer,W,36,6
1962-10-27,Villanova,Ind,Alex Bell,H,Xavier,Ind,Edward Biles,W,16,8
1962-11-03,Villanova,Ind,Alex Bell,H,Detroit Mercy,Ind,John Idzik,W,14,0
1962-11-17,Villanova,Ind,Alex Bell,A,Rutgers,Ind,John Bateman,W,34,12
1962-12-15,Villanova,Ind,Alex Bell,H,Oregon State,Ind,Tommy Prothro,L,0,6
1962-09-22,Syracuse,Ind,Ben Schwartzwalder,A,Oklahoma,Big 8,Bud Wilkinson,L,3,7
1962-09-29,Syracuse,Ind,Ben Schwartzwalder,A,Army,Ind,Paul Dietzel,L,2,9
1962-10-13,Syracuse,Ind,Ben Schwartzwalder,H,Boston College,Ind,Jim Miller,W,12,0
1962-10-20,Syracuse,Ind,Ben Schwartzwalder,A,Penn State,Ind,Rip Engle,L,19,20
1962-10-27,Syracuse,Ind,Ben Schwartzwalder,A,Holy Cross,Ind,Edward Anderson,W,30,20
1962-11-03,Syracuse,Ind,Ben Schwartzwalder,A,Pitt,Ind,John Michelosen,L,6,24
1962-11-10,Syracuse,Ind,Ben Schwartzwalder,H,Navy,Ind,Wayne Hardin,W,34,6
1962-11-17,Syracuse,Ind,Ben Schwartzwalder,H,George Washington,Southern,Jim Camp,W,35,0
1962-11-24,Syracuse,Ind,Ben Schwartzwalder,H,West Virginia,Southern,Gene Corum,L,6,17
1962-12-08,Syracuse,Ind,Ben Schwartzwalder,A,UCLA,AAWU,Bill Barnes,W,12,7
1962-09-22,Arizona,WAC,Jim LaRue,H,BYU,WAC,Hal Mitchell,W,27,21
1962-09-29,Arizona,WAC,Jim LaRue,A,New Mexico,WAC,Bill Weeks,L,25,35
1962-10-06,Arizona,WAC,Jim LaRue,A,Missouri,Big 8,Dan Devine,L,7,17
1962-10-13,Arizona,WAC,Jim LaRue,H,Air Force,Ind,Ben Martin,L,6,20
1962-10-20,Arizona,WAC,Jim LaRue,A,Wyoming,WAC,Lloyd Eaton,L,8,31
1962-10-27,Arizona,WAC,Jim LaRue,H,West Texas A&M,Ind,Joe Kerbel,W,8,3
1962-11-03,Arizona,WAC,Jim LaRue,H,Idaho,Ind,Dee Andros,L,12,14
1962-11-10,Arizona,WAC,Jim LaRue,H,Kansas State,Big 8,Doug Weaver,W,14,13
1962-11-17,Arizona,WAC,Jim LaRue,A,UTEP,Ind,Bum Phillips,W,7,0
1962-11-24,Arizona,WAC,Jim LaRue,H,Arizona State,WAC,Frank Kush,W,20,17
1962-09-15,Montana,Ind,Ray Jenkins,H,Wyoming,WAC,Lloyd Eaton,L,0,13
1962-09-29,Montana,Ind,Ray Jenkins,A,Utah State,Ind,John Ralston,L,20,43
1962-10-06,Montana,Ind,Ray Jenkins,H,Idaho,Ind,Dee Andros,W,22,16
1962-10-20,Montana,Ind,Ray Jenkins,H,BYU,WAC,Hal Mitchell,L,0,27
1962-11-17,Montana,Ind,Ray Jenkins,A,New Mexico,WAC,Bill Weeks,L,12,41
1962-11-22,Montana,Ind,Ray Jenkins,A,Colorado State,Ind,Milo Lude,W,16,15
1962-09-22,Penn State,Ind,Rip Engle,H,Navy,Ind,Wayne Hardin,W,41,7
1962-09-29,Penn State,Ind,Rip Engle,H,Air Force,Ind,Ben Martin,W,20,6
1962-10-06,Penn State,Ind,Rip Engle,A,Rice,SWC,Jess Neely,W,18,7
1962-10-13,Penn State,Ind,Rip Engle,A,Army,Ind,Paul Dietzel,L,6,9
1962-10-20,Penn State,Ind,Rip Engle,H,Syracuse,Ind,Ben Schwartzwalder,W,20,19
1962-10-27,Penn State,Ind,Rip Engle,A,California,AAWU,Marv Levy,W,23,21
1962-11-03,Penn State,Ind,Rip Engle,H,Maryland,ACC,Thomas Nugent,W,23,7
1962-11-10,Penn State,Ind,Rip Engle,H,West Virginia,Southern,Gene Corum,W,34,6
1962-11-17,Penn State,Ind,Rip Engle,A,Holy Cross,Ind,Edward Anderson,W,48,20
1962-11-24,Penn State,Ind,Rip Engle,A,Pitt,Ind,John Michelosen,W,16,0
1962-12-29,Penn State,Ind,Rip Engle,N,Florida,SEC,Ray Graves,L,7,17
1962-09-29,Princeton,Ivy,Richard Colman,H,Rutgers,Ind,John Bateman,W,15,7
1962-10-06,Princeton,Ivy,Richard Colman,H,Columbia,Ivy,Aldo Donelli,W,33,0
1962-10-13,Princeton,Ivy,Richard Colman,A,Pennsylvania,Ivy,John Stiegman,W,21,8
1962-10-20,Princeton,Ivy,Richard Colman,H,Colgate,Ind,Hal Lahar,L,15,16
1962-10-27,Princeton,Ivy,Richard Colman,A,Cornell,Ivy,Tom Harp,L,34,35
1962-11-03,Princeton,Ivy,Richard Colman,H,Brown,Ivy,John McLaughry,W,28,12
1962-11-10,Princeton,Ivy,Richard Colman,H,Harvard,Ivy,John Yovicsin,L,0,20
1962-11-17,Princeton,Ivy,Richard Colman,A,Yale,Ivy,Jordan Olivar,W,14,10
1962-11-24,Princeton,Ivy,Richard Colman,H,Dartmouth,Ivy,Bob Blackman,L,27,38
1962-09-22,Vanderbilt,SEC,Arthur Guepe,A,West Virginia,Southern,Gene Corum,L,0,26
1962-09-29,Vanderbilt,SEC,Arthur Guepe,H,Georgia,SEC,Johnny Griffith,L,0,10
1962-10-06,Vanderbilt,SEC,Arthur Guepe,A,Alabama,SEC,Bear Bryant,L,7,17
1962-10-13,Vanderbilt,SEC,Arthur Guepe,H,Citadel,Southern,Eddie Teague,L,6,21
1962-10-20,Vanderbilt,SEC,Arthur Guepe,A,Florida,SEC,Ray Graves,L,7,42
1962-10-27,Vanderbilt,SEC,Arthur Guepe,N,Ole Miss,SEC,John Vaught,L,0,35
1962-11-03,Vanderbilt,SEC,Arthur Guepe,H,Boston College,Ind,Jim Miller,L,22,27
1962-11-10,Vanderbilt,SEC,Arthur Guepe,A,Kentucky,SEC,Charley Bradshaw,L,0,7
1962-11-17,Vanderbilt,SEC,Arthur Guepe,H,Tulane,SEC,Tommy O'Boyle,W,20,0
1962-12-01,Vanderbilt,SEC,Arthur Guepe,H,Tennessee,SEC,Bowden Wyatt,L,0,30
1962-09-22,Kentucky,SEC,Charley Bradshaw,H,Florida State,Ind,Bill Peterson,T,0,0
1962-09-29,Kentucky,SEC,Charley Bradshaw,A,Ole Miss,SEC,John Vaught,L,0,14
1962-10-06,Kentucky,SEC,Charley Bradshaw,H,Auburn,SEC,Ralph Jordan,L,6,16
1962-10-12,Kentucky,SEC,Charley Bradshaw,A,Detroit Mercy,Ind,John Idzik,W,27,8
1962-10-20,Kentucky,SEC,Charley Bradshaw,H,LSU,SEC,Charles McClendon,L,0,7
1962-10-27,Kentucky,SEC,Charley Bradshaw,A,Georgia,SEC,Johnny Griffith,T,7,7
1962-11-02,Kentucky,SEC,Charley Bradshaw,A,Miami (FL),Ind,Andy Gustafson,L,17,25
1962-11-10,Kentucky,SEC,Charley Bradshaw,H,Vanderbilt,SEC,Arthur Guepe,W,7,0
1962-11-17,Kentucky,SEC,Charley Bradshaw,H,Xavier,Ind,Edward Biles,L,9,14
