Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,FieldGoals,FieldGoalAttempts,ThreePointers,ThreePointerAttempts,FreeThrows,FreeThrowAttempts,OffensiveRebounds,TeamRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,OpponentFieldGoals,OpponentFieldGoalAttempts,OpponentThreePointers,OpponentThreePointerAttempts,OpponentFreeThrows,OpponentFreeThrowAttempts,OpponentOffensiveRebounds,OpponentTeamRebounds,OpponentAssists,OpponentSteals,OpponentBlocks,OpponentTurnovers,OpponentPersonalFouls
2018-11-11,Washington State,Pac-12,Ernie Kent,H,Nicholls State,Southland,Austin Claunch,W,89,72,35,70,8,27,11,19,11,35,26,9,3,8,13,24,66,16,45,8,10,11,37,17,1,4,18,19
2018-11-14,Washington State,Pac-12,Ernie Kent,N,Seattle,WAC,Jim Hayford,L,69,78,21,71,6,24,21,24,18,40,8,6,2,14,21,28,55,5,19,17,23,7,39,11,6,7,17,22
2018-11-19,Washington State,Pac-12,Ernie Kent,H,Cal Poly,Big West,Joe Callero,W,84,70,33,67,11,29,7,12,12,34,25,7,1,10,13,28,62,9,30,5,7,10,30,14,5,1,16,13
2018-11-24,Washington State,Pac-12,Ernie Kent,H,Delaware State,MEAC,Eric Skeeters,W,80,52,27,60,11,30,15,24,10,46,15,5,7,13,12,21,75,7,30,3,6,12,39,11,5,1,10,23
2018-11-27,Washington State,Pac-12,Ernie Kent,H,Cal State Northridge,Big West,Mark Gottfried,W,103,94,36,70,15,36,16,20,7,34,27,5,4,13,15,39,79,7,25,9,13,11,36,19,7,5,13,18
2018-12-01,Washington State,Pac-12,Ernie Kent,A,New Mexico State,WAC,Chris Jans,L,63,69,26,54,9,27,2,7,8,33,6,2,1,18,18,21,58,11,34,16,21,11,31,14,7,0,9,14
2018-12-05,Washington State,Pac-12,Ernie Kent,H,Idaho,Big Sky,Don Verlin,W,90,70,31,65,13,35,15,22,8,32,17,4,5,4,17,28,63,6,21,8,15,11,39,7,2,1,11,16
2018-12-09,Washington State,Pac-12,Ernie Kent,N,Montana State,Big Sky,Brian Fish,L,90,95,33,66,13,32,11,18,6,30,22,6,1,12,21,31,61,16,32,17,23,5,34,21,5,1,14,18
2018-12-17,Washington State,Pac-12,Ernie Kent,H,Rider,MAAC,Kevin Baggett,W,94,80,24,46,7,20,39,51,4,38,15,6,2,18,22,27,72,12,35,14,24,10,33,11,9,0,15,33
2018-12-19,Washington State,Pac-12,Ernie Kent,H,SIU-Edwardsville,OVC,Jon Harris,W,89,73,27,53,7,24,28,33,6,36,11,5,5,16,14,29,65,9,28,6,17,8,29,13,7,0,16,29
2018-12-22,Washington State,Pac-12,Ernie Kent,N,San Diego,WCC,Sam Scholl,L,75,82,27,53,9,19,12,14,5,27,12,3,1,16,19,30,59,9,27,13,20,8,30,19,6,2,8,16
2018-12-23,Washington State,Pac-12,Ernie Kent,N,New Mexico State,WAC,Chris Jans,L,72,75,24,49,10,23,14,16,7,25,14,5,2,14,16,29,60,9,29,8,12,12,30,16,6,1,12,16
2018-12-29,Washington State,Pac-12,Ernie Kent,N,Santa Clara,WCC,Herb Sendek,L,71,79,26,59,8,24,11,18,7,29,11,4,3,7,17,31,53,9,20,8,17,3,30,19,5,3,7,18
2019-01-05,Washington State,Pac-12,Ernie Kent,A,Washington,Pac-12,Mike Hopkins,L,67,85,23,49,11,27,10,11,5,24,15,3,2,16,16,30,53,11,20,14,18,5,27,17,11,5,11,17
2019-01-10,Washington State,Pac-12,Ernie Kent,A,Colorado,Pac-12,Tad Boyle,L,60,92,21,57,2,18,16,19,8,23,5,6,2,12,18,35,64,11,27,11,18,13,40,20,6,3,12,16
2019-01-12,Washington State,Pac-12,Ernie Kent,A,Utah,Pac-12,Larry Krystkowiak,L,70,88,23,64,5,24,19,25,11,25,11,9,4,13,18,33,60,9,24,13,18,8,37,20,11,5,15,20
2019-01-17,Washington State,Pac-12,Ernie Kent,H,California,Pac-12,Wyking Jones,W,82,59,30,56,9,20,13,17,4,33,17,6,1,10,17,22,56,6,16,9,16,7,29,6,5,0,14,16
2019-01-19,Washington State,Pac-12,Ernie Kent,H,Stanford,Pac-12,Jerod Haase,L,66,78,25,62,10,26,6,8,8,24,10,7,1,13,12,30,54,8,20,10,14,4,33,15,10,6,14,9
2019-01-24,Washington State,Pac-12,Ernie Kent,A,Oregon State,Pac-12,Wayne Tinkle,L,77,90,28,56,12,28,9,10,3,21,15,6,3,12,18,34,65,10,27,12,16,14,36,23,7,5,9,12
2019-01-27,Washington State,Pac-12,Ernie Kent,A,Oregon,Pac-12,Dana Altman,L,58,78,25,46,6,17,2,4,5,24,16,2,1,16,13,30,55,10,26,8,10,6,24,21,10,4,7,8
2019-01-30,Washington State,Pac-12,Ernie Kent,H,UCLA,Pac-12,Steve Alford,L,67,87,25,57,11,31,6,10,4,20,13,6,2,11,18,30,51,9,19,18,24,6,34,15,7,1,11,10
2019-02-02,Washington State,Pac-12,Ernie Kent,H,USC,Pac-12,Andy Enfield,L,84,93,29,69,14,41,12,12,9,28,17,9,1,9,23,33,56,10,18,17,25,9,35,19,3,1,14,15
2019-02-07,Washington State,Pac-12,Ernie Kent,A,Arizona State,Pac-12,Bobby Hurley,W,91,70,26,60,12,30,27,33,9,46,22,11,5,18,24,23,68,5,33,19,33,14,39,11,15,2,17,23
2019-02-09,Washington State,Pac-12,Ernie Kent,A,Arizona,Pac-12,Sean Miller,W,69,55,24,53,9,22,12,17,5,36,16,3,4,12,22,19,61,6,23,11,20,12,37,8,6,0,8,16
2019-02-16,Washington State,Pac-12,Ernie Kent,H,Washington,Pac-12,Mike Hopkins,L,70,72,24,49,9,21,13,14,11,32,17,4,4,19,17,29,61,8,20,6,8,12,24,12,8,1,10,16
2019-02-20,Washington State,Pac-12,Ernie Kent,H,Colorado,Pac-12,Tad Boyle,W,76,74,25,55,10,19,16,19,6,33,17,7,5,12,19,25,66,9,29,15,19,12,37,16,7,2,11,19
2019-02-23,Washington State,Pac-12,Ernie Kent,H,Utah,Pac-12,Larry Krystkowiak,L,79,92,26,58,12,26,15,21,9,31,13,3,0,11,21,31,59,16,35,14,20,4,28,18,5,3,5,18
2019-02-28,Washington State,Pac-12,Ernie Kent,A,Stanford,Pac-12,Jerod Haase,L,50,98,20,65,4,19,6,9,6,26,6,3,3,15,13,38,64,13,24,9,17,7,46,20,6,5,12,12
2019-03-02,Washington State,Pac-12,Ernie Kent,A,California,Pac-12,Wyking Jones,L,69,76,25,60,13,31,6,12,8,38,16,3,5,19,18,28,60,4,14,16,26,7,31,11,13,4,11,11
2019-03-06,Washington State,Pac-12,Ernie Kent,H,Oregon,Pac-12,Dana Altman,L,61,72,21,50,6,18,13,16,6,33,15,5,5,17,15,29,59,10,20,4,10,5,27,15,11,4,9,15
2019-03-09,Washington State,Pac-12,Ernie Kent,H,Oregon State,Pac-12,Wayne Tinkle,L,77,85,27,60,12,28,11,13,9,30,15,4,3,15,21,29,60,7,22,20,28,11,36,18,7,2,9,15
2019-03-13,Washington State,Pac-12,Ernie Kent,N,Oregon,Pac-12,Dana Altman,L,51,84,16,52,7,32,12,16,8,29,13,5,1,20,13,33,67,10,28,8,10,14,38,16,14,3,14,19
2018-11-09,North Carolina Central,MEAC,LeVelle Moton,A,Clemson,ACC,Brad Brownell,L,51,71,18,55,4,18,11,15,9,32,8,5,1,20,22,23,50,10,27,15,21,5,28,18,8,7,11,17
2018-11-13,North Carolina Central,MEAC,LeVelle Moton,A,Cincinnati,AAC,Mick Cronin,L,51,73,17,47,8,17,9,12,8,23,12,4,1,14,18,31,53,5,14,6,12,6,26,19,8,8,11,13
2018-11-15,North Carolina Central,MEAC,LeVelle Moton,A,Bowling Green State,MAC,Michael Huger,L,60,75,24,57,10,26,2,7,10,35,14,2,2,14,19,29,57,6,17,11,17,7,32,16,7,0,6,11
2018-11-20,North Carolina Central,MEAC,LeVelle Moton,A,George Mason,A-10,Dave Paulsen,L,63,78,23,45,3,12,14,22,3,22,10,4,2,16,20,26,51,7,23,19,26,5,24,18,5,2,8,20
2018-11-23,North Carolina Central,MEAC,LeVelle Moton,N,Nicholls State,Southland,Austin Claunch,L,63,77,24,60,2,17,13,23,17,41,8,2,3,15,12,31,61,10,25,5,8,6,27,15,7,4,9,15
2018-11-24,North Carolina Central,MEAC,LeVelle Moton,N,Southern,SWAC,Sean Woods,W,83,71,26,49,6,14,25,30,11,27,10,6,2,13,17,27,55,5,14,12,16,10,20,6,4,5,13,21
2018-12-01,North Carolina Central,MEAC,LeVelle Moton,H,McNeese State,Southland,Heath Schroyer,W,67,66,25,60,5,21,12,15,9,29,11,5,3,10,18,25,55,7,15,9,15,11,35,13,1,3,12,16
2018-12-08,North Carolina Central,MEAC,LeVelle Moton,A,Appalachian State,Sun Belt,Jim Fox,L,73,82,28,58,5,20,12,17,10,34,13,8,1,17,21,27,59,7,25,21,25,8,30,14,2,5,13,12
2018-12-13,North Carolina Central,MEAC,LeVelle Moton,A,McNeese State,Southland,Heath Schroyer,L,61,77,24,56,9,24,4,9,10,26,16,5,1,18,18,25,51,2,15,25,29,11,35,16,7,1,16,12
2018-12-16,North Carolina Central,MEAC,LeVelle Moton,A,Coastal Carolina,Sun Belt,Cliff Ellis,L,65,69,23,51,8,24,11,14,7,27,14,12,2,18,18,20,46,8,19,21,25,5,22,12,6,4,17,16
2018-12-19,North Carolina Central,MEAC,LeVelle Moton,A,Saint Louis,A-10,Travis Ford,L,65,74,26,45,6,13,7,8,2,21,20,7,4,24,23,30,61,6,15,8,19,15,30,20,12,4,18,16
2019-01-05,North Carolina Central,MEAC,LeVelle Moton,H,Bethune-Cookman,MEAC,Ryan Ridder,W,68,59,24,54,3,17,17,24,4,30,15,10,5,14,20,21,56,5,18,12,21,10,37,5,7,1,21,21
2019-01-12,North Carolina Central,MEAC,LeVelle Moton,A,Maryland-Eastern Shore,MEAC,Clifford Reed,W,61,48,21,56,10,30,9,11,11,40,13,2,1,11,18,17,50,5,18,9,14,5,24,14,3,3,7,13
2019-01-14,North Carolina Central,MEAC,LeVelle Moton,A,Delaware State,MEAC,Eric Skeeters,W,71,70,27,50,3,10,14,19,9,32,15,1,6,15,16,26,60,9,25,9,11,4,18,8,5,4,8,19
2019-01-19,North Carolina Central,MEAC,LeVelle Moton,H,Coppin State,MEAC,Juan Dixon,L,60,64,21,56,5,17,13,19,10,38,13,7,1,20,19,23,62,6,24,12,17,11,35,7,6,1,13,19
2019-01-21,North Carolina Central,MEAC,LeVelle Moton,H,Morgan State,MEAC,Todd Bozeman,W,92,64,35,66,12,23,10,15,7,42,24,5,3,13,17,26,64,2,12,10,16,6,28,12,3,4,11,15
2019-01-26,North Carolina Central,MEAC,LeVelle Moton,H,North Carolina A&T,MEAC,Jay Joyner,L,48,51,20,57,3,22,5,7,13,38,11,6,3,18,13,18,48,7,22,8,10,3,23,14,6,2,12,9
2019-01-28,North Carolina Central,MEAC,LeVelle Moton,A,Savannah State,MEAC,Horace Broadnax,W,82,78,30,57,6,16,16,26,9,41,19,5,5,17,13,28,62,10,35,12,16,4,21,15,12,5,9,21
2019-02-02,North Carolina Central,MEAC,LeVelle Moton,A,Bethune-Cookman,MEAC,Ryan Ridder,L,64,74,22,65,1,24,19,27,19,45,17,4,3,18,23,26,59,3,11,19,29,13,38,18,12,7,12,22
2019-02-04,North Carolina Central,MEAC,LeVelle Moton,A,Florida A&M,MEAC,Robert McCullum,L,57,73,18,58,1,19,20,31,15,33,4,8,2,12,19,27,52,6,16,13,17,8,30,11,5,8,15,16
2019-02-09,North Carolina Central,MEAC,LeVelle Moton,H,Maryland-Eastern Shore,MEAC,Clifford Reed,W,78,53,28,49,10,19,12,17,9,29,19,8,2,10,16,20,44,5,12,8,15,4,14,14,4,1,9,14
2019-02-11,North Carolina Central,MEAC,LeVelle Moton,H,Delaware State,MEAC,Eric Skeeters,W,87,52,32,64,10,26,13,20,12,43,25,9,3,8,14,21,67,4,27,6,10,14,35,13,3,8,14,15
2019-02-16,North Carolina Central,MEAC,LeVelle Moton,A,Norfolk State,MEAC,Robert Jones,L,71,75,21,59,8,24,21,26,9,41,13,3,3,20,26,24,59,10,20,17,27,2,31,14,3,6,12,20
2019-02-18,North Carolina Central,MEAC,LeVelle Moton,A,Howard,MEAC,Kevin Nickelberry,W,98,90,32,54,10,21,24,31,9,30,19,3,0,18,22,35,67,3,11,17,21,9,21,12,8,1,6,20
2019-02-23,North Carolina Central,MEAC,LeVelle Moton,H,Savannah State,MEAC,Horace Broadnax,W,78,69,25,62,6,26,22,27,11,33,16,6,2,10,13,28,64,9,33,4,7,10,35,14,6,3,12,20
2019-02-25,North Carolina Central,MEAC,LeVelle Moton,H,South Carolina State,MEAC,Murray Garvin,W,72,62,27,49,11,20,7,10,6,27,20,1,4,14,18,23,55,5,15,11,17,12,26,12,6,1,10,11
2019-03-07,North Carolina Central,MEAC,LeVelle Moton,A,North Carolina A&T,MEAC,Jay Joyner,L,52,74,19,57,6,25,8,14,12,34,14,4,4,14,19,30,60,7,17,7,15,7,34,12,8,4,6,14
2019-03-14,North Carolina Central,MEAC,LeVelle Moton,N,Delaware State,MEAC,Eric Skeeters,W,75,57,29,54,8,23,9,13,10,36,18,5,3,15,14,23,65,4,22,7,11,11,27,10,7,3,8,9
2019-03-15,North Carolina Central,MEAC,LeVelle Moton,N,North Carolina A&T,MEAC,Jay Joyner,W,65,63,21,48,6,14,17,25,9,29,11,6,3,10,19,22,48,4,15,15,20,6,30,13,6,5,12,18
2019-03-16,North Carolina Central,MEAC,LeVelle Moton,N,Norfolk State,MEAC,Robert Jones,W,50,47,18,50,3,21,11,16,10,37,11,5,2,15,16,16,47,4,12,11,15,4,24,8,7,4,14,14
