Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1924-09-27,North Carolina,Southern,William Fetzer,A,Wake Forest,Ind,Hank Garrity,L,6,7
1924-10-04,North Carolina,Southern,William Fetzer,A,Yale,Ind,Tad Jones,L,0,27
1924-10-11,North Carolina,Southern,William Fetzer,H,Duke,Ind,Howard Jones,W,6,0
1924-10-16,North Carolina,Southern,William Fetzer,A,North Carolina State,Southern,,W,10,0
1924-10-25,North Carolina,Southern,William Fetzer,H,Maryland,Southern,Curley Byrd,L,0,6
1924-11-01,North Carolina,Southern,William Fetzer,H,South Carolina,Southern,Sol Metzger,L,7,10
1924-11-08,North Carolina,Southern,William Fetzer,H,Virginia Military Institute,Southern,,W,3,0
1924-11-15,North Carolina,Southern,William Fetzer,A,Davidson,Ind,Monk Younger,W,6,0
1924-11-27,North Carolina,Southern,William Fetzer,A,Virginia,Southern,Greasy Neale,L,0,7
1924-10-11,Indiana,Western,William Ingram,H,LSU,Southern,Mike Donahue,L,14,20
1924-10-18,Indiana,Western,William Ingram,A,Chicago,Western,Amos Alonzo Stagg,L,0,23
1924-11-01,Indiana,Western,William Ingram,A,Northwestern,Western,Glenn Thistlethwaite,L,7,17
1924-11-08,Indiana,Western,William Ingram,A,Ohio State,Western,John Wilce,W,12,7
1924-11-22,Indiana,Western,William Ingram,A,Purdue,Western,James Phelan,L,7,26
1924-10-04,Iowa State,MVIAA,Sam Willaman,A,Wisconsin,Western,Jack Ryan,L,0,17
1924-10-11,Iowa State,MVIAA,Sam Willaman,A,Kansas,MVIAA,Potsy Clark,W,13,10
1924-10-18,Iowa State,MVIAA,Sam Willaman,H,Missouri,MVIAA,Gwinn Henry,L,0,7
1924-11-01,Iowa State,MVIAA,Sam Willaman,A,Kansas State,MVIAA,Charlie Bachman,W,21,0
1924-11-08,Iowa State,MVIAA,Sam Willaman,A,Minnesota,Western,William Spaulding,T,7,7
1924-11-15,Iowa State,MVIAA,Sam Willaman,A,Grinnell,MVIAA,Mike Hyland,L,13,14
1924-11-22,Iowa State,MVIAA,Sam Willaman,H,Drake,MVIAA,Ossie Solem,W,10,0
1924-09-27,Furman,Ind,,H,Newberry,Ind,Dutch McLean,W,14,0
1924-10-04,Furman,Ind,,H,Alabama,Southern,Wallace Wade,L,0,20
1924-10-11,Furman,Ind,,H,Mercer,Ind,,L,0,23
1924-10-18,Furman,Ind,,N,Georgia,Southern,George Woodruff,L,0,23
1924-10-22,Furman,Ind,,N,Davidson,Ind,Monk Younger,W,6,0
1924-10-25,Furman,Ind,,A,Citadel,Ind,Carl Prause,L,0,6
1924-11-08,Furman,Ind,,A,South Carolina,Southern,Sol Metzger,W,10,0
1924-11-15,Furman,Ind,,H,Ole Miss,Southern,,W,7,2
1924-11-27,Furman,Ind,,A,Clemson,Southern,Bud Saunders,W,3,0
1924-10-04,Utah,RMC,Thomas Fitzpatrick,H,Drake,MVIAA,Ossie Solem,L,14,33
1924-10-11,Utah,RMC,Thomas Fitzpatrick,H,Colorado College,RMC,Tefler Meade,L,0,9
1924-10-25,Utah,RMC,Thomas Fitzpatrick,H,BYU,RMC,Alvin Twitchell,W,35,6
1924-11-01,Utah,RMC,Thomas Fitzpatrick,A,Colorado,RMC,Myron Witham,L,0,3
1924-11-08,Utah,RMC,Thomas Fitzpatrick,A,Stanford,PCC,Pop Warner,L,0,30
1924-11-15,Utah,RMC,Thomas Fitzpatrick,H,Wyoming,RMC,William Dietz,W,28,0
1924-11-27,Utah,RMC,Thomas Fitzpatrick,H,Utah State,RMC,,T,7,7
1924-10-18,Northern Colorado,RMC,George Cooper,A,Wyoming,RMC,William Dietz,L,8,33
1924-10-25,Northern Colorado,RMC,George Cooper,H,Montana State,RMC,Ott Romney,L,0,59
1924-11-01,Northern Colorado,RMC,George Cooper,H,Regis (CO),Ind,,W,20,7
1924-11-08,Northern Colorado,RMC,George Cooper,A,Regis (CO),Ind,,L,7,27
1924-11-15,Northern Colorado,RMC,George Cooper,H,Colorado State,RMC,Harry Hughes,L,7,22
1924-11-22,Northern Colorado,RMC,George Cooper,A,Colorado Mines,RMC,William Courtright,L,7,14
1924-10-04,Washington & Lee,Southern,Jimmy DeHart,N,Maryland,Southern,Curley Byrd,W,19,7
1924-10-11,Washington & Lee,Southern,Jimmy DeHart,H,Wake Forest,Ind,Hank Garrity,L,8,10
1924-10-18,Washington & Lee,Southern,Jimmy DeHart,A,Kentucky,Southern,Fred Murphy,W,10,7
1924-10-25,Washington & Lee,Southern,Jimmy DeHart,N,Virginia Tech,Southern,B.C. Cubbage,T,0,0
1924-11-01,Washington & Lee,Southern,Jimmy DeHart,A,Virginia,Southern,Greasy Neale,W,20,7
1924-11-08,Washington & Lee,Southern,Jimmy DeHart,H,Citadel,Ind,Carl Prause,W,32,7
1924-11-15,Washington & Lee,Southern,Jimmy DeHart,N,West Virginia,Ind,,L,0,6
1924-11-27,Washington & Lee,Southern,Jimmy DeHart,A,North Carolina State,Southern,,W,34,0
1924-12-06,Washington & Lee,Southern,Jimmy DeHart,A,Florida,Southern,J.A. Van Fleet,L,6,16
1924-10-04,Syracuse,Ind,Chick Meehan,H,Mercer,Ind,,W,26,0
1924-10-11,Syracuse,Ind,Chick Meehan,H,William & Mary,Ind,J. Wilder Tasker,W,24,7
1924-10-25,Syracuse,Ind,Chick Meehan,A,Penn State,Ind,Hugo Bezdek,W,10,6
1924-11-01,Syracuse,Ind,Chick Meehan,H,Pitt,Ind,Jock Sutherland,T,7,7
1924-11-22,Syracuse,Ind,Chick Meehan,H,Colgate,Ind,Dick Harlow,W,7,3
1924-11-27,Syracuse,Ind,Chick Meehan,A,Columbia,Ind,Percy Haughton,W,9,6
1924-12-06,Syracuse,Ind,Chick Meehan,A,USC,PCC,Gus Henderson,L,0,16
1924-10-11,Montana,PCC,Click Clark,A,Idaho,PCC,Robert Mathews,L,13,41
1924-10-18,Montana,PCC,Click Clark,A,Washington,PCC,Enoch Bagshaw,L,7,52
1924-11-01,Montana,PCC,Click Clark,H,Gonzaga,Ind,Gus Dorais,L,14,20
1924-11-15,Montana,PCC,Click Clark,A,Stanford,PCC,Pop Warner,L,3,41
1924-11-22,Montana,PCC,Click Clark,H,Whitman,Ind,,W,20,0
1924-10-04,Penn State,Ind,Hugo Bezdek,H,North Carolina State,Southern,,W,51,6
1924-10-18,Penn State,Ind,Hugo Bezdek,A,Georgia Tech,Southern,William Alexander,L,13,15
1924-10-25,Penn State,Ind,Hugo Bezdek,H,Syracuse,Ind,Chick Meehan,L,6,10
1924-11-01,Penn State,Ind,Hugo Bezdek,A,Navy,Ind,,W,6,0
1924-11-08,Penn State,Ind,Hugo Bezdek,H,Carnegie Mellon,Ind,Walter Steffen,W,22,7
1924-11-15,Penn State,Ind,Hugo Bezdek,A,Pennsylvania,Ind,Lou Young,T,0,0
1924-11-27,Penn State,Ind,Hugo Bezdek,A,Pitt,Ind,Jock Sutherland,L,3,24
1924-10-18,Princeton,Ind,,H,Navy,Ind,,W,17,14
1924-10-25,Princeton,Ind,,H,Notre Dame,Ind,Knute Rockne,L,0,12
1924-11-08,Princeton,Ind,,A,Harvard,Ind,Robert Fisher,W,34,0
1924-11-15,Princeton,Ind,,H,Yale,Ind,Tad Jones,L,0,10
1924-10-04,Vanderbilt,Southern,Dan McGugin,H,Birmingham-Southern,Ind,Red Drew,W,61,0
1924-10-18,Vanderbilt,Southern,Dan McGugin,A,Tulane,Southern,Clark Shaughnessy,L,13,21
