Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1997-09-06,North Carolina,ACC,Carl Torbush,H,Indiana,Big Ten,Cam Cameron,W,23,6
1997-09-13,North Carolina,ACC,Carl Torbush,H,Stanford,Pac-10,Tyrone Willingham,W,28,17
1997-09-20,North Carolina,ACC,Carl Torbush,A,Maryland,ACC,Ron Vanderlinden,W,40,14
1997-09-27,North Carolina,ACC,Carl Torbush,H,Virginia,ACC,George Welsh,W,48,20
1997-10-04,North Carolina,ACC,Carl Torbush,A,Texas Christian,WAC,Pat Sullivan,W,31,10
1997-10-11,North Carolina,ACC,Carl Torbush,H,Wake Forest,ACC,Jim Caldwell,W,30,12
1997-10-18,North Carolina,ACC,Carl Torbush,A,North Carolina State,ACC,Mike O'Cain,W,20,7
1997-10-30,North Carolina,ACC,Carl Torbush,A,Georgia Tech,ACC,George O'Leary,W,16,13
1997-11-08,North Carolina,ACC,Carl Torbush,H,Florida State,ACC,Bobby Bowden,L,3,20
1997-11-15,North Carolina,ACC,Carl Torbush,A,Clemson,ACC,Tommy West,W,17,10
1997-11-22,North Carolina,ACC,Carl Torbush,H,Duke,ACC,Fred Goldsmith,W,50,14
1998-01-01,North Carolina,ACC,Carl Torbush,N,Virginia Tech,Big East,Frank Beamer,W,42,3
1997-08-30,Miami (OH),MAC,Randy Walker,H,Ball State,MAC,Bill Lynch,W,27,10
1997-09-06,Miami (OH),MAC,Randy Walker,A,Bowling Green State,MAC,Gary Blackney,L,21,28
1997-09-13,Miami (OH),MAC,Randy Walker,H,Akron,MAC,Lee Owens,W,49,20
1997-09-27,Miami (OH),MAC,Randy Walker,A,Army,Ind,Bob Sutton,W,38,14
1997-10-04,Miami (OH),MAC,Randy Walker,A,Virginia Tech,Big East,Frank Beamer,W,24,17
1997-10-11,Miami (OH),MAC,Randy Walker,A,Kent State,MAC,Jim Corrigall,W,62,26
1997-10-18,Miami (OH),MAC,Randy Walker,H,Marshall,MAC,Bob Pruett,W,45,21
1997-10-25,Miami (OH),MAC,Randy Walker,H,Cincinnati,CUSA,Rick Minter,L,31,34
1997-11-01,Miami (OH),MAC,Randy Walker,A,Toledo,MAC,Gary Pinkel,L,28,35
1997-11-08,Miami (OH),MAC,Randy Walker,A,Ohio,MAC,Jim Grobe,W,45,21
1997-11-15,Miami (OH),MAC,Randy Walker,H,Northern Illinois,MAC,Joe Novak,W,42,0
1997-09-06,Indiana,Big Ten,Cam Cameron,A,North Carolina,ACC,Carl Torbush,L,6,23
1997-09-13,Indiana,Big Ten,Cam Cameron,H,Ball State,MAC,Bill Lynch,W,33,6
1997-09-20,Indiana,Big Ten,Cam Cameron,H,Kentucky,SEC,Hal Mumme,L,7,49
1997-09-27,Indiana,Big Ten,Cam Cameron,A,Wisconsin,Big Ten,Barry Alvarez,L,26,27
1997-10-04,Indiana,Big Ten,Cam Cameron,H,Michigan,Big Ten,Lloyd Carr,L,0,37
1997-10-11,Indiana,Big Ten,Cam Cameron,H,Michigan State,Big Ten,Nick Saban,L,6,38
1997-10-18,Indiana,Big Ten,Cam Cameron,A,Ohio State,Big Ten,John Cooper,L,0,31
1997-10-25,Indiana,Big Ten,Cam Cameron,A,Iowa,Big Ten,Hayden Fry,L,0,62
1997-11-01,Indiana,Big Ten,Cam Cameron,H,Illinois,Big Ten,Ron Turner,W,23,6
1997-11-15,Indiana,Big Ten,Cam Cameron,A,Minnesota,Big Ten,Glen Mason,L,12,24
1997-11-22,Indiana,Big Ten,Cam Cameron,H,Purdue,Big Ten,Joe Tiller,L,7,56
1997-09-06,Florida State,ACC,Bobby Bowden,A,USC,Pac-10,John Robinson,W,14,7
1997-09-13,Florida State,ACC,Bobby Bowden,H,Maryland,ACC,Ron Vanderlinden,W,50,7
1997-09-20,Florida State,ACC,Bobby Bowden,A,Clemson,ACC,Tommy West,W,35,28
1997-10-04,Florida State,ACC,Bobby Bowden,H,Miami (FL),Big East,Butch Davis,W,47,0
1997-10-11,Florida State,ACC,Bobby Bowden,A,Duke,ACC,Fred Goldsmith,W,51,27
1997-10-18,Florida State,ACC,Bobby Bowden,H,Georgia Tech,ACC,George O'Leary,W,38,0
1997-10-25,Florida State,ACC,Bobby Bowden,A,Virginia,ACC,George Welsh,W,47,21
1997-11-01,Florida State,ACC,Bobby Bowden,H,North Carolina State,ACC,Mike O'Cain,W,48,35
1997-11-08,Florida State,ACC,Bobby Bowden,A,North Carolina,ACC,Carl Torbush,W,20,3
1997-11-15,Florida State,ACC,Bobby Bowden,H,Wake Forest,ACC,Jim Caldwell,W,58,7
1997-11-22,Florida State,ACC,Bobby Bowden,A,Florida,SEC,Steve Spurrier,L,29,32
1998-01-01,Florida State,ACC,Bobby Bowden,N,Ohio State,Big Ten,John Cooper,W,31,14
1997-08-30,Iowa State,Big 12,Dan McCarney,H,Oklahoma State,Big 12,Bob Simmons,L,14,21
1997-09-06,Iowa State,Big 12,Dan McCarney,A,Wyoming,WAC,Dana Dimel,L,10,56
1997-09-13,Iowa State,Big 12,Dan McCarney,A,Minnesota,Big Ten,Glen Mason,L,29,53
1997-09-20,Iowa State,Big 12,Dan McCarney,H,Iowa,Big Ten,Hayden Fry,L,20,63
1997-10-04,Iowa State,Big 12,Dan McCarney,A,Missouri,Big 12,Larry Smith,L,21,45
1997-10-11,Iowa State,Big 12,Dan McCarney,A,Texas A&M,Big 12,R.C. Slocum,L,17,56
1997-10-25,Iowa State,Big 12,Dan McCarney,H,Baylor,Big 12,Dave Roberts,W,24,17
1997-11-01,Iowa State,Big 12,Dan McCarney,A,Kansas,Big 12,Terry Allen,L,24,34
1997-11-08,Iowa State,Big 12,Dan McCarney,H,Colorado,Big 12,Rick Neuheisel,L,38,43
1997-11-15,Iowa State,Big 12,Dan McCarney,A,Nebraska,Big 12,Tom Osborne,L,14,77
1997-11-22,Iowa State,Big 12,Dan McCarney,H,Kansas State,Big 12,Bill Snyder,L,3,28
1997-08-28,Cincinnati,CUSA,Rick Minter,H,Tulsa,WAC,David Rader,W,34,24
1997-09-06,Cincinnati,CUSA,Rick Minter,A,Tulane,CUSA,Tommy Bowden,L,17,31
1997-09-20,Cincinnati,CUSA,Rick Minter,H,Kansas,Big 12,Terry Allen,W,34,7
1997-09-27,Cincinnati,CUSA,Rick Minter,A,Boston College,Big East,Tom O'Brien,W,24,6
1997-10-04,Cincinnati,CUSA,Rick Minter,H,Memphis,CUSA,Rip Scherer,W,20,17
1997-10-11,Cincinnati,CUSA,Rick Minter,H,UAB,Ind,Watson Brown,W,33,29
1997-10-18,Cincinnati,CUSA,Rick Minter,A,Houston,CUSA,Kim Helton,L,38,41
1997-10-25,Cincinnati,CUSA,Rick Minter,A,Miami (OH),MAC,Randy Walker,W,34,31
1997-11-01,Cincinnati,CUSA,Rick Minter,H,Southern Mississippi,CUSA,Jeff Bower,L,17,24
1997-11-08,Cincinnati,CUSA,Rick Minter,H,Louisville,CUSA,Ron Cooper,W,28,9
1997-11-13,Cincinnati,CUSA,Rick Minter,A,East Carolina,CUSA,Steve Logan,L,7,14
1997-12-29,Cincinnati,CUSA,Rick Minter,N,Utah State,Big West,John Smith,W,35,19
1997-08-30,Arizona State,Pac-10,Bruce Snyder,H,New Mexico State,Big West,Tony Samuel,W,41,10
1997-09-13,Arizona State,Pac-10,Bruce Snyder,A,Miami (FL),Big East,Butch Davis,W,23,12
1997-09-20,Arizona State,Pac-10,Bruce Snyder,H,Brigham Young,WAC,LaVell Edwards,L,10,13
1997-09-27,Arizona State,Pac-10,Bruce Snyder,A,Oregon State,Pac-10,Mike Riley,W,13,10
1997-10-04,Arizona State,Pac-10,Bruce Snyder,A,Washington,Pac-10,Jim Lambright,L,14,26
1997-10-11,Arizona State,Pac-10,Bruce Snyder,H,USC,Pac-10,John Robinson,W,35,7
1997-10-18,Arizona State,Pac-10,Bruce Snyder,A,Stanford,Pac-10,Tyrone Willingham,W,31,14
1997-11-01,Arizona State,Pac-10,Bruce Snyder,H,Washington State,Pac-10,Mike Price,W,44,31
1997-11-08,Arizona State,Pac-10,Bruce Snyder,A,California,Pac-10,Tom Holmoe,W,28,21
1997-11-15,Arizona State,Pac-10,Bruce Snyder,H,Oregon,Pac-10,Mike Bellotti,W,52,31
1997-11-28,Arizona State,Pac-10,Bruce Snyder,H,Arizona,Pac-10,Dick Tomey,L,16,28
1997-12-31,Arizona State,Pac-10,Bruce Snyder,N,Iowa,Big Ten,Hayden Fry,W,17,7
1997-08-30,Utah,WAC,Ron McBride,H,Utah State,Big West,John Smith,L,14,21
1997-09-06,Utah,WAC,Ron McBride,A,Louisville,CUSA,Ron Cooper,W,27,21
1997-09-13,Utah,WAC,Ron McBride,A,Texas Christian,WAC,Pat Sullivan,W,32,18
1997-09-20,Utah,WAC,Ron McBride,H,UTEP,WAC,Charlie Bailey,W,56,3
1997-10-02,Utah,WAC,Ron McBride,A,Fresno State,WAC,Pat Hill,L,13,27
1997-10-11,Utah,WAC,Ron McBride,H,SMU,WAC,Mike Cavan,L,19,20
1997-10-18,Utah,WAC,Ron McBride,A,Oregon,Pac-10,Mike Bellotti,L,13,31
1997-10-25,Utah,WAC,Ron McBride,H,New Mexico,WAC,Dennis Franchione,W,15,10
1997-11-01,Utah,WAC,Ron McBride,A,Tulsa,WAC,David Rader,L,13,21
1997-11-15,Utah,WAC,Ron McBride,H,Rice,WAC,Ken Hatfield,W,31,14
1997-11-22,Utah,WAC,Ron McBride,A,Brigham Young,WAC,LaVell Edwards,W,20,14
1997-08-24,Syracuse,Big East,Paul Pasqualoni,N,Wisconsin,Big Ten,Barry Alvarez,W,34,0
1997-08-30,Syracuse,Big East,Paul Pasqualoni,H,North Carolina State,ACC,Mike O'Cain,L,31,32
1997-09-06,Syracuse,Big East,Paul Pasqualoni,A,Oklahoma,Big 12,John Blake,L,34,36
1997-09-13,Syracuse,Big East,Paul Pasqualoni,A,Virginia Tech,Big East,Frank Beamer,L,3,31
1997-09-20,Syracuse,Big East,Paul Pasqualoni,H,Tulane,CUSA,Tommy Bowden,W,30,19
1997-10-04,Syracuse,Big East,Paul Pasqualoni,H,East Carolina,CUSA,Steve Logan,W,56,0
1997-10-09,Syracuse,Big East,Paul Pasqualoni,A,Rutgers,Big East,Terry Shea,W,50,3
1997-10-18,Syracuse,Big East,Paul Pasqualoni,H,Temple,Big East,Ron Dickerson,W,60,7
1997-11-01,Syracuse,Big East,Paul Pasqualoni,H,West Virginia,Big East,Don Nehlen,W,40,10
1997-11-08,Syracuse,Big East,Paul Pasqualoni,H,Boston College,Big East,Tom O'Brien,W,20,13
1997-11-15,Syracuse,Big East,Paul Pasqualoni,A,Pitt,Big East,Walt Harris,W,32,27
1997-11-29,Syracuse,Big East,Paul Pasqualoni,A,Miami (FL),Big East,Butch Davis,W,33,13
1997-12-31,Syracuse,Big East,Paul Pasqualoni,N,Kansas State,Big 12,Bill Snyder,L,18,35
1997-09-04,Arizona,Pac-10,Dick Tomey,A,Oregon,Pac-10,Mike Bellotti,L,9,16
1997-09-13,Arizona,Pac-10,Dick Tomey,H,UAB,Ind,Watson Brown,W,24,10
1997-09-20,Arizona,Pac-10,Dick Tomey,A,Ohio State,Big Ten,John Cooper,L,20,28
1997-09-27,Arizona,Pac-10,Dick Tomey,A,UCLA,Pac-10,Bob Toledo,L,27,40
1997-10-04,Arizona,Pac-10,Dick Tomey,H,San Diego State,WAC,Ted Tollner,W,31,28
1997-10-11,Arizona,Pac-10,Dick Tomey,H,Stanford,Pac-10,Tyrone Willingham,W,28,22
1997-10-18,Arizona,Pac-10,Dick Tomey,H,Washington,Pac-10,Jim Lambright,L,28,58
1997-10-25,Arizona,Pac-10,Dick Tomey,A,Washington State,Pac-10,Mike Price,L,34,35
1997-11-08,Arizona,Pac-10,Dick Tomey,H,Oregon State,Pac-10,Mike Riley,W,27,7
1997-11-15,Arizona,Pac-10,Dick Tomey,H,California,Pac-10,Tom Holmoe,W,41,38
