Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1898-10-05,Brown,Ind,Edward Robinson,H,Tufts,Ind,J.D. Upton,W,29,6
1898-10-08,Brown,Ind,Edward Robinson,A,Pennsylvania,Ind,George Woodruff,L,0,18
1898-10-19,Brown,Ind,Edward Robinson,A,Yale,Ind,Frank Butterworth,L,6,22
1898-10-29,Brown,Ind,Edward Robinson,A,Princeton,Ind,,L,0,23
1898-11-12,Brown,Ind,Edward Robinson,A,Harvard,Ind,W. Cameron Forbes,L,6,17
1898-11-19,Brown,Ind,Edward Robinson,H,Dartmouth,Ind,,W,12,0
1898-09-24,Trinity (CT),Ind,,H,Yale,Ind,Frank Butterworth,L,0,18
1898-09-28,Trinity (CT),Ind,,H,Amherst,Ind,,L,0,12
1898-10-01,Trinity (CT),Ind,,A,Cornell,Ind,Pop Warner,L,0,47
1898-10-29,Trinity (CT),Ind,,H,MIT,Ind,,T,0,0
1898-11-09,Trinity (CT),Ind,,A,Wesleyan (CT),Ind,Bert Wilson,L,0,30
1898-11-24,Trinity (CT),Ind,,A,Williams,Ind,,L,0,24
1898-10-15,Dickinson,Ind,N.P. Stauffer,A,Lafayette,Ind,Samuel Newton,W,12,6
1898-10-29,Dickinson,Ind,N.P. Stauffer,A,Franklin & Marshall,Ind,M. Delmar Ritchie,W,22,0
1898-11-05,Dickinson,Ind,N.P. Stauffer,N,Carlisle,Ind,John Hall,L,0,46
1898-11-24,Dickinson,Ind,N.P. Stauffer,N,Penn State,Ind,Samuel Newton,L,0,34
1898-09-24,Yale,Ind,Frank Butterworth,A,Trinity (CT),Ind,,W,18,0
1898-10-01,Yale,Ind,Frank Butterworth,H,Wesleyan (CT),Ind,Bert Wilson,W,5,0
1898-10-05,Yale,Ind,Frank Butterworth,H,Amherst,Ind,,W,34,0
1898-10-08,Yale,Ind,Frank Butterworth,H,Williams,Ind,,W,23,0
1898-10-19,Yale,Ind,Frank Butterworth,H,Brown,Ind,Edward Robinson,W,22,6
1898-10-22,Yale,Ind,Frank Butterworth,H,Carlisle,Ind,John Hall,W,18,5
1898-10-29,Yale,Ind,Frank Butterworth,A,Army,Ind,Herman Koehler,W,10,0
1898-11-12,Yale,Ind,Frank Butterworth,A,Princeton,Ind,,L,0,6
1898-11-19,Yale,Ind,Frank Butterworth,H,Harvard,Ind,W. Cameron Forbes,L,0,17
1898-09-24,Franklin & Marshall,Ind,M. Delmar Ritchie,A,Pennsylvania,Ind,George Woodruff,L,0,41
1898-10-08,Franklin & Marshall,Ind,M. Delmar Ritchie,A,Princeton,Ind,,L,0,58
1898-10-29,Franklin & Marshall,Ind,M. Delmar Ritchie,H,Dickinson,Ind,N.P. Stauffer,L,0,22
1898-11-12,Franklin & Marshall,Ind,M. Delmar Ritchie,H,Bucknell,Ind,George Jennings,T,11,11
1898-09-24,Lehigh,Ind,H. Thompson,A,Princeton,Ind,,L,0,21
1898-10-15,Lehigh,Ind,H. Thompson,A,Pennsylvania,Ind,George Woodruff,L,0,40
1898-10-22,Lehigh,Ind,H. Thompson,A,Army,Ind,Herman Koehler,L,0,18
1898-10-29,Lehigh,Ind,H. Thompson,H,Bucknell,Ind,George Jennings,T,0,0
1898-11-05,Lehigh,Ind,H. Thompson,H,Lafayette,Ind,Samuel Newton,W,22,0
1898-11-12,Lehigh,Ind,H. Thompson,A,Navy,Ind,,L,5,6
1898-11-24,Lehigh,Ind,H. Thompson,A,Lafayette,Ind,Samuel Newton,L,5,11
1898-10-12,Carlisle,Ind,John Hall,A,Cornell,Ind,Pop Warner,L,6,23
1898-10-15,Carlisle,Ind,John Hall,H,Williams,Ind,,W,17,6
