Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1983-09-03,North Carolina,ACC,Dick Crum,A,South Carolina,Ind,Joe Morrison,W,24,8
1983-09-10,North Carolina,ACC,Dick Crum,H,Memphis,Ind,Rex Dockery,W,24,10
1983-09-17,North Carolina,ACC,Dick Crum,H,Miami (OH),MAC,Tim Rose,W,48,17
1983-09-24,North Carolina,ACC,Dick Crum,H,William & Mary,Ind,Jimmye Laycock,W,51,20
1983-10-01,North Carolina,ACC,Dick Crum,A,Georgia Tech,ACC,Bill Curry,W,38,21
1983-10-08,North Carolina,ACC,Dick Crum,H,Wake Forest,ACC,Al Groh,W,30,10
1983-10-15,North Carolina,ACC,Dick Crum,A,North Carolina State,ACC,Tom Reed,W,42,14
1983-10-29,North Carolina,ACC,Dick Crum,A,Maryland,ACC,Bobby Ross,L,26,28
1983-11-05,North Carolina,ACC,Dick Crum,H,Clemson,ACC,Danny Ford,L,3,16
1983-11-12,North Carolina,ACC,Dick Crum,A,Virginia,ACC,George Welsh,L,14,17
1983-11-19,North Carolina,ACC,Dick Crum,H,Duke,ACC,Steve Sloan,W,34,27
1983-12-30,North Carolina,ACC,Dick Crum,N,Florida State,Ind,Bobby Bowden,L,3,28
1983-09-10,Miami (OH),MAC,Tim Rose,A,South Carolina,Ind,Joe Morrison,L,3,24
1983-09-17,Miami (OH),MAC,Tim Rose,A,North Carolina,ACC,Dick Crum,L,17,48
1983-09-24,Miami (OH),MAC,Tim Rose,A,Bowling Green State,MAC,Dennis Stolz,L,14,17
1983-10-01,Miami (OH),MAC,Tim Rose,H,Western Michigan,MAC,Jack Harbaugh,L,18,20
1983-10-08,Miami (OH),MAC,Tim Rose,H,Kent State,MAC,Dick Scesniak,W,27,7
1983-10-15,Miami (OH),MAC,Tim Rose,A,Toledo,MAC,Dan Simrell,L,9,10
1983-10-22,Miami (OH),MAC,Tim Rose,A,Central Michigan,MAC,Herb Deromedi,W,12,7
1983-10-29,Miami (OH),MAC,Tim Rose,H,Northern Illinois,MAC,Bill Mallory,L,0,17
1983-11-05,Miami (OH),MAC,Tim Rose,H,Ohio,MAC,Brian Burke,L,14,17
1983-11-12,Miami (OH),MAC,Tim Rose,A,Eastern Michigan,MAC,Jim Harkema,W,24,12
1983-11-19,Miami (OH),MAC,Tim Rose,H,Cincinnati,Ind,Watson Brown,W,14,10
1983-09-10,Indiana,Big Ten,Sam Wyche,H,Duke,ACC,Steve Sloan,W,15,10
1983-09-17,Indiana,Big Ten,Sam Wyche,A,Kentucky,SEC,Jerry Claiborne,L,13,24
1983-09-24,Indiana,Big Ten,Sam Wyche,H,Northwestern,Big Ten,Dennis Green,L,8,10
1983-10-01,Indiana,Big Ten,Sam Wyche,A,Michigan,Big Ten,Bo Schembechler,L,18,43
1983-10-08,Indiana,Big Ten,Sam Wyche,H,Minnesota,Big Ten,Joe Salem,W,38,31
1983-10-15,Indiana,Big Ten,Sam Wyche,H,Michigan State,Big Ten,George Perles,W,24,12
1983-10-22,Indiana,Big Ten,Sam Wyche,A,Wisconsin,Big Ten,Dave McClain,L,14,45
1983-10-29,Indiana,Big Ten,Sam Wyche,A,Iowa,Big Ten,Hayden Fry,L,3,49
1983-11-05,Indiana,Big Ten,Sam Wyche,H,Ohio State,Big Ten,Earle Bruce,L,17,56
1983-11-12,Indiana,Big Ten,Sam Wyche,A,Illinois,Big Ten,Mike White,L,21,49
1983-11-19,Indiana,Big Ten,Sam Wyche,H,Purdue,Big Ten,Leon Burtnett,L,30,31
1983-09-03,Florida State,Ind,Bobby Bowden,H,East Carolina,Ind,Ed Emory,W,47,46
1983-09-10,Florida State,Ind,Bobby Bowden,A,LSU,SEC,Jerry Stovall,W,40,35
1983-09-17,Florida State,Ind,Bobby Bowden,A,Tulane,Ind,Wally English,L,28,34
1983-10-01,Florida State,Ind,Bobby Bowden,A,Auburn,SEC,Pat Dye,L,24,27
1983-10-08,Florida State,Ind,Bobby Bowden,A,Pitt,Ind,Foge Fazio,L,16,17
1983-10-15,Florida State,Ind,Bobby Bowden,H,Cincinnati,Ind,Watson Brown,W,43,17
1983-10-20,Florida State,Ind,Bobby Bowden,H,Louisville,Ind,Bob Weber,W,51,7
1983-10-29,Florida State,Ind,Bobby Bowden,A,Arizona State,Pac-10,Darryl Rogers,W,29,26
1983-11-05,Florida State,Ind,Bobby Bowden,H,South Carolina,Ind,Joe Morrison,W,45,30
1983-11-12,Florida State,Ind,Bobby Bowden,H,Miami (FL),Ind,Howard Schnellenberger,L,16,17
1983-12-03,Florida State,Ind,Bobby Bowden,A,Florida,SEC,Charley Pell,L,14,53
1983-12-30,Florida State,Ind,Bobby Bowden,N,North Carolina,ACC,Dick Crum,W,28,3
1983-09-10,Iowa State,Big 8,Jim Criner,H,Iowa,Big Ten,Hayden Fry,L,10,51
1983-09-17,Iowa State,Big 8,Jim Criner,A,Vanderbilt,SEC,George MacIntyre,L,26,29
1983-09-24,Iowa State,Big 8,Jim Criner,H,Colorado State,WAC,Leon Fuller,W,21,17
1983-10-01,Iowa State,Big 8,Jim Criner,H,New Mexico State,MVC,Fred Zechman,L,17,24
1983-10-08,Iowa State,Big 8,Jim Criner,H,Kansas,Big 8,Mike Gottfried,W,38,35
1983-10-15,Iowa State,Big 8,Jim Criner,H,Colorado,Big 8,Bill McCartney,W,22,10
1983-10-22,Iowa State,Big 8,Jim Criner,A,Oklahoma,Big 8,Barry Switzer,L,11,49
1983-10-29,Iowa State,Big 8,Jim Criner,H,Missouri,Big 8,Warren Powers,L,18,41
1983-11-05,Iowa State,Big 8,Jim Criner,A,Nebraska,Big 8,Tom Osborne,L,29,72
1983-11-12,Iowa State,Big 8,Jim Criner,A,Kansas State,Big 8,Jim Dickey,W,49,27
1983-11-19,Iowa State,Big 8,Jim Criner,H,Oklahoma State,Big 8,Jimmy Johnson,L,7,30
1983-09-10,Cincinnati,Ind,Watson Brown,A,Penn State,Ind,Joe Paterno,W,14,3
1983-09-17,Cincinnati,Ind,Watson Brown,H,Oklahoma State,Big 8,Jimmy Johnson,L,17,27
1983-09-24,Cincinnati,Ind,Watson Brown,A,Louisville,Ind,Bob Weber,L,23,31
1983-10-08,Cincinnati,Ind,Watson Brown,H,Temple,Ind,Bruce Arians,W,31,16
1983-10-15,Cincinnati,Ind,Watson Brown,A,Florida State,Ind,Bobby Bowden,L,17,43
1983-10-22,Cincinnati,Ind,Watson Brown,H,Miami (FL),Ind,Howard Schnellenberger,L,7,17
1983-10-29,Cincinnati,Ind,Watson Brown,A,Kentucky,SEC,Jerry Claiborne,T,13,13
1983-11-05,Cincinnati,Ind,Watson Brown,H,Rutgers,Ind,Frank Burns,W,18,7
1983-11-12,Cincinnati,Ind,Watson Brown,H,Memphis,Ind,Rex Dockery,L,10,43
1983-11-19,Cincinnati,Ind,Watson Brown,A,Miami (OH),MAC,Tim Rose,L,10,14
1983-09-10,Arizona State,Pac-10,Darryl Rogers,H,Utah State,PCAA,Chris Pella,W,39,12
1983-09-17,Arizona State,Pac-10,Darryl Rogers,A,UCLA,Pac-10,Terry Donahue,T,26,26
1983-09-24,Arizona State,Pac-10,Darryl Rogers,H,Wichita State,MVC,Willie Jeffries,W,44,14
1983-10-01,Arizona State,Pac-10,Darryl Rogers,H,Stanford,Pac-10,Paul Wiggin,W,29,11
1983-10-15,Arizona State,Pac-10,Darryl Rogers,A,USC,Pac-10,Ted Tollner,W,34,14
1983-10-22,Arizona State,Pac-10,Darryl Rogers,H,Washington State,Pac-10,Jim Walden,L,21,31
1983-10-29,Arizona State,Pac-10,Darryl Rogers,H,Florida State,Ind,Bobby Bowden,L,26,29
1983-11-05,Arizona State,Pac-10,Darryl Rogers,A,California,Pac-10,Joe Kapp,L,24,26
1983-11-12,Arizona State,Pac-10,Darryl Rogers,H,Oregon State,Pac-10,Joe Avezzano,W,38,3
1983-11-19,Arizona State,Pac-10,Darryl Rogers,H,San Jose State,PCAA,Jack Elway,W,24,17
1983-11-26,Arizona State,Pac-10,Darryl Rogers,H,Arizona,Pac-10,Larry Smith,L,15,17
1983-09-03,Utah,WAC,Chuck Stobart,A,New Mexico,WAC,Joe Lee Dunn,L,7,17
1983-09-10,Utah,WAC,Chuck Stobart,A,Arizona,Pac-10,Larry Smith,L,0,38
1983-09-17,Utah,WAC,Chuck Stobart,H,San Diego State,WAC,Doug Scovil,W,27,24
1983-09-24,Utah,WAC,Chuck Stobart,H,Hawaii,WAC,Dick Tomey,W,28,25
1983-10-01,Utah,WAC,Chuck Stobart,A,Colorado State,WAC,Leon Fuller,L,28,31
1983-10-08,Utah,WAC,Chuck Stobart,H,UTEP,WAC,Bill Yung,W,35,11
1983-10-15,Utah,WAC,Chuck Stobart,H,Wyoming,WAC,Al Kincaid,W,69,14
1983-10-22,Utah,WAC,Chuck Stobart,A,Air Force,WAC,Ken Hatfield,L,31,33
1983-11-05,Utah,WAC,Chuck Stobart,H,Cal State Fullerton,PCAA,Gene Murphy,W,47,20
1983-11-12,Utah,WAC,Chuck Stobart,A,Utah State,PCAA,Chris Pella,L,17,21
1983-11-19,Utah,WAC,Chuck Stobart,A,Brigham Young,WAC,LaVell Edwards,L,7,55
1983-09-10,Cal State Fullerton,PCAA,Gene Murphy,A,Long Beach State,PCAA,Dave Currey,W,25,19
1983-09-17,Cal State Fullerton,PCAA,Gene Murphy,A,Utah State,PCAA,Chris Pella,W,25,24
1983-09-24,Cal State Fullerton,PCAA,Gene Murphy,A,Arizona,Pac-10,Larry Smith,L,10,27
1983-10-01,Cal State Fullerton,PCAA,Gene Murphy,A,Pacific,PCAA,Bob Cope,W,31,14
1983-10-15,Cal State Fullerton,PCAA,Gene Murphy,A,San Jose State,PCAA,Jack Elway,W,20,11
1983-10-22,Cal State Fullerton,PCAA,Gene Murphy,H,Fresno State,PCAA,Jim Sweeney,W,18,17
1983-11-05,Cal State Fullerton,PCAA,Gene Murphy,A,Utah,WAC,Chuck Stobart,L,20,47
1983-11-12,Cal State Fullerton,PCAA,Gene Murphy,H,Nevada-Las Vegas,PCAA,Harvey Hyde,L,0,13
1983-12-17,Cal State Fullerton,PCAA,Gene Murphy,N,Northern Illinois,MAC,Bill Mallory,L,13,20
1983-09-10,Wichita State,MVC,Willie Jeffries,A,Ball State,MAC,Dwight Wallace,L,21,25
1983-09-17,Wichita State,MVC,Willie Jeffries,A,Kansas,Big 8,Mike Gottfried,L,6,57
1983-09-24,Wichita State,MVC,Willie Jeffries,A,Arizona State,Pac-10,Darryl Rogers,L,14,44
1983-10-01,Wichita State,MVC,Willie Jeffries,H,Drake,MVC,,W,43,0
1983-10-15,Wichita State,MVC,Willie Jeffries,A,Indiana State,MVC,,L,22,24
1983-10-22,Wichita State,MVC,Willie Jeffries,H,West Texas A&M,MVC,,W,31,30
1983-10-29,Wichita State,MVC,Willie Jeffries,A,Tulsa,MVC,John Cooper,L,19,30
1983-11-05,Wichita State,MVC,Willie Jeffries,A,New Mexico State,MVC,Fred Zechman,L,28,62
1983-11-12,Wichita State,MVC,Willie Jeffries,H,Southern Illinois,MVC,Rey Dempsey,W,28,6
1983-09-17,Illinois State,MVC,,H,Western Michigan,MAC,Jack Harbaugh,L,13,14
1983-09-24,Illinois State,MVC,,A,Drake,MVC,,W,36,17
1983-10-01,Illinois State,MVC,,H,Indiana State,MVC,,W,37,20
1983-10-08,Illinois State,MVC,,A,West Texas A&M,MVC,,T,24,24
1983-10-15,Illinois State,MVC,,A,Tulsa,MVC,John Cooper,L,25,39
1983-11-05,Illinois State,MVC,,A,Southern Illinois,MVC,Rey Dempsey,L,26,28
1983-09-02,Syracuse,Ind,Dick MacPherson,A,Temple,Ind,Bruce Arians,L,6,17
1983-09-10,Syracuse,Ind,Dick MacPherson,H,Kent State,MAC,Dick Scesniak,W,22,10
1983-09-17,Syracuse,Ind,Dick MacPherson,H,Northwestern,Big Ten,Dennis Green,W,35,0
1983-09-24,Syracuse,Ind,Dick MacPherson,H,Rutgers,Ind,Frank Burns,W,17,13
1983-10-01,Syracuse,Ind,Dick MacPherson,A,Nebraska,Big 8,Tom Osborne,L,7,63
1983-10-08,Syracuse,Ind,Dick MacPherson,A,Maryland,ACC,Bobby Ross,L,13,34
1983-10-15,Syracuse,Ind,Dick MacPherson,H,Penn State,Ind,Joe Paterno,L,6,17
1983-10-29,Syracuse,Ind,Dick MacPherson,A,Pitt,Ind,Foge Fazio,L,10,13
1983-11-05,Syracuse,Ind,Dick MacPherson,A,Navy,Ind,Gary Tranquill,W,14,7
1983-11-12,Syracuse,Ind,Dick MacPherson,H,Boston College,Ind,Jack Bicknell,W,21,10
1983-11-19,Syracuse,Ind,Dick MacPherson,H,West Virginia,Ind,Don Nehlen,W,27,16
1983-09-03,Arizona,Pac-10,Larry Smith,H,Oregon State,Pac-10,Joe Avezzano,W,50,6
1983-09-10,Arizona,Pac-10,Larry Smith,H,Utah,WAC,Chuck Stobart,W,38,0
1983-09-17,Arizona,Pac-10,Larry Smith,A,Washington State,Pac-10,Jim Walden,W,45,6
1983-09-24,Arizona,Pac-10,Larry Smith,H,Cal State Fullerton,PCAA,Gene Murphy,W,27,10
1983-10-01,Arizona,Pac-10,Larry Smith,A,California,Pac-10,Joe Kapp,T,33,33
1983-10-08,Arizona,Pac-10,Larry Smith,H,Colorado State,WAC,Leon Fuller,W,52,21
1983-10-15,Arizona,Pac-10,Larry Smith,H,Oregon,Pac-10,Rich Brooks,L,10,19
1983-10-22,Arizona,Pac-10,Larry Smith,A,Stanford,Pac-10,Paul Wiggin,L,22,31
1983-11-05,Arizona,Pac-10,Larry Smith,H,Washington,Pac-10,Don James,L,22,23
1983-11-12,Arizona,Pac-10,Larry Smith,H,UCLA,Pac-10,Terry Donahue,W,27,24
