Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2004-09-11,North Carolina,ACC,John Bunting,A,Virginia,ACC,Al Groh,L,24,56,19,24,299,2,35,135,1,10,8,4,44,1,1
2004-09-18,North Carolina,ACC,John Bunting,H,Georgia Tech,ACC,Chan Gailey,W,34,13,10,23,142,1,47,284,3,8,10,6,50,0,2
2004-09-25,North Carolina,ACC,John Bunting,H,Louisville,CUSA,Bobby Petrino,L,0,34,14,26,145,0,22,77,0,8,3,4,27,1,2
2004-10-02,North Carolina,ACC,John Bunting,A,Florida State,ACC,Bobby Bowden,L,16,38,20,33,263,1,35,100,0,10,7,7,51,0,1
2004-10-09,North Carolina,ACC,John Bunting,H,North Carolina State,ACC,Chuck Amato,W,30,24,15,23,192,3,30,164,0,7,7,3,22,0,0
2004-10-16,North Carolina,ACC,John Bunting,A,Utah,MWC,Urban Meyer,L,16,46,16,34,173,0,27,48,2,7,4,4,25,1,1
2004-10-30,North Carolina,ACC,John Bunting,H,Miami (FL),ACC,Larry Coker,W,31,28,21,29,266,2,50,279,2,13,16,6,50,0,1
2004-11-06,North Carolina,ACC,John Bunting,H,Virginia Tech,ACC,Frank Beamer,L,24,27,14,21,165,1,26,131,1,8,5,7,56,0,1
2004-11-13,North Carolina,ACC,John Bunting,A,Wake Forest,ACC,Jim Grobe,W,31,24,19,37,234,2,38,166,2,13,6,9,67,1,1
2004-11-20,North Carolina,ACC,John Bunting,A,Duke,ACC,Ted Roof,W,40,17,17,24,201,1,48,285,3,11,9,7,61,1,0
2004-12-30,North Carolina,ACC,John Bunting,N,Boston College,Big East,Tom O'Brien,L,24,37,23,41,259,3,33,105,0,15,7,5,40,0,0
2004-09-04,Miami (OH),MAC,Terry Hoeppner,A,Michigan,Big Ten,Lloyd Carr,L,10,43,19,40,217,0,25,33,1,11,2,7,46,2,5
2004-09-11,Miami (OH),MAC,Terry Hoeppner,A,Cincinnati,CUSA,Mark Dantonio,L,26,45,26,43,416,4,24,37,0,17,4,6,40,1,0
2004-09-18,Miami (OH),MAC,Terry Hoeppner,H,Ohio,MAC,Brian Knorr,W,40,20,21,32,268,2,36,146,2,10,11,1,5,2,1
