Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,FieldGoals,FieldGoalAttempts,ThreePointers,ThreePointerAttempts,FreeThrows,FreeThrowAttempts,OffensiveRebounds,TeamRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,OpponentFieldGoals,OpponentFieldGoalAttempts,OpponentThreePointers,OpponentThreePointerAttempts,OpponentFreeThrows,OpponentFreeThrowAttempts,OpponentOffensiveRebounds,OpponentTeamRebounds,OpponentAssists,OpponentSteals,OpponentBlocks,OpponentTurnovers,OpponentPersonalFouls
2014-11-14,Washington State,Pac-12,Ernie Kent,A,UTEP,CUSA,Tim Floyd,L,52,65,19,54,6,21,8,10,5,33,10,5,5,21,21,22,63,4,14,17,26,16,44,13,11,7,14,14
2014-11-17,Washington State,Pac-12,Ernie Kent,A,TCU,Big 12,Trent Johnson,L,54,81,19,54,5,14,11,28,12,33,11,3,5,17,20,31,71,8,16,11,19,15,40,18,10,2,9,21
2014-11-21,Washington State,Pac-12,Ernie Kent,H,Idaho State,Big Sky,Bill Evans,W,80,68,26,65,9,33,19,23,15,39,16,5,4,9,16,27,56,4,12,10,16,2,26,7,4,3,10,16
2014-11-27,Washington State,Pac-12,Ernie Kent,N,UCSB,Big West,Bob Williams,L,43,71,13,57,4,21,13,18,9,28,10,4,3,9,15,28,59,8,17,7,10,10,41,22,5,4,10,16
2014-11-28,Washington State,Pac-12,Ernie Kent,N,Rice,CUSA,Mike Rhoades,W,76,74,24,51,7,15,21,29,6,32,21,4,5,9,20,26,65,8,22,14,20,12,37,17,1,2,8,22
2014-11-29,Washington State,Pac-12,Ernie Kent,N,Missouri State,MVC,Paul Lusk,W,89,84,28,55,9,26,24,29,5,25,18,1,2,9,18,30,61,10,22,14,18,8,27,21,5,0,9,24
2014-12-03,Washington State,Pac-12,Ernie Kent,H,Idaho,Big Sky,Don Verlin,L,71,77,25,71,5,30,16,19,11,35,13,8,4,9,22,27,60,7,19,16,26,10,38,12,5,3,13,18
2014-12-06,Washington State,Pac-12,Ernie Kent,H,UTSA,CUSA,Brooks Thompson,W,91,71,31,51,18,30,11,15,7,27,20,6,4,19,23,23,55,7,18,18,29,9,22,11,9,0,17,17
2014-12-10,Washington State,Pac-12,Ernie Kent,N,Gonzaga,WCC,Mark Few,L,66,81,25,48,6,12,10,14,4,19,13,4,3,14,14,35,65,4,11,7,10,14,34,17,10,3,11,16
2014-12-13,Washington State,Pac-12,Ernie Kent,A,Santa Clara,WCC,Kerry Keating,L,67,76,25,55,4,18,13,16,14,39,14,0,2,13,21,26,51,7,22,17,24,3,21,11,4,1,6,18
2014-12-21,Washington State,Pac-12,Ernie Kent,H,San Jose State,MWC,Dave Wojcik,W,82,53,31,67,6,24,14,17,17,43,18,10,7,10,15,20,60,3,17,10,16,11,29,8,6,1,13,16
2014-12-28,Washington State,Pac-12,Ernie Kent,H,UC-Davis,Big West,Jim Les,W,90,83,31,57,11,19,17,22,5,29,23,7,1,18,15,33,59,9,16,8,12,4,23,12,12,2,13,20
2015-01-02,Washington State,Pac-12,Ernie Kent,A,Stanford,Pac-12,Johnny Dawkins,L,56,71,14,43,4,14,24,39,6,29,7,3,4,9,19,26,56,4,13,15,21,8,34,10,4,3,6,26
2015-01-04,Washington State,Pac-12,Ernie Kent,A,California,Pac-12,Cuonzo Martin,W,69,66,23,55,2,8,21,29,8,34,15,5,3,10,19,22,58,8,22,14,19,7,33,12,4,4,9,20
2015-01-10,Washington State,Pac-12,Ernie Kent,A,Washington,Pac-12,Lorenzo Romar,W,80,77,28,61,9,24,15,16,6,33,13,4,2,10,12,32,65,4,19,9,10,3,29,14,6,3,9,20
2015-01-15,Washington State,Pac-12,Ernie Kent,H,Oregon,Pac-12,Dana Altman,W,108,99,33,56,14,24,28,37,5,33,24,1,4,11,21,38,77,9,20,14,21,10,33,14,9,2,9,28
2015-01-17,Washington State,Pac-12,Ernie Kent,H,Oregon State,Pac-12,Wayne Tinkle,L,47,62,14,48,5,25,14,17,5,21,10,3,4,10,15,21,43,6,12,14,18,4,32,6,8,3,8,16
2015-01-21,Washington State,Pac-12,Ernie Kent,A,Utah,Pac-12,Larry Krystkowiak,L,64,86,21,46,8,19,14,27,5,32,14,1,8,17,22,29,60,9,24,19,22,4,26,17,10,3,3,19
