Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1972-09-09,North Carolina,ACC,Bill Dooley,H,Richmond,Southern,Frank Jones,W,28,18
1972-09-16,North Carolina,ACC,Bill Dooley,A,Maryland,ACC,Jerry Claiborne,W,31,26
1972-09-23,North Carolina,ACC,Bill Dooley,H,North Carolina State,ACC,Lou Holtz,W,34,33
1972-09-30,North Carolina,ACC,Bill Dooley,A,Ohio State,Big Ten,Woody Hayes,L,14,29
1972-10-14,North Carolina,ACC,Bill Dooley,H,Kentucky,SEC,John Ray,W,31,20
1972-10-21,North Carolina,ACC,Bill Dooley,A,Wake Forest,ACC,Tom Harper,W,21,0
1972-11-04,North Carolina,ACC,Bill Dooley,A,Clemson,ACC,Cecil Ingram,W,26,10
1972-11-11,North Carolina,ACC,Bill Dooley,H,Virginia,ACC,Don Lawrence,W,23,3
1972-11-18,North Carolina,ACC,Bill Dooley,H,Duke,ACC,Mike McGee,W,14,0
1972-11-25,North Carolina,ACC,Bill Dooley,H,East Carolina,Southern,Sonny Randle,W,42,19
1972-12-09,North Carolina,ACC,Bill Dooley,A,Florida,SEC,Doug Dickey,W,28,24
1972-12-30,North Carolina,ACC,Bill Dooley,N,Texas Tech,SWC,Jim Carlen,W,32,28
1972-09-16,Miami (OH),MAC,Bill Mallory,H,Dayton,Ind,John McVay,W,34,7
1972-09-23,Miami (OH),MAC,Bill Mallory,H,Bowling Green State,MAC,Don Nehlen,L,7,16
1972-09-30,Miami (OH),MAC,Bill Mallory,H,Xavier,Ind,Thomas Cecchini,W,25,7
1972-10-07,Miami (OH),MAC,Bill Mallory,A,Marshall,Ind,Jack Lengyel,W,22,7
1972-10-14,Miami (OH),MAC,Bill Mallory,H,Ohio,MAC,Bill Hess,W,31,7
1972-10-21,Miami (OH),MAC,Bill Mallory,A,South Carolina,Ind,Paul Dietzel,W,21,8
1972-10-28,Miami (OH),MAC,Bill Mallory,A,Toledo,MAC,Jack Murphy,L,21,35
1972-11-04,Miami (OH),MAC,Bill Mallory,H,Western Michigan,MAC,Bill Doolittle,W,38,8
1972-11-11,Miami (OH),MAC,Bill Mallory,H,Kent State,MAC,Don James,L,10,21
1972-11-18,Miami (OH),MAC,Bill Mallory,A,Cincinnati,Ind,Ray Callahan,W,23,0
1972-09-16,Indiana,Big Ten,John Pont,H,Minnesota,Big Ten,Cal Stoll,W,27,23
1972-09-23,Indiana,Big Ten,John Pont,H,Texas Christian,SWC,Billy Tohill,L,28,31
1972-09-30,Indiana,Big Ten,John Pont,A,Kentucky,SEC,John Ray,W,35,34
1972-10-07,Indiana,Big Ten,John Pont,A,Syracuse,Ind,Ben Schwartzwalder,W,10,2
1972-10-14,Indiana,Big Ten,John Pont,H,Wisconsin,Big Ten,John Jardine,W,33,7
1972-10-21,Indiana,Big Ten,John Pont,A,Ohio State,Big Ten,Woody Hayes,L,7,44
1972-10-28,Indiana,Big Ten,John Pont,A,Northwestern,Big Ten,Alex Agase,L,14,23
1972-11-04,Indiana,Big Ten,John Pont,H,Michigan,Big Ten,Bo Schembechler,L,7,21
1972-11-11,Indiana,Big Ten,John Pont,A,Illinois,Big Ten,Bob Blackman,L,20,37
1972-11-18,Indiana,Big Ten,John Pont,H,Iowa,Big Ten,Frank Lauterbur,W,16,8
1972-11-25,Indiana,Big Ten,John Pont,A,Purdue,Big Ten,Bob DeMoss,L,7,42
1972-09-09,Florida State,Ind,Larry Jones,A,Pitt,Ind,Carl DePasqua,W,19,7
1972-09-16,Florida State,Ind,Larry Jones,A,Miami (FL),Ind,Fran Curci,W,37,14
1972-09-23,Florida State,Ind,Larry Jones,H,Virginia Tech,Ind,Charles Coffey,W,27,15
1972-09-30,Florida State,Ind,Larry Jones,A,Kansas,Big 8,Don Fambrough,W,44,22
1972-10-07,Florida State,Ind,Larry Jones,H,Florida,SEC,Doug Dickey,L,13,42
1972-10-14,Florida State,Ind,Larry Jones,A,Mississippi State,SEC,Charles Shira,W,25,21
1972-10-21,Florida State,Ind,Larry Jones,H,Colorado State,WAC,Jerry Wampfler,W,37,0
1972-10-28,Florida State,Ind,Larry Jones,A,Auburn,SEC,Ralph Jordan,L,14,27
1972-11-04,Florida State,Ind,Larry Jones,H,Houston,Ind,Bill Yeoman,L,27,31
1972-11-11,Florida State,Ind,Larry Jones,H,Tulsa,MVC,F. Dry,W,23,21
1972-11-18,Florida State,Ind,Larry Jones,A,South Carolina,Ind,Paul Dietzel,L,21,24
1972-09-16,Iowa State,Big 8,Johnny Majors,A,Colorado State,WAC,Jerry Wampfler,W,41,0
1972-09-23,Iowa State,Big 8,Johnny Majors,H,Utah,WAC,Bill Meek,W,44,22
1972-09-30,Iowa State,Big 8,Johnny Majors,H,New Mexico,WAC,Rudy Feldman,W,31,0
1972-10-14,Iowa State,Big 8,Johnny Majors,A,Colorado,Big 8,Eddie Crowder,L,22,34
1972-10-21,Iowa State,Big 8,Johnny Majors,H,Kansas State,Big 8,Vince Gibson,W,55,22
1972-10-28,Iowa State,Big 8,Johnny Majors,A,Kansas,Big 8,Don Fambrough,W,34,8
1972-11-04,Iowa State,Big 8,Johnny Majors,H,Oklahoma,Big 8,Chuck Fairbanks,L,6,20
1972-11-11,Iowa State,Big 8,Johnny Majors,H,Nebraska,Big 8,Bob Devaney,T,23,23
1972-11-18,Iowa State,Big 8,Johnny Majors,A,Missouri,Big 8,Al Onofrio,L,5,6
1972-11-25,Iowa State,Big 8,Johnny Majors,A,Oklahoma State,Big 8,Dave Smith,L,14,45
1972-12-02,Iowa State,Big 8,Johnny Majors,A,San Diego State,PCAA,Don Coryell,L,14,27
1972-12-18,Iowa State,Big 8,Johnny Majors,N,Georgia Tech,Ind,Bill Fulcher,L,30,31
1972-09-16,Cincinnati,Ind,Ray Callahan,A,Colorado,Big 8,Eddie Crowder,L,14,56
1972-09-23,Cincinnati,Ind,Ray Callahan,H,Xavier,Ind,Thomas Cecchini,L,7,19
1972-09-30,Cincinnati,Ind,Ray Callahan,H,Villanova,Ind,Lou Ferry,W,14,7
1972-10-07,Cincinnati,Ind,Ray Callahan,H,Ohio,MAC,Bill Hess,L,14,28
1972-10-14,Cincinnati,Ind,Ray Callahan,A,Wichita State,MVC,Bob Seaman,L,17,20
1972-10-28,Cincinnati,Ind,Ray Callahan,H,Louisville,MVC,Lee Corso,L,13,38
1972-11-04,Cincinnati,Ind,Ray Callahan,A,North Texas,MVC,Rod Rust,L,25,27
1972-11-11,Cincinnati,Ind,Ray Callahan,A,Memphis,MVC,Fred Pancoast,L,24,49
1972-11-18,Cincinnati,Ind,Ray Callahan,H,Miami (OH),MAC,Bill Mallory,L,0,23
1972-11-25,Cincinnati,Ind,Ray Callahan,A,Houston,Ind,Bill Yeoman,L,0,49
1972-09-16,Arizona State,WAC,Frank Kush,A,Houston,Ind,Bill Yeoman,W,33,28
