Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,FieldGoals,FieldGoalAttempts,ThreePointers,ThreePointerAttempts,FreeThrows,FreeThrowAttempts,OffensiveRebounds,TeamRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,OpponentFieldGoals,OpponentFieldGoalAttempts,OpponentThreePointers,OpponentThreePointerAttempts,OpponentFreeThrows,OpponentFreeThrowAttempts,OpponentOffensiveRebounds,OpponentTeamRebounds,OpponentAssists,OpponentSteals,OpponentBlocks,OpponentTurnovers,OpponentPersonalFouls
2013-11-08,Washington State,Pac-12,Ken Bone,H,Cal State Bakersfield,WAC,Rod Barnes,W,62,56,15,48,4,23,28,43,16,36,7,10,2,16,23,20,48,5,15,11,28,12,34,7,10,0,17,32
2013-11-17,Washington State,Pac-12,Ken Bone,H,Lamar,Southland,Tic Price,W,84,64,30,65,9,30,15,18,10,34,15,7,3,10,15,23,49,4,9,14,20,5,26,14,6,0,15,18
2013-11-21,Washington State,Pac-12,Ken Bone,A,Gonzaga,WCC,Mark Few,L,74,90,25,56,9,28,15,21,8,29,13,4,2,12,19,33,59,13,23,11,18,7,32,20,7,3,11,14
2013-11-24,Washington State,Pac-12,Ken Bone,H,TCU,Big 12,Trent Johnson,L,62,64,19,52,13,34,11,18,5,23,13,5,2,8,19,24,44,2,8,14,20,5,31,10,4,1,12,16
2013-11-28,Washington State,Pac-12,Ken Bone,N,Butler,Big East,Brandon Miller,L,69,76,25,50,5,20,14,22,7,27,7,1,1,13,21,27,56,6,15,16,21,6,27,9,7,1,6,19
2013-11-29,Washington State,Pac-12,Ken Bone,N,Purdue,Big Ten,Matt Painter,W,69,54,25,57,8,20,11,16,10,32,15,9,5,13,13,19,57,6,17,10,12,12,33,8,4,6,15,18
2013-12-01,Washington State,Pac-12,Ken Bone,N,St. Joseph's,A-10,Phil Martelli,L,67,72,25,54,10,26,7,10,3,24,14,3,1,8,17,27,56,7,18,11,18,9,34,12,2,6,7,13
2013-12-07,Washington State,Pac-12,Ken Bone,A,Idaho,WAC,Don Verlin,W,67,66,25,64,9,30,8,12,12,32,7,5,2,9,21,18,44,5,17,25,31,3,25,5,6,1,11,17
2013-12-15,Washington State,Pac-12,Ken Bone,H,Pepperdine,WCC,Marty Wilson,W,78,61,30,56,5,18,13,30,9,37,14,10,4,8,23,20,52,7,18,14,29,8,25,10,4,0,15,23
2013-12-21,Washington State,Pac-12,Ken Bone,H,UTEP,CUSA,Tim Floyd,L,51,64,20,59,7,27,4,11,13,33,7,3,2,9,19,22,43,5,14,15,20,5,29,12,4,5,9,18
2013-12-28,Washington State,Pac-12,Ken Bone,H,Mississippi Valley State,SWAC,Chico Potts,W,85,48,33,55,6,17,13,22,10,41,17,11,7,16,14,17,62,5,19,9,14,13,23,6,11,0,19,18
2014-01-02,Washington State,Pac-12,Ken Bone,A,Arizona,Pac-12,Sean Miller,L,25,60,9,45,2,12,5,13,6,19,6,3,1,12,16,20,45,4,14,16,24,12,40,13,6,6,11,15
2014-01-05,Washington State,Pac-12,Ken Bone,A,Arizona State,Pac-12,Herb Sendek,L,47,66,18,53,5,19,6,10,7,29,8,9,3,14,17,21,50,9,20,15,18,6,33,12,2,5,13,16
2014-01-08,Washington State,Pac-12,Ken Bone,H,Colorado,Pac-12,Tad Boyle,L,70,71,27,60,13,23,3,3,5,29,17,4,2,10,22,21,51,3,13,26,38,7,32,8,5,3,5,13
2014-01-12,Washington State,Pac-12,Ken Bone,H,Utah,Pac-12,Larry Krystkowiak,W,49,46,15,40,2,7,17,28,8,30,6,6,4,12,21,13,44,2,14,18,27,9,30,7,4,2,9,22
2014-01-15,Washington State,Pac-12,Ken Bone,A,Stanford,Pac-12,Johnny Dawkins,L,48,80,20,54,6,19,2,5,6,23,8,6,3,11,17,30,52,8,20,12,20,3,30,17,4,2,9,12
2014-01-18,Washington State,Pac-12,Ken Bone,A,California,Pac-12,Mike Montgomery,L,55,76,16,47,5,15,18,22,9,28,9,4,4,14,16,29,51,5,13,13,20,4,22,20,8,4,9,17
2014-01-22,Washington State,Pac-12,Ken Bone,H,Oregon State,Pac-12,Craig Robinson,L,55,66,24,48,6,14,1,4,4,24,9,4,2,12,21,21,40,5,13,19,27,4,25,6,3,1,11,9
2014-01-26,Washington State,Pac-12,Ken Bone,H,Oregon,Pac-12,Dana Altman,L,44,71,10,40,8,26,16,25,4,21,8,5,4,14,11,26,57,9,22,10,11,10,38,15,6,0,13,19
2014-02-01,Washington State,Pac-12,Ken Bone,H,Washington,Pac-12,Lorenzo Romar,W,72,67,22,53,7,20,21,34,12,37,10,5,2,4,13,25,57,8,20,9,13,8,32,15,3,1,12,23
2014-02-05,Washington State,Pac-12,Ken Bone,A,Colorado,Pac-12,Tad Boyle,L,63,68,21,49,13,27,8,12,5,25,15,6,2,16,22,22,50,6,18,18,27,10,32,9,8,5,12,13
2014-02-08,Washington State,Pac-12,Ken Bone,A,Utah,Pac-12,Larry Krystkowiak,L,63,81,21,54,8,24,13,19,9,27,9,5,4,8,17,29,55,7,15,16,21,7,32,17,7,4,7,18
2014-02-12,Washington State,Pac-12,Ken Bone,H,California,Pac-12,Mike Montgomery,L,76,80,21,52,13,28,21,25,7,29,9,2,5,6,16,28,60,8,15,16,21,9,35,10,3,1,7,18
2014-02-15,Washington State,Pac-12,Ken Bone,H,Stanford,Pac-12,Johnny Dawkins,L,56,69,16,51,9,29,15,18,9,29,9,3,2,9,25,18,41,6,16,27,36,6,32,8,7,5,12,19
2014-02-20,Washington State,Pac-12,Ken Bone,A,Oregon State,Pac-12,Craig Robinson,L,57,68,18,42,5,16,16,28,7,27,12,5,3,15,28,20,48,3,14,25,36,11,30,13,5,3,10,22
2014-02-23,Washington State,Pac-12,Ken Bone,A,Oregon,Pac-12,Dana Altman,L,53,67,15,46,6,22,17,22,6,26,6,2,3,17,15,22,46,11,20,12,18,4,23,15,10,8,9,21
2014-02-28,Washington State,Pac-12,Ken Bone,A,Washington,Pac-12,Lorenzo Romar,L,49,72,14,45,4,23,17,24,5,26,6,7,4,10,19,26,51,6,13,14,24,9,38,15,7,1,10,17
2014-03-06,Washington State,Pac-12,Ken Bone,H,USC,Pac-12,Andy Enfield,L,68,79,23,63,10,35,12,18,7,33,12,4,2,7,17,28,55,6,19,17,23,5,38,14,6,4,9,16
2014-03-08,Washington State,Pac-12,Ken Bone,H,UCLA,Pac-12,Steve Alford,W,73,55,21,57,10,29,21,32,14,44,14,3,5,10,17,18,54,5,23,14,20,2,27,11,7,2,12,23
2014-03-12,Washington State,Pac-12,Ken Bone,N,Stanford,Pac-12,Johnny Dawkins,L,63,74,21,53,5,18,16,19,11,24,9,5,0,8,19,24,41,5,15,21,24,5,26,6,2,3,11,15
2013-11-08,North Carolina Central,MEAC,LeVelle Moton,A,Cincinnati,AAC,Mick Cronin,L,61,74,19,48,3,14,20,28,9,26,7,6,3,15,29,22,56,7,21,23,31,16,36,13,8,4,12,22
2013-11-18,North Carolina Central,MEAC,LeVelle Moton,A,Campbell,Big South,Kevin McGeehan,W,62,43,21,52,4,14,16,22,13,36,10,9,3,7,13,15,44,8,21,5,8,6,26,13,3,3,14,15
2013-11-20,North Carolina Central,MEAC,LeVelle Moton,A,NC State,ACC,Mark Gottfried,W,82,72,19,47,3,16,41,45,9,32,7,5,4,14,26,23,57,3,20,23,33,12,29,9,6,2,11,31
2013-11-22,North Carolina Central,MEAC,LeVelle Moton,H,Appalachian State,Southern,Jason Capel,W,76,70,24,55,5,19,23,31,12,37,17,8,5,14,22,23,62,5,22,19,30,12,32,5,6,2,12,26
2013-12-03,North Carolina Central,MEAC,LeVelle Moton,A,Old Dominion,CUSA,Jeff Jones,W,76,69,31,60,5,13,9,19,6,32,19,9,0,12,18,29,65,3,19,8,18,14,39,13,4,4,15,15
2013-12-07,North Carolina Central,MEAC,LeVelle Moton,A,IUPUI,Summit,Todd Howard,L,65,71,25,63,3,21,12,16,14,35,14,8,4,11,25,20,48,5,9,26,33,6,32,11,8,3,12,12
2013-12-18,North Carolina Central,MEAC,LeVelle Moton,H,Winthrop,Big South,Pat Kelsey,W,72,66,23,49,7,16,19,28,9,28,17,9,6,13,15,24,53,10,25,8,12,9,25,16,3,4,18,21
2013-12-22,North Carolina Central,MEAC,LeVelle Moton,A,Wichita State,MVC,Gregg Marshall,L,66,77,23,45,10,24,10,17,4,17,13,5,1,13,25,24,50,7,23,22,34,11,32,16,6,2,8,14
2013-12-31,North Carolina Central,MEAC,LeVelle Moton,A,Maryland,ACC,Mark Turgeon,L,56,70,18,55,2,15,18,24,7,23,11,8,2,7,18,22,49,8,19,18,22,9,38,13,0,8,16,20
2014-01-07,North Carolina Central,MEAC,LeVelle Moton,H,Hampton,MEAC,Edward Joyner,W,74,61,27,55,6,14,14,22,10,39,19,4,6,22,27,17,63,5,22,22,29,12,34,7,9,5,15,21
2014-01-11,North Carolina Central,MEAC,LeVelle Moton,A,Florida A&M,MEAC,Clemon Johnson,L,60,63,18,54,2,9,22,24,14,33,7,8,0,13,13,23,55,9,26,8,13,14,33,9,7,5,12,16
2014-01-13,North Carolina Central,MEAC,LeVelle Moton,A,Bethune-Cookman,MEAC,Gravelle Craig,W,64,49,23,49,4,12,14,22,12,33,16,12,4,16,20,16,47,5,15,12,17,11,27,6,9,6,18,20
2014-01-16,North Carolina Central,MEAC,LeVelle Moton,H,NJIT,Independent,Jim Engles,W,71,55,27,59,3,18,14,19,8,29,19,14,3,12,20,16,43,7,18,16,23,5,26,8,6,3,21,17
2014-01-18,North Carolina Central,MEAC,LeVelle Moton,H,Delaware State,MEAC,Keith Walker,W,62,52,24,48,3,12,11,21,9,26,14,5,4,6,18,16,44,4,13,16,22,13,31,9,1,4,13,21
2014-01-22,North Carolina Central,MEAC,LeVelle Moton,H,North Carolina A&T,MEAC,Cy Alexander,W,84,44,30,65,5,16,19,27,12,37,17,8,8,11,22,10,44,4,19,20,26,6,29,5,3,9,19,26
2014-01-25,North Carolina Central,MEAC,LeVelle Moton,H,Coppin State,MEAC,Fang Mitchell,W,87,63,32,62,9,16,14,16,10,39,20,7,9,11,18,20,60,8,24,15,19,9,30,12,5,3,10,14
2014-01-27,North Carolina Central,MEAC,LeVelle Moton,H,Morgan State,MEAC,Todd Bozeman,W,53,52,19,53,1,9,14,23,14,32,9,11,0,14,19,18,44,4,17,12,20,8,31,10,9,5,19,20
2014-02-01,North Carolina Central,MEAC,LeVelle Moton,A,Howard,MEAC,Kevin Nickelberry,W,79,65,26,54,8,18,19,33,9,32,13,8,4,11,22,20,49,6,17,19,29,7,27,13,3,6,17,21
2014-02-03,North Carolina Central,MEAC,LeVelle Moton,A,Maryland-Eastern Shore,MEAC,Frankie Allen,W,66,62,22,47,5,19,17,25,9,22,14,4,2,9,17,21,43,6,15,14,22,8,28,14,2,2,13,18
2014-02-08,North Carolina Central,MEAC,LeVelle Moton,H,Bethune-Cookman,MEAC,Gravelle Craig,W,77,54,26,42,9,14,16,20,3,19,18,10,7,10,18,17,42,6,16,14,18,7,19,7,3,2,20,15
2014-02-10,North Carolina Central,MEAC,LeVelle Moton,H,Florida A&M,MEAC,Clemon Johnson,W,92,49,32,60,9,18,19,24,8,33,18,11,3,7,16,19,51,4,21,7,12,7,26,11,4,5,18,21
2014-02-15,North Carolina Central,MEAC,LeVelle Moton,A,South Carolina State,MEAC,Murray Garvin,W,67,53,25,63,4,15,13,18,14,34,14,10,6,8,16,20,48,4,15,9,21,13,35,11,7,6,21,13
2014-02-17,North Carolina Central,MEAC,LeVelle Moton,A,Savannah State,MEAC,Horace Broadnax,W,76,62,19,47,3,15,35,41,13,30,13,4,5,11,24,19,44,3,10,21,27,7,23,4,7,5,12,27
2014-02-22,North Carolina Central,MEAC,LeVelle Moton,A,North Carolina A&T,MEAC,Cy Alexander,W,73,55,16,40,4,14,37,51,3,27,12,8,4,7,27,14,47,4,20,23,33,9,35,5,3,7,16,32
2014-02-25,North Carolina Central,MEAC,LeVelle Moton,A,NJIT,Independent,Jim Engles,W,81,62,24,47,3,10,30,38,9,35,14,11,8,21,28,15,48,3,22,29,36,4,18,7,13,4,19,25
2014-03-01,North Carolina Central,MEAC,LeVelle Moton,H,South Carolina State,MEAC,Murray Garvin,W,86,44,30,62,5,19,21,28,15,43,18,12,4,5,18,15,53,2,16,12,16,11,30,5,3,2,18,20
