Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1905-10-14,North Carolina,Ind,William Warner,A,Pennsylvania,Ind,,L,0,17
1905-10-21,North Carolina,Ind,William Warner,A,Navy,Ind,Paul Dashiell,L,0,38
1905-10-28,North Carolina,Ind,William Warner,A,Virginia Tech,Ind,C.P. Miles,L,6,35
1905-11-04,North Carolina,Ind,William Warner,N,Georgetown,Ind,Joe Reilly,W,36,0
1905-11-30,North Carolina,Ind,William Warner,N,Virginia,Ind,William Cole,W,17,0
1905-10-14,Dickinson,Ind,J. Williams,A,Navy,Ind,Paul Dashiell,L,0,6
1905-10-21,Dickinson,Ind,J. Williams,N,Carlisle,Ind,Ralph Kinney,L,0,36
1905-10-28,Dickinson,Ind,J. Williams,A,Pitt,Ind,Arthur Mosse,L,10,24
1905-11-11,Dickinson,Ind,J. Williams,H,Lehigh,Ind,Samuel Newton,W,18,0
1905-11-18,Dickinson,Ind,J. Williams,N,Penn State,Ind,Tom Fennell,L,0,6
1905-10-14,Indiana,Western,James Sheldon,A,Chicago,Western,Amos Alonzo Stagg,L,5,16
1905-10-21,Indiana,Western,James Sheldon,H,Washington (MO),Ind,C.A. Fairweather,W,39,0
1905-10-28,Indiana,Western,James Sheldon,N,Purdue,Western,A.E. Hernstein,T,11,11
1905-11-11,Indiana,Western,James Sheldon,H,Notre Dame,Ind,Henry McGlew,W,22,5
1905-11-18,Indiana,Western,James Sheldon,H,Wabash,Ind,Francis Cayou,W,40,0
1905-10-07,Wyoming,Ind,William McMurray,A,Utah,Ind,Joseph Maddock,L,0,31
1905-10-15,Wyoming,Ind,William McMurray,A,Colorado Mines,Ind,,L,0,28
1905-10-21,Wyoming,Ind,William McMurray,A,Colorado,Ind,Willis Keinholtz,L,0,69
1905-11-25,Wyoming,Ind,William McMurray,A,Colorado State,Ind,John McIntosh,L,5,34
1905-10-04,Yale,Ind,Jack Owsley,H,Wesleyan (CT),Ind,Howard Reiter,W,27,0
1905-10-07,Yale,Ind,Jack Owsley,H,Syracuse,Ind,,W,16,0
1905-10-14,Yale,Ind,Jack Owsley,H,Holy Cross,Ind,Frank Cavanaugh,W,30,0
1905-10-21,Yale,Ind,Jack Owsley,H,Penn State,Ind,Tom Fennell,W,12,0
1905-10-28,Yale,Ind,Jack Owsley,H,Army,Ind,Robert Boyers,W,20,0
1905-11-04,Yale,Ind,Jack Owsley,A,Columbia,Ind,William Morley,W,53,0
1905-11-11,Yale,Ind,Jack Owsley,H,Brown,Ind,Edward Robinson,W,11,0
1905-11-18,Yale,Ind,Jack Owsley,H,Princeton,Ind,,W,23,4
1905-11-25,Yale,Ind,Jack Owsley,A,Harvard,Ind,William Reid,W,6,0
1905-09-30,Iowa State,Ind,,H,Coe,Ind,,W,29,0
1905-10-14,Iowa State,Ind,,A,Minnesota,Western,Henry Williams,L,0,42
1905-11-04,Iowa State,Ind,,A,Nebraska,Ind,Walter Booth,L,0,21
1905-11-11,Iowa State,Ind,,A,Grinnell,Ind,Tuffy Fisk,W,38,4
1905-11-18,Iowa State,Ind,,H,Coe,Ind,,W,28,6
1905-11-24,Iowa State,Ind,,H,Iowa,Western,John Chalmers,L,0,8
1905-11-30,Iowa State,Ind,,A,Drake,Ind,Willie Heston,W,17,12
1905-09-30,Carlisle,Ind,Ralph Kinney,H,Villanova,Ind,Frederick Crolius,W,35,0
1905-10-07,Carlisle,Ind,Ralph Kinney,H,Penn State,Ind,Tom Fennell,W,11,0
1905-10-14,Carlisle,Ind,Ralph Kinney,A,Virginia,Ind,William Cole,W,12,0
1905-10-21,Carlisle,Ind,Ralph Kinney,N,Dickinson,Ind,J. Williams,W,36,0
1905-10-28,Carlisle,Ind,Ralph Kinney,A,Pennsylvania,Ind,,L,0,6
1905-11-04,Carlisle,Ind,Ralph Kinney,A,Harvard,Ind,William Reid,L,11,23
1905-11-11,Carlisle,Ind,Ralph Kinney,A,Army,Ind,Robert Boyers,W,6,5
1905-11-25,Carlisle,Ind,Ralph Kinney,H,Washington & Jefferson,Ind,Frank Piekarski,W,11,0
1905-11-30,Carlisle,Ind,Ralph Kinney,H,Georgetown,Ind,Joe Reilly,W,76,0
1905-10-07,Utah,Ind,Joseph Maddock,H,Wyoming,Ind,William McMurray,W,31,0
1905-10-21,Utah,Ind,Joseph Maddock,H,Denver,Ind,Ora Fowler,W,24,6
1905-11-04,Utah,Ind,Joseph Maddock,A,Colorado,Ind,Willis Keinholtz,L,5,46
1905-11-11,Utah,Ind,Joseph Maddock,H,Colorado Mines,Ind,,L,0,22
1905-11-30,Utah,Ind,Joseph Maddock,H,Colorado State,Ind,John McIntosh,W,24,0
1905-10-14,Grinnell,Ind,Tuffy Fisk,A,Coe,Ind,,W,5,4
1905-10-21,Grinnell,Ind,Tuffy Fisk,A,Drake,Ind,Willie Heston,W,5,4
1905-11-04,Grinnell,Ind,Tuffy Fisk,A,Iowa,Western,John Chalmers,L,0,46
1905-11-11,Grinnell,Ind,Tuffy Fisk,H,Iowa State,Ind,,L,4,38
1905-09-30,Knox,Ind,,A,Illinois,Western,Fred Lowenthal,L,0,6
