Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1950-09-23,North Carolina,Southern,Carl Snavely,H,North Carolina State,Southern,Beattie Feathers,W,13,7
1950-09-30,North Carolina,Southern,Carl Snavely,A,Notre Dame,Ind,Frank Leahy,L,7,14
1950-10-07,North Carolina,Southern,Carl Snavely,A,Georgia,SEC,Wallace Butts,T,0,0
1950-10-14,North Carolina,Southern,Carl Snavely,H,Wake Forest,Southern,D.C. Walker,L,7,13
1950-10-28,North Carolina,Southern,Carl Snavely,H,William & Mary,Southern,Rube McCray,W,40,7
1950-11-04,North Carolina,Southern,Carl Snavely,A,Tennessee,SEC,Bob Neyland,L,0,16
1950-11-11,North Carolina,Southern,Carl Snavely,H,Maryland,Southern,Jim Tatum,T,7,7
1950-11-18,North Carolina,Southern,Carl Snavely,A,South Carolina,Southern,Rex Enright,W,14,7
1950-11-25,North Carolina,Southern,Carl Snavely,H,Duke,Southern,Wallace Wade,L,0,7
1950-12-02,North Carolina,Southern,Carl Snavely,A,Virginia,Ind,Arthur Guepe,L,13,44
1950-09-30,Indiana,Western,Clyde Smith,A,Nebraska,Big 7,William Glassford,T,20,20
1950-10-07,Indiana,Western,Clyde Smith,H,Iowa,Western,Leonard Raffensperger,W,20,7
1950-10-14,Indiana,Western,Clyde Smith,H,Ohio State,Western,Wesley Fesler,L,14,26
1950-10-21,Indiana,Western,Clyde Smith,H,Notre Dame,Ind,Frank Leahy,W,20,7
1950-10-28,Indiana,Western,Clyde Smith,A,Illinois,Western,Ray Eliot,L,0,20
1950-11-04,Indiana,Western,Clyde Smith,A,Michigan State,Ind,Biggie Munn,L,0,35
1950-11-11,Indiana,Western,Clyde Smith,A,Michigan,Western,Bennie Oosterbaan,L,7,20
1950-11-18,Indiana,Western,Clyde Smith,H,Marquette,Ind,Liz Blackbourn,W,18,7
1950-11-25,Indiana,Western,Clyde Smith,A,Purdue,Western,Stuart Holcomb,L,0,13
1950-09-23,Iowa State,Big 7,Abe Stuber,H,Colorado,Big 7,Dallas Ward,W,14,7
1950-09-30,Iowa State,Big 7,Abe Stuber,A,Northwestern,Western,Robert Voigts,L,13,23
1950-10-14,Iowa State,Big 7,Abe Stuber,H,Kansas,Big 7,Jules Sikes,L,21,33
1950-10-21,Iowa State,Big 7,Abe Stuber,A,Missouri,Big 7,Don Faurot,T,20,20
1950-10-28,Iowa State,Big 7,Abe Stuber,H,Oklahoma,Big 7,Bud Wilkinson,L,7,20
1950-11-04,Iowa State,Big 7,Abe Stuber,A,Kansas State,Big 7,Ralph Graham,W,13,7
1950-11-11,Iowa State,Big 7,Abe Stuber,H,Drake,MVC,Warren Gaer,L,21,35
1950-11-18,Iowa State,Big 7,Abe Stuber,A,Nebraska,Big 7,William Glassford,L,13,20
1950-11-25,Iowa State,Big 7,Abe Stuber,A,Arizona,BIAA,Robert Winslow,L,26,27
1950-10-07,Fordham,Ind,Edward Danowski,A,Yale,Ind,Herman Hickman,L,14,21
1950-10-13,Fordham,Ind,Edward Danowski,A,Boston College,Ind,Denny Myers,W,26,6
1950-10-21,Fordham,Ind,Edward Danowski,A,West Virginia,Southern,Art Lewis,W,27,23
1950-10-28,Fordham,Ind,Edward Danowski,H,San Francisco,Ind,Joe Kuharich,W,21,14
1950-11-11,Fordham,Ind,Edward Danowski,H,Georgetown,Ind,Bob Margarita,W,14,13
1950-11-18,Fordham,Ind,Edward Danowski,A,Temple,Ind,Al Kawal,W,26,21
1950-11-25,Fordham,Ind,Edward Danowski,N,New York University,Ind,Hugh Devore,W,13,0
1950-12-02,Fordham,Ind,Edward Danowski,H,Syracuse,Ind,Ben Schwartzwalder,W,13,6
1950-09-23,Arizona State,BIAA,Edward Doherty,A,Brigham Young,Skyline,Charles Atkinson,W,41,13
1950-09-30,Arizona State,BIAA,Edward Doherty,H,New Mexico,BIAA,Dudley DeGroot,W,41,6
1950-10-07,Arizona State,BIAA,Edward Doherty,H,Northern Arizona,BIAA,,W,63,0
1950-10-14,Arizona State,BIAA,Edward Doherty,A,Hardin-Simmons,BIAA,Warren Woodson,L,14,41
1950-10-21,Arizona State,BIAA,Edward Doherty,H,Utah State,Skyline,George Melinkovich,W,28,0
1950-10-28,Arizona State,BIAA,Edward Doherty,H,New Mexico State,BIAA,Vaughn Corley,W,49,0
1950-11-11,Arizona State,BIAA,Edward Doherty,A,Arizona,BIAA,Robert Winslow,W,47,13
1950-11-18,Arizona State,BIAA,Edward Doherty,H,Colorado State,Skyline,Robert Davis,W,21,13
1950-11-25,Arizona State,BIAA,Edward Doherty,H,Idaho,PCC,Dixie Howell,W,48,21
1950-09-23,Furman,Southern,William Young,A,Washington & Lee,Southern,George Barclay,L,6,27
1950-09-30,Furman,Southern,William Young,N,Davidson,Southern,Crowell Little,W,32,20
1950-10-06,Furman,Southern,William Young,H,South Carolina,Southern,Rex Enright,L,6,21
1950-10-13,Furman,Southern,William Young,A,Alabama,SEC,Red Drew,L,6,34
1950-10-21,Furman,Southern,William Young,H,Citadel,Southern,Quinn Decker,W,21,7
1950-10-28,Furman,Southern,William Young,A,Florida,SEC,Bob Woodruff,L,7,19
1950-11-11,Furman,Southern,William Young,H,George Washington,Southern,Bo Rowland,L,7,34
1950-11-18,Furman,Southern,William Young,A,Clemson,Southern,Frank Howard,L,2,57
1950-11-25,Furman,Southern,William Young,A,Georgia,SEC,Wallace Butts,L,0,40
1950-09-23,Utah,Skyline,Jack Curtice,A,Idaho,PCC,Dixie Howell,L,19,26
1950-09-30,Utah,Skyline,Jack Curtice,H,Arizona,BIAA,Robert Winslow,W,27,14
1950-10-07,Utah,Skyline,Jack Curtice,A,Brigham Young,Skyline,Charles Atkinson,T,28,28
1950-10-14,Utah,Skyline,Jack Curtice,A,Denver,Skyline,John Baker,T,14,14
1950-10-21,Utah,Skyline,Jack Curtice,H,Wyoming,Skyline,Bowden Wyatt,L,13,53
1950-10-28,Utah,Skyline,Jack Curtice,H,Colorado,Big 7,Dallas Ward,T,20,20
1950-11-04,Utah,Skyline,Jack Curtice,H,Kansas,Big 7,Jules Sikes,L,26,39
1950-11-11,Utah,Skyline,Jack Curtice,A,Colorado State,Skyline,Robert Davis,L,7,32
1950-11-23,Utah,Skyline,Jack Curtice,H,Utah State,Skyline,George Melinkovich,W,46,0
