Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,FieldGoals,FieldGoalAttempts,ThreePointers,ThreePointerAttempts,FreeThrows,FreeThrowAttempts,OffensiveRebounds,TeamRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,OpponentFieldGoals,OpponentFieldGoalAttempts,OpponentThreePointers,OpponentThreePointerAttempts,OpponentFreeThrows,OpponentFreeThrowAttempts,OpponentOffensiveRebounds,OpponentTeamRebounds,OpponentAssists,OpponentSteals,OpponentBlocks,OpponentTurnovers,OpponentPersonalFouls
2012-11-10,Washington State,Pac-12,Ken Bone,H,Eastern Washington,Big Sky,Jim Hayford,W,88,69,29,53,4,13,26,40,8,43,13,7,6,15,17,25,72,15,39,4,12,12,27,10,7,4,14,26
2012-11-14,Washington State,Pac-12,Ken Bone,H,Utah Valley,GWC,Dick Hunsaker,W,72,49,29,56,8,24,6,8,6,25,16,5,1,5,8,19,43,5,11,6,10,4,20,10,2,1,13,9
2012-11-16,Washington State,Pac-12,Ken Bone,A,Pepperdine,WCC,Marty Wilson,L,56,58,19,47,6,17,12,18,8,34,14,4,1,19,9,23,55,7,19,5,9,6,25,16,9,3,13,21
2012-11-19,Washington State,Pac-12,Ken Bone,N,Kansas,Big 12,Bill Self,L,41,78,17,57,4,22,3,3,8,26,7,1,1,14,20,25,55,8,24,20,22,10,35,15,6,9,9,11
2012-11-20,Washington State,Pac-12,Ken Bone,N,Texas A&M,SEC,Billy Kennedy,L,54,55,19,40,7,14,9,14,2,19,11,3,5,13,16,19,52,5,16,12,18,13,32,8,10,4,10,18
2012-11-24,Washington State,Pac-12,Ken Bone,H,Arkansas-Pine Bluff,SWAC,George Ivory,W,66,38,23,48,8,25,12,12,5,32,20,5,3,13,14,15,50,4,18,4,9,8,23,6,7,1,12,14
2012-11-28,Washington State,Pac-12,Ken Bone,H,Idaho,WAC,Don Verlin,W,64,55,26,57,3,15,9,17,10,32,9,4,4,3,10,22,53,5,16,6,10,6,29,13,2,2,11,17
2012-12-01,Washington State,Pac-12,Ken Bone,H,Portland,WCC,Eric Reveno,W,72,60,24,56,7,17,17,22,10,38,14,6,4,11,19,18,50,11,25,13,22,3,24,14,5,6,9,19
2012-12-05,Washington State,Pac-12,Ken Bone,H,Gonzaga,WCC,Mark Few,L,69,71,24,53,10,27,11,18,8,28,12,5,4,15,19,28,55,7,16,8,15,9,28,13,7,2,16,18
2012-12-09,Washington State,Pac-12,Ken Bone,H,Fresno State,MWC,Rodney Terry,W,59,50,19,47,4,10,17,24,8,36,11,4,5,17,15,18,60,2,20,12,17,14,34,3,9,7,14,20
2012-12-13,Washington State,Pac-12,Ken Bone,H,Jackson State,SWAC,Tevester Anderson,W,52,41,20,49,3,19,9,14,14,41,15,1,2,19,11,13,57,5,24,10,12,8,22,9,9,2,11,14
2012-12-21,Washington State,Pac-12,Ken Bone,N,Buffalo,MAC,Reggie Witherspoon,W,65,54,21,48,10,20,13,24,11,32,14,4,5,7,11,20,54,9,21,5,10,10,30,15,2,7,13,23
2012-12-29,Washington State,Pac-12,Ken Bone,N,Idaho State,Big Sky,Bill Evans,W,74,39,24,49,7,18,19,27,12,38,11,6,2,12,10,16,43,6,19,1,9,1,13,9,4,5,11,22
2013-01-05,Washington State,Pac-12,Ken Bone,H,Washington,Pac-12,Lorenzo Romar,L,63,68,21,57,5,20,16,21,10,24,8,6,0,12,15,26,48,5,12,11,16,7,29,13,5,5,15,18
2013-01-09,Washington State,Pac-12,Ken Bone,A,Stanford,Pac-12,Johnny Dawkins,L,67,78,27,65,7,17,6,9,7,24,12,5,0,6,19,23,44,8,12,24,26,5,30,11,5,6,12,12
2013-01-12,Washington State,Pac-12,Ken Bone,A,California,Pac-12,Mike Montgomery,L,54,67,20,60,4,18,10,21,18,30,5,4,3,12,25,18,37,3,11,28,36,6,31,10,5,11,18,18
2013-01-16,Washington State,Pac-12,Ken Bone,H,Utah,Pac-12,Larry Krystkowiak,W,75,65,24,48,11,20,16,24,3,23,10,6,3,11,14,23,50,8,17,11,13,4,27,15,9,2,16,17
2013-01-19,Washington State,Pac-12,Ken Bone,H,Colorado,Pac-12,Tad Boyle,L,49,58,20,58,5,24,4,9,10,30,6,4,4,12,19,19,44,1,9,19,24,7,33,9,7,3,10,11
2013-01-23,Washington State,Pac-12,Ken Bone,A,Oregon,Pac-12,Dana Altman,L,61,68,20,56,7,24,14,20,6,27,10,5,4,15,19,24,55,5,16,15,21,8,30,18,10,7,16,19
2013-01-26,Washington State,Pac-12,Ken Bone,A,Oregon State,Pac-12,Craig Robinson,W,71,68,25,56,7,25,14,18,7,33,15,0,0,10,14,26,55,9,25,7,13,3,22,17,6,6,9,20
2013-01-31,Washington State,Pac-12,Ken Bone,H,Arizona State,Pac-12,Herb Sendek,L,59,63,19,48,9,23,12,19,6,34,10,3,0,9,13,24,62,11,31,4,11,6,29,13,4,6,4,14
2013-02-02,Washington State,Pac-12,Ken Bone,H,Arizona,Pac-12,Sean Miller,L,65,79,20,49,6,19,19,22,6,27,10,3,2,13,17,27,57,11,30,14,16,6,28,13,5,4,9,21
2013-02-07,Washington State,Pac-12,Ken Bone,A,USC,Pac-12,Bob Cantu,L,68,72,24,61,10,26,10,17,8,28,13,5,2,6,15,24,53,6,17,18,22,8,38,16,5,7,13,17
2013-02-09,Washington State,Pac-12,Ken Bone,A,UCLA,Pac-12,Ben Howland,L,62,76,22,54,9,25,9,14,13,27,17,8,1,17,11,31,50,6,16,8,11,3,17,22,12,4,13,15
2013-02-13,Washington State,Pac-12,Ken Bone,H,Oregon State,Pac-12,Craig Robinson,L,66,67,22,47,14,28,8,8,3,23,14,4,2,11,15,24,53,8,20,11,16,11,32,11,8,2,11,12
2013-02-16,Washington State,Pac-12,Ken Bone,H,Oregon,Pac-12,Dana Altman,L,77,79,21,52,12,28,23,31,8,29,13,7,3,10,19,26,57,7,24,20,29,12,35,10,9,1,13,20
2013-02-20,Washington State,Pac-12,Ken Bone,A,Arizona State,Pac-12,Herb Sendek,L,57,69,23,57,6,23,5,10,5,20,13,5,3,6,19,23,46,8,21,15,18,7,34,18,3,7,15,16
2013-02-23,Washington State,Pac-12,Ken Bone,A,Arizona,Pac-12,Sean Miller,L,56,73,18,40,6,16,14,28,5,19,13,4,1,12,19,25,45,11,22,12,18,6,26,19,5,3,10,21
2013-03-03,Washington State,Pac-12,Ken Bone,A,Washington,Pac-12,Lorenzo Romar,L,68,72,22,43,9,21,15,18,5,22,12,5,0,18,20,24,45,7,17,17,27,8,22,11,8,4,13,17
2013-03-06,Washington State,Pac-12,Ken Bone,H,UCLA,Pac-12,Ben Howland,W,73,61,28,57,3,12,14,19,18,43,13,6,3,16,11,22,57,8,29,9,12,7,20,10,12,5,12,18
2013-03-09,Washington State,Pac-12,Ken Bone,H,USC,Pac-12,Bob Cantu,W,76,51,24,63,11,32,17,18,14,43,18,3,2,4,12,19,56,4,24,9,13,6,28,10,1,7,8,14
2013-03-13,Washington State,Pac-12,Ken Bone,N,Washington,Pac-12,Lorenzo Romar,L,62,64,23,50,10,27,6,7,2,18,13,6,1,11,13,24,50,8,19,8,11,7,23,15,4,3,11,11
2012-11-10,North Carolina Central,MEAC,LeVelle Moton,A,Wichita State,MVC,Gregg Marshall,L,57,71,21,56,5,17,10,16,6,25,12,6,5,12,19,25,56,6,19,15,22,15,43,18,3,7,12,14
2012-11-14,North Carolina Central,MEAC,LeVelle Moton,A,Wyoming,MWC,Larry Shyatt,L,60,73,18,45,6,15,18,20,6,22,9,6,0,13,18,26,52,7,25,14,19,11,32,16,8,6,13,17
2012-11-15,North Carolina Central,MEAC,LeVelle Moton,N,Southern,SWAC,Roman Banks,W,59,55,17,53,0,4,25,31,12,36,7,9,1,16,18,18,46,5,16,14,20,3,27,6,10,7,21,25
2012-11-16,North Carolina Central,MEAC,LeVelle Moton,N,South Dakota,Summit,David Boots,L,69,81,25,60,4,21,15,23,12,29,14,4,1,11,14,28,55,10,24,15,19,9,31,19,8,1,11,18
2012-11-24,North Carolina Central,MEAC,LeVelle Moton,H,Wagner,NEC,Bashir Mason,L,36,38,12,53,4,15,8,14,12,32,7,9,3,18,18,11,38,2,9,14,22,8,35,4,9,8,25,20
2012-11-27,North Carolina Central,MEAC,LeVelle Moton,H,Utah Valley,GWC,Dick Hunsaker,W,70,52,25,44,6,17,14,20,5,26,16,6,6,14,19,20,52,4,14,8,15,7,22,11,4,0,17,17
2012-12-01,North Carolina Central,MEAC,LeVelle Moton,A,North Carolina A&T,MEAC,Cy Alexander,W,66,62,20,48,5,14,21,25,13,36,11,4,7,18,20,20,58,9,26,13,18,11,26,12,10,5,11,19
2012-12-04,North Carolina Central,MEAC,LeVelle Moton,H,Eastern Kentucky,OVC,Jeff Neubauer,L,57,63,20,45,1,7,16,21,12,36,9,6,3,22,20,22,48,8,21,11,16,2,17,12,10,0,10,18
2012-12-19,North Carolina Central,MEAC,LeVelle Moton,A,Drake,MVC,Edward Phelps,L,69,72,27,56,6,18,9,14,7,28,17,8,2,11,20,22,44,10,21,18,24,5,26,17,6,0,12,12
2012-12-22,North Carolina Central,MEAC,LeVelle Moton,A,Utah Valley,GWC,Dick Hunsaker,W,73,67,26,62,8,18,13,18,10,37,14,5,3,8,19,22,52,5,18,18,26,6,33,14,4,5,8,15
2012-12-29,North Carolina Central,MEAC,LeVelle Moton,A,Marquette,Big East,Buzz Williams,L,66,75,26,56,8,22,6,9,7,19,16,10,0,14,21,24,40,5,11,22,27,4,25,14,8,3,20,17
2013-01-02,North Carolina Central,MEAC,LeVelle Moton,A,Winthrop,Big South,Pat Kelsey,W,64,57,19,38,8,17,18,20,5,21,14,4,3,12,19,20,45,2,10,15,23,11,21,11,8,1,10,18
2013-01-12,North Carolina Central,MEAC,LeVelle Moton,A,Florida A&M,MEAC,Clemon Johnson,W,85,62,32,56,9,18,12,19,9,32,19,13,3,15,14,22,55,8,22,10,16,9,26,11,7,1,18,19
2013-01-14,North Carolina Central,MEAC,LeVelle Moton,A,Bethune-Cookman,MEAC,Gravelle Craig,W,75,66,24,44,2,9,25,31,5,21,14,7,3,13,22,21,53,5,17,19,22,11,26,13,5,6,12,22
2013-01-21,North Carolina Central,MEAC,LeVelle Moton,H,Howard,MEAC,Kevin Nickelberry,W,71,36,22,42,7,15,20,26,5,28,14,11,1,9,19,13,51,2,11,8,19,16,31,6,3,1,17,20
2013-01-26,North Carolina Central,MEAC,LeVelle Moton,H,Coppin State,MEAC,Fang Mitchell,W,84,75,32,58,6,22,14,18,9,31,21,12,0,16,17,25,57,8,24,17,20,6,22,7,8,1,20,16
2013-01-28,North Carolina Central,MEAC,LeVelle Moton,H,Morgan State,MEAC,Todd Bozeman,W,69,61,20,42,3,14,26,33,9,28,10,8,1,15,21,21,46,4,14,15,32,11,27,11,8,3,18,24
2013-02-02,North Carolina Central,MEAC,LeVelle Moton,A,Delaware State,MEAC,Greg Jackson,W,54,43,21,39,3,12,9,14,4,29,12,3,3,14,14,19,50,2,17,3,12,8,17,6,7,3,7,12
2013-02-04,North Carolina Central,MEAC,LeVelle Moton,A,Maryland-Eastern Shore,MEAC,Frankie Allen,W,82,54,26,50,7,20,23,29,7,32,15,10,8,9,17,18,55,4,20,14,18,10,30,6,2,1,16,23
2013-02-09,North Carolina Central,MEAC,LeVelle Moton,H,Florida A&M,MEAC,Clemon Johnson,W,51,43,15,45,2,13,19,25,9,34,9,5,4,15,16,14,49,5,21,10,18,8,29,10,7,4,17,17
2013-02-11,North Carolina Central,MEAC,LeVelle Moton,H,Bethune-Cookman,MEAC,Gravelle Craig,W,81,75,19,38,8,18,35,45,2,27,13,4,3,13,23,25,58,8,22,17,27,12,28,13,4,4,8,26
2013-02-16,North Carolina Central,MEAC,LeVelle Moton,A,Savannah State,MEAC,Horace Broadnax,L,36,44,12,39,3,7,9,14,4,26,8,8,4,19,14,18,45,4,16,4,10,3,27,10,10,6,17,15
2013-02-18,North Carolina Central,MEAC,LeVelle Moton,A,South Carolina State,MEAC,Murray Garvin,W,71,52,25,51,8,13,13,15,8,35,17,7,4,14,15,18,55,8,22,8,11,9,25,11,5,4,13,16
2013-02-23,North Carolina Central,MEAC,LeVelle Moton,H,North Carolina A&T,MEAC,Cy Alexander,W,51,47,14,35,4,12,19,21,7,26,10,2,0,18,14,18,47,5,19,6,19,9,23,9,10,2,12,19
2013-03-02,North Carolina Central,MEAC,LeVelle Moton,H,Savannah State,MEAC,Horace Broadnax,W,51,47,18,38,2,12,13,23,6,28,14,7,1,22,14,18,46,4,14,7,13,3,16,3,12,3,18,21
2013-03-04,North Carolina Central,MEAC,LeVelle Moton,H,South Carolina State,MEAC,Murray Garvin,W,62,54,21,39,5,12,15,20,3,22,14,4,4,16,11,22,59,6,20,4,6,20,38,11,10,1,18,17
