Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1958-09-20,North Carolina,ACC,Jim Tatum,H,North Carolina State,ACC,Earle Edwards,L,14,21
1958-09-27,North Carolina,ACC,Jim Tatum,A,Clemson,ACC,Frank Howard,L,21,26
1958-10-03,North Carolina,ACC,Jim Tatum,A,USC,PCC,Don Clark,W,8,7
1958-10-11,North Carolina,ACC,Jim Tatum,H,South Carolina,ACC,Warren Giese,W,6,0
1958-10-18,North Carolina,ACC,Jim Tatum,H,Maryland,ACC,Tommy Mont,W,27,0
1958-10-25,North Carolina,ACC,Jim Tatum,H,Wake Forest,ACC,Paul Amen,W,26,7
1958-11-01,North Carolina,ACC,Jim Tatum,A,Tennessee,SEC,Bowden Wyatt,W,21,7
1958-11-08,North Carolina,ACC,Jim Tatum,A,Virginia,ACC,Richard Voris,W,42,0
1958-11-15,North Carolina,ACC,Jim Tatum,A,Notre Dame,Ind,Terry Brennan,L,24,34
1958-11-22,North Carolina,ACC,Jim Tatum,H,Duke,ACC,Bill Murray,L,6,7
1958-09-27,Indiana,Big Ten,Phil Dickens,A,Notre Dame,Ind,Terry Brennan,L,0,18
1958-10-04,Indiana,Big Ten,Phil Dickens,H,West Virginia,Southern,Art Lewis,W,13,12
1958-10-11,Indiana,Big Ten,Phil Dickens,A,Iowa,Big Ten,Forest Evashevski,L,13,34
1958-10-18,Indiana,Big Ten,Phil Dickens,A,Ohio State,Big Ten,Woody Hayes,L,8,49
1958-11-01,Indiana,Big Ten,Phil Dickens,H,Minnesota,Big Ten,Murray Warmath,W,6,0
1958-11-08,Indiana,Big Ten,Phil Dickens,H,Michigan State,Big Ten,Duffy Daugherty,W,6,0
1958-11-15,Indiana,Big Ten,Phil Dickens,A,Michigan,Big Ten,Bennie Oosterbaan,W,8,6
1958-11-22,Indiana,Big Ten,Phil Dickens,A,Purdue,Big Ten,Jack Mollenkopf,T,15,15
1958-09-20,Florida State,Ind,Thomas Nugent,H,Furman,Southern,Robert King,W,42,6
1958-09-26,Florida State,Ind,Thomas Nugent,A,Georgia Tech,SEC,Bobby Dodd,L,3,17
1958-10-04,Florida State,Ind,Thomas Nugent,H,Wake Forest,ACC,Paul Amen,W,27,24
1958-10-11,Florida State,Ind,Thomas Nugent,H,Georgia,SEC,Wallace Butts,L,13,28
1958-10-18,Florida State,Ind,Thomas Nugent,H,Virginia Tech,Southern,Frank Moseley,W,28,0
1958-10-25,Florida State,Ind,Thomas Nugent,A,Tennessee,SEC,Bowden Wyatt,W,10,0
1958-11-07,Florida State,Ind,Thomas Nugent,A,Miami (FL),Ind,Andy Gustafson,W,17,6
1958-11-22,Florida State,Ind,Thomas Nugent,A,Florida,SEC,Bob Woodruff,L,7,21
1958-12-13,Florida State,Ind,Thomas Nugent,N,Oklahoma State,Ind,Cliff Speegle,L,6,15
1958-09-20,Iowa State,Big 7,Clay Stapleton,H,Drake,Ind,Warren Gaer,W,33,0
1958-09-27,Iowa State,Big 7,Clay Stapleton,A,Arizona,BIAA,Edward Doherty,W,14,0
1958-10-04,Iowa State,Big 7,Clay Stapleton,A,Nebraska,Big 7,William Jennings,L,6,7
1958-10-11,Iowa State,Big 7,Clay Stapleton,H,Kansas,Big 7,Jack Mitchell,L,0,7
1958-10-18,Iowa State,Big 7,Clay Stapleton,H,Colorado,Big 7,Dallas Ward,L,0,20
1958-10-25,Iowa State,Big 7,Clay Stapleton,A,Missouri,Big 7,Dan Devine,L,6,14
1958-11-08,Iowa State,Big 7,Clay Stapleton,H,Oklahoma,Big 7,Bud Wilkinson,L,0,20
1958-11-15,Iowa State,Big 7,Clay Stapleton,A,Kansas State,Big 7,Bernard Mertes,L,6,14
1958-11-21,Iowa State,Big 7,Clay Stapleton,A,San Jose State,Ind,Robert Titchenal,W,9,6
1958-09-20,Cincinnati,MVC,George Blackburn,H,Dayton,Ind,William Kerr,W,14,0
1958-09-27,Cincinnati,MVC,George Blackburn,H,Wichita State,MVC,Woody Woodard,T,16,16
1958-10-04,Cincinnati,MVC,George Blackburn,H,Houston,MVC,Hal Lahar,L,13,34
1958-10-18,Cincinnati,MVC,George Blackburn,A,Pacific,Ind,Moose Myers,W,12,6
1958-10-25,Cincinnati,MVC,George Blackburn,H,Oklahoma State,Ind,Cliff Speegle,L,14,19
1958-11-01,Cincinnati,MVC,George Blackburn,A,North Texas,MVC,Odus Mitchell,T,8,8
1958-11-08,Cincinnati,MVC,George Blackburn,H,Tulsa,MVC,Robert Dobbs,W,15,6
1958-11-15,Cincinnati,MVC,George Blackburn,A,Marquette,Ind,Johnny Druze,W,15,0
1958-09-27,Arizona State,BIAA,Frank Kush,A,Pacific,Ind,Moose Myers,L,16,34
1958-10-04,Arizona State,BIAA,Frank Kush,H,West Texas A&M,BIAA,Clark Jarnagin,W,16,13
1958-10-11,Arizona State,BIAA,Frank Kush,H,Hardin-Simmons,BIAA,Sammy Baugh,L,6,14
1958-10-18,Arizona State,BIAA,Frank Kush,H,San Jose State,Ind,Robert Titchenal,L,20,21
1958-10-25,Arizona State,BIAA,Frank Kush,A,Detroit Mercy,Ind,Wally Fromhart,W,27,6
1958-11-01,Arizona State,BIAA,Frank Kush,H,New Mexico State,BIAA,Warren Woodson,W,23,19
1958-11-08,Arizona State,BIAA,Frank Kush,H,UTEP,BIAA,Ben Collins,W,27,0
1958-11-22,Arizona State,BIAA,Frank Kush,A,Arizona,BIAA,Edward Doherty,W,47,0
1958-11-29,Arizona State,BIAA,Frank Kush,H,Marquette,Ind,Johnny Druze,W,42,18
1958-09-20,Furman,Southern,Robert King,A,Florida State,Ind,Thomas Nugent,L,6,42
1958-10-03,Furman,Southern,Robert King,A,George Washington,Southern,Bo Sherman,L,8,11
1958-10-11,Furman,Southern,Robert King,A,Alabama,SEC,Bear Bryant,L,6,29
1958-10-25,Furman,Southern,Robert King,H,Citadel,Southern,Eddie Teague,L,6,24
1958-11-01,Furman,Southern,Robert King,A,Penn State,Ind,Rip Engle,L,0,36
1958-11-08,Furman,Southern,Robert King,H,South Carolina,ACC,Warren Giese,L,7,32
1958-11-22,Furman,Southern,Robert King,N,Davidson,Southern,,W,22,20
1958-11-29,Furman,Southern,Robert King,A,Clemson,ACC,Frank Howard,L,19,36
1958-09-20,Utah,Skyline,Ray Nagel,H,Montana,Skyline,Ray Jenkins,W,20,6
1958-09-27,Utah,Skyline,Ray Nagel,H,BYU,Skyline,Harold Kopp,L,7,14
1958-10-04,Utah,Skyline,Ray Nagel,H,Idaho,PCC,Skip Stahley,L,0,20
1958-10-11,Utah,Skyline,Ray Nagel,A,California,PCC,Pete Elliott,L,21,36
1958-10-18,Utah,Skyline,Ray Nagel,H,Denver,Skyline,John Roning,W,20,16
1958-10-25,Utah,Skyline,Ray Nagel,A,Air Force,Ind,Ben Martin,L,14,16
1958-11-01,Utah,Skyline,Ray Nagel,A,Wyoming,Skyline,Bob Devaney,L,20,25
1958-11-08,Utah,Skyline,Ray Nagel,A,Colorado State,Skyline,Tuffy Mullison,L,0,20
1958-11-15,Utah,Skyline,Ray Nagel,H,Colorado,Big 7,Dallas Ward,L,0,7
1958-11-27,Utah,Skyline,Ray Nagel,H,Utah State,Skyline,Everett Faunce,W,12,7
1958-09-27,Wichita State,MVC,Woody Woodard,A,Cincinnati,MVC,George Blackburn,T,16,16
1958-10-04,Wichita State,MVC,Woody Woodard,H,Oklahoma State,Ind,Cliff Speegle,L,12,43
1958-10-11,Wichita State,MVC,Woody Woodard,A,Houston,MVC,Hal Lahar,L,0,44
1958-10-25,Wichita State,MVC,Woody Woodard,A,Hardin-Simmons,BIAA,Sammy Baugh,L,6,13
1958-11-01,Wichita State,MVC,Woody Woodard,H,Villanova,Ind,Francis Reagan,W,21,6
1958-11-08,Wichita State,MVC,Woody Woodard,H,North Texas,MVC,Odus Mitchell,W,15,13
1958-11-15,Wichita State,MVC,Woody Woodard,A,Drake,Ind,Warren Gaer,W,32,8
1958-11-22,Wichita State,MVC,Woody Woodard,H,George Washington,Southern,Bo Sherman,W,26,12
1958-11-27,Wichita State,MVC,Woody Woodard,A,Tulsa,MVC,Robert Dobbs,L,6,25
1958-09-27,Villanova,Ind,Francis Reagan,H,Virginia Military Institute,Southern,John McKenna,L,6,33
1958-10-04,Villanova,Ind,Francis Reagan,A,Boston College,Ind,Mike Holovak,W,21,19
1958-10-11,Villanova,Ind,Francis Reagan,H,Detroit Mercy,Ind,Wally Fromhart,W,7,0
1958-10-18,Villanova,Ind,Francis Reagan,H,Wake Forest,ACC,Paul Amen,W,9,7
1958-10-25,Villanova,Ind,Francis Reagan,H,Richmond,Southern,Edwin Merrick,W,13,6
1958-11-01,Villanova,Ind,Francis Reagan,A,Wichita State,MVC,Woody Woodard,L,6,21
1958-11-08,Villanova,Ind,Francis Reagan,A,Dayton,Ind,William Kerr,W,9,6
1958-11-15,Villanova,Ind,Francis Reagan,A,Army,Ind,Red Blaik,L,0,26
1958-09-27,Syracuse,Ind,Ben Schwartzwalder,H,Boston College,Ind,Mike Holovak,W,24,14
1958-10-04,Syracuse,Ind,Ben Schwartzwalder,A,Holy Cross,Ind,Edward Anderson,L,13,14
1958-10-11,Syracuse,Ind,Ben Schwartzwalder,H,Cornell,Ivy,George James,W,55,0
1958-10-18,Syracuse,Ind,Ben Schwartzwalder,H,Nebraska,Big 7,William Jennings,W,38,0
1958-10-25,Syracuse,Ind,Ben Schwartzwalder,A,Penn State,Ind,Rip Engle,W,14,6
1958-11-01,Syracuse,Ind,Ben Schwartzwalder,H,Pitt,Ind,John Michelosen,W,16,13
1958-11-07,Syracuse,Ind,Ben Schwartzwalder,A,Boston University,Ind,Steve Sinko,W,42,0
1958-11-15,Syracuse,Ind,Ben Schwartzwalder,H,Colgate,Ind,Fred Rice,W,47,0
1958-11-22,Syracuse,Ind,Ben Schwartzwalder,A,West Virginia,Southern,Art Lewis,W,15,12
1959-01-01,Syracuse,Ind,Ben Schwartzwalder,N,Oklahoma,Big 7,Bud Wilkinson,L,6,21
1958-09-20,Arizona,BIAA,Edward Doherty,H,Utah State,Skyline,Everett Faunce,W,7,6
1958-09-27,Arizona,BIAA,Edward Doherty,H,Iowa State,Big 7,Clay Stapleton,L,0,14
1958-10-04,Arizona,BIAA,Edward Doherty,A,Tulsa,MVC,Robert Dobbs,L,0,34
1958-10-11,Arizona,BIAA,Edward Doherty,H,Colorado,Big 7,Dallas Ward,L,12,65
1958-10-18,Arizona,BIAA,Edward Doherty,A,New Mexico,Skyline,Marv Levy,L,13,33
1958-10-25,Arizona,BIAA,Edward Doherty,H,Idaho,PCC,Skip Stahley,L,16,24
1958-11-01,Arizona,BIAA,Edward Doherty,H,West Texas A&M,BIAA,Clark Jarnagin,W,15,8
1958-11-08,Arizona,BIAA,Edward Doherty,A,Texas Tech,Ind,DeWitt Weaver,L,6,33
1958-11-15,Arizona,BIAA,Edward Doherty,A,UTEP,BIAA,Ben Collins,W,14,12
1958-11-22,Arizona,BIAA,Edward Doherty,H,Arizona State,BIAA,Frank Kush,L,0,47
1958-09-20,Montana,Skyline,Ray Jenkins,A,Utah,Skyline,Ray Nagel,L,6,20
1958-09-27,Montana,Skyline,Ray Jenkins,N,Wyoming,Skyline,Bob Devaney,L,14,21
1958-10-04,Montana,Skyline,Ray Jenkins,A,New Mexico,Skyline,Marv Levy,L,16,44
1958-10-10,Montana,Skyline,Ray Jenkins,A,Denver,Skyline,John Roning,L,0,29
1958-10-18,Montana,Skyline,Ray Jenkins,H,Utah State,Skyline,Everett Faunce,L,14,27
1958-10-25,Montana,Skyline,Ray Jenkins,H,BYU,Skyline,Harold Kopp,L,12,41
1958-11-01,Montana,Skyline,Ray Jenkins,A,Colorado State,Skyline,Tuffy Mullison,L,7,57
1958-11-08,Montana,Skyline,Ray Jenkins,H,Idaho,PCC,Skip Stahley,L,6,14
1958-09-20,Penn State,Ind,Rip Engle,A,Nebraska,Big 7,William Jennings,L,7,14
1958-09-27,Penn State,Ind,Rip Engle,A,Pennsylvania,Ivy,Steve Sebo,W,43,0
1958-10-04,Penn State,Ind,Rip Engle,A,Army,Ind,Red Blaik,L,0,26
1958-10-11,Penn State,Ind,Rip Engle,H,Marquette,Ind,Johnny Druze,W,40,8
1958-10-18,Penn State,Ind,Rip Engle,A,Boston University,Ind,Steve Sinko,W,34,0
1958-10-25,Penn State,Ind,Rip Engle,H,Syracuse,Ind,Ben Schwartzwalder,L,6,14
1958-11-01,Penn State,Ind,Rip Engle,H,Furman,Southern,Robert King,W,36,0
1958-11-08,Penn State,Ind,Rip Engle,A,West Virginia,Southern,Art Lewis,T,14,14
1958-11-15,Penn State,Ind,Rip Engle,H,Holy Cross,Ind,Edward Anderson,W,32,0
1958-11-27,Penn State,Ind,Rip Engle,A,Pitt,Ind,John Michelosen,W,25,21
1958-09-27,Princeton,Ivy,Richard Colman,H,Rutgers,Ind,John Stiegman,L,0,28
1958-10-04,Princeton,Ivy,Richard Colman,H,Columbia,Ivy,Aldo Donelli,W,43,8
1958-10-11,Princeton,Ivy,Richard Colman,A,Pennsylvania,Ivy,Steve Sebo,W,20,14
1958-10-18,Princeton,Ivy,Richard Colman,H,Colgate,Ind,Fred Rice,W,40,13
1958-10-25,Princeton,Ivy,Richard Colman,A,Cornell,Ivy,George James,L,8,34
1958-11-01,Princeton,Ivy,Richard Colman,H,Brown,Ivy,Alva Kelley,W,28,18
1958-11-08,Princeton,Ivy,Richard Colman,H,Harvard,Ivy,John Yovicsin,W,16,14
1958-11-15,Princeton,Ivy,Richard Colman,A,Yale,Ivy,Jordan Olivar,W,50,14
1958-11-22,Princeton,Ivy,Richard Colman,H,Dartmouth,Ivy,Bob Blackman,L,12,21
1958-09-20,Vanderbilt,SEC,Arthur Guepe,A,Missouri,Big 7,Dan Devine,W,12,8
1958-09-27,Vanderbilt,SEC,Arthur Guepe,H,Georgia,SEC,Wallace Butts,W,21,14
1958-10-04,Vanderbilt,SEC,Arthur Guepe,A,Alabama,SEC,Bear Bryant,T,0,0
1958-10-11,Vanderbilt,SEC,Arthur Guepe,H,Clemson,ACC,Frank Howard,L,7,12
1958-10-18,Vanderbilt,SEC,Arthur Guepe,A,Florida,SEC,Bob Woodruff,T,6,6
1958-10-25,Vanderbilt,SEC,Arthur Guepe,H,Virginia,ACC,Richard Voris,W,39,6
1958-10-31,Vanderbilt,SEC,Arthur Guepe,A,Miami (FL),Ind,Andy Gustafson,W,28,15
1958-11-08,Vanderbilt,SEC,Arthur Guepe,A,Kentucky,SEC,Blanton Collier,T,0,0
1958-11-15,Vanderbilt,SEC,Arthur Guepe,H,Tulane,SEC,Andy Pilney,W,12,0
1958-11-29,Vanderbilt,SEC,Arthur Guepe,H,Tennessee,SEC,Bowden Wyatt,L,6,10
1958-09-20,Kentucky,SEC,Blanton Collier,H,Georgia Tech,SEC,Bobby Dodd,W,13,0
1958-09-27,Kentucky,SEC,Blanton Collier,A,Ole Miss,SEC,John Vaught,L,6,27
1958-10-11,Kentucky,SEC,Blanton Collier,H,Auburn,SEC,Ralph Jordan,L,0,8
1958-10-18,Kentucky,SEC,Blanton Collier,A,LSU,SEC,Paul Dietzel,L,7,32
1958-10-25,Kentucky,SEC,Blanton Collier,A,Georgia,SEC,Wallace Butts,L,0,28
1958-11-01,Kentucky,SEC,Blanton Collier,H,Mississippi State,SEC,Wade Walker,W,33,12
1958-11-08,Kentucky,SEC,Blanton Collier,H,Vanderbilt,SEC,Arthur Guepe,T,0,0
1958-11-22,Kentucky,SEC,Blanton Collier,A,Tennessee,SEC,Bowden Wyatt,W,6,2
1958-09-20,California,PCC,Pete Elliott,H,Pacific,Ind,Moose Myers,L,20,24
1958-09-27,California,PCC,Pete Elliott,A,Michigan State,Big Ten,Duffy Daugherty,L,12,32
1958-10-04,California,PCC,Pete Elliott,H,Washington State,PCC,Jim Sutherland,W,34,14
1958-10-11,California,PCC,Pete Elliott,H,Utah,Skyline,Ray Nagel,W,36,21
1958-10-18,California,PCC,Pete Elliott,A,USC,PCC,Don Clark,W,14,12
1958-10-25,California,PCC,Pete Elliott,H,Oregon,PCC,Len Casanova,W,23,6
1958-11-01,California,PCC,Pete Elliott,A,Oregon State,PCC,Tommy Prothro,L,8,14
1958-11-08,California,PCC,Pete Elliott,H,UCLA,PCC,Bill Barnes,W,20,17
1958-11-15,California,PCC,Pete Elliott,A,Washington,PCC,Jim Owens,W,12,7
1958-11-22,California,PCC,Pete Elliott,H,Stanford,PCC,Jack Curtice,W,16,15
1959-01-01,California,PCC,Pete Elliott,N,Iowa,Big Ten,Forest Evashevski,L,12,38
1958-09-20,Florida,SEC,Bob Woodruff,H,Tulane,SEC,Andy Pilney,W,34,14
