Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,FieldGoals,FieldGoalAttempts,ThreePointers,ThreePointerAttempts,FreeThrows,FreeThrowAttempts,OffensiveRebounds,TeamRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,OpponentFieldGoals,OpponentFieldGoalAttempts,OpponentThreePointers,OpponentThreePointerAttempts,OpponentFreeThrows,OpponentFreeThrowAttempts,OpponentOffensiveRebounds,OpponentTeamRebounds,OpponentAssists,OpponentSteals,OpponentBlocks,OpponentTurnovers,OpponentPersonalFouls
2010-11-13,Washington State,Pac-10,Ken Bone,H,Southern,SWAC,Rob Spivery,W,86,47,32,61,6,21,16,21,13,49,12,9,1,15,16,18,59,4,27,7,14,5,18,12,6,2,15,18
2010-11-16,Washington State,Pac-10,Ken Bone,H,Idaho,WAC,Don Verlin,W,88,71,34,59,6,18,14,18,4,24,21,9,6,12,20,25,53,7,18,14,18,7,26,13,5,1,18,20
2010-11-23,Washington State,Pac-10,Ken Bone,N,Portland,WCC,Eric Reveno,W,84,68,30,51,11,21,13,19,6,27,12,5,11,15,18,23,65,10,27,12,15,15,32,14,7,4,11,18
2010-11-26,Washington State,Pac-10,Ken Bone,A,Fresno State,WAC,Steve Cleveland,W,66,55,26,56,9,25,5,10,3,31,13,6,0,10,16,19,56,7,33,10,18,14,36,10,6,5,15,14
2010-11-30,Washington State,Pac-10,Ken Bone,H,Sacramento State,Big Sky,Brian Katz,W,84,36,33,63,8,20,10,21,11,37,20,13,2,7,18,15,47,1,15,5,14,6,30,7,5,1,22,19
2010-12-03,Washington State,Pac-10,Ken Bone,H,Kansas State,Big 12,Frank Martin,L,58,63,21,57,3,16,13,23,11,28,8,9,4,15,18,23,58,7,22,10,19,16,41,11,10,7,21,20
2010-12-08,Washington State,Pac-10,Ken Bone,H,Gonzaga,WCC,Mark Few,W,81,59,30,60,11,21,10,17,8,24,21,14,3,10,21,19,48,4,18,17,21,11,36,17,4,3,25,19
2010-12-10,Washington State,Pac-10,Ken Bone,H,Texas-Rio Grande Valley,GWC,Ryan Marks,W,74,52,30,60,10,22,4,8,10,34,17,4,5,10,18,17,50,5,20,13,21,9,33,10,4,1,15,14
2010-12-19,Washington State,Pac-10,Ken Bone,A,Santa Clara,WCC,Kerry Keating,W,85,79,26,61,5,17,28,37,11,37,15,7,6,14,24,18,59,10,31,33,36,13,41,11,10,6,17,28
2010-12-22,Washington State,Pac-10,Ken Bone,N,Mississippi State,SEC,Rick Stansbury,W,83,57,31,62,12,24,9,16,10,39,10,11,2,12,18,19,55,8,28,11,16,8,23,10,4,2,21,15
