Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2012-09-08,North Carolina,ACC,Larry Fedora,A,Wake Forest,ACC,Jim Grobe,L,27,28,23,40,271,1,42,157,2,13,8,8,87,1,1
2012-09-15,North Carolina,ACC,Larry Fedora,A,Louisville,Big East,Charlie Strong,L,34,39,26,41,363,5,17,47,0,14,4,6,38,1,1
2012-09-22,North Carolina,ACC,Larry Fedora,H,East Carolina,CUSA,Ruffin McNeill,W,27,6,27,43,321,2,29,129,1,14,9,9,91,0,0
2012-09-29,North Carolina,ACC,Larry Fedora,H,Idaho,WAC,Jason Gesser,W,66,0,17,26,288,4,53,287,5,12,12,5,40,1,1
2012-10-06,North Carolina,ACC,Larry Fedora,H,Virginia Tech,ACC,Frank Beamer,W,48,34,17,30,194,1,45,339,4,10,14,15,126,1,0
2012-10-13,North Carolina,ACC,Larry Fedora,A,Miami (FL),ACC,Al Golden,W,18,14,25,40,214,0,44,272,2,15,13,15,140,0,1
2012-10-20,North Carolina,ACC,Larry Fedora,A,Duke,ACC,David Cutcliffe,L,30,33,20,33,237,2,38,177,1,7,12,2,20,2,0
2012-10-27,North Carolina,ACC,Larry Fedora,H,North Carolina State,ACC,Dana Bible,W,43,35,30,47,358,1,39,212,3,15,8,5,44,1,1
2012-11-10,North Carolina,ACC,Larry Fedora,H,Georgia Tech,ACC,Paul Johnson,L,50,68,24,35,350,2,34,147,4,15,7,4,28,1,1
2012-11-15,North Carolina,ACC,Larry Fedora,A,Virginia,ACC,Mike London,W,37,13,30,38,319,3,33,127,1,18,6,7,52,1,0
2012-11-24,North Carolina,ACC,Larry Fedora,H,Maryland,ACC,Randy Edsall,W,45,38,28,40,305,5,37,189,1,16,10,11,86,1,0
