Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,FieldGoals,FieldGoalAttempts,ThreePointers,ThreePointerAttempts,FreeThrows,FreeThrowAttempts,OffensiveRebounds,TeamRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,OpponentFieldGoals,OpponentFieldGoalAttempts,OpponentThreePointers,OpponentThreePointerAttempts,OpponentFreeThrows,OpponentFreeThrowAttempts,OpponentOffensiveRebounds,OpponentTeamRebounds,OpponentAssists,OpponentSteals,OpponentBlocks,OpponentTurnovers,OpponentPersonalFouls
2017-11-12,Washington State,Pac-12,Ernie Kent,H,Texas Southern,SWAC,Mike Davis,W,86,84,25,76,15,46,21,29,15,44,13,6,1,10,21,29,59,14,32,12,18,4,42,15,6,5,18,24
2017-11-15,Washington State,Pac-12,Ernie Kent,H,Seattle,WAC,Jim Hayford,W,75,59,26,57,12,25,11,17,6,41,16,9,1,15,15,21,70,10,41,7,10,12,38,14,6,2,12,18
2017-11-18,Washington State,Pac-12,Ernie Kent,H,Idaho State,Big Sky,Bill Evans,W,83,62,32,60,15,34,4,6,6,31,18,7,0,14,17,25,59,6,22,6,10,8,29,11,6,2,17,14
2017-11-23,Washington State,Pac-12,Ernie Kent,N,St. Joseph's,A-10,Phil Martelli,W,75,71,25,57,16,33,9,13,5,36,16,3,5,13,15,26,66,10,34,9,15,5,33,16,6,3,7,13
2017-11-24,Washington State,Pac-12,Ernie Kent,N,Saint Mary's,WCC,Randy Bennett,W,84,79,33,56,7,21,11,14,3,28,13,4,4,9,15,30,58,9,16,10,16,6,24,14,1,0,9,16
2017-11-26,Washington State,Pac-12,Ernie Kent,N,San Diego State,MWC,Brian Dutcher,W,93,86,29,62,13,28,22,25,8,33,21,6,1,13,17,33,74,8,30,12,20,16,41,16,7,3,13,21
2017-12-02,Washington State,Pac-12,Ernie Kent,H,UC-Davis,Big West,Jim Les,L,67,81,24,57,12,34,7,10,6,27,13,6,3,17,17,30,55,7,17,14,21,8,37,13,8,3,12,14
2017-12-06,Washington State,Pac-12,Ernie Kent,A,Idaho,Big Sky,Don Verlin,L,64,91,25,61,7,26,7,14,4,27,11,4,4,12,19,35,72,14,25,7,11,9,39,20,4,6,9,18
2017-12-09,Washington State,Pac-12,Ernie Kent,A,UTEP,CUSA,Tim Floyd,L,69,76,25,56,12,31,7,10,8,31,17,4,0,12,17,24,57,7,28,21,22,8,29,13,1,1,5,9
2017-12-16,Washington State,Pac-12,Ernie Kent,H,IUPUI,Horizon,Jason Gardner,W,72,59,28,51,8,20,8,9,4,34,20,6,8,12,8,24,71,10,31,1,2,13,29,11,6,3,9,12
2017-12-20,Washington State,Pac-12,Ernie Kent,H,Kansas State,Big 12,Bruce Weber,L,65,68,24,62,11,34,6,9,7,32,10,3,1,9,19,25,60,4,24,14,19,9,37,12,5,2,8,16
2017-12-22,Washington State,Pac-12,Ernie Kent,H,Bethune-Cookman,MEAC,Ryan Ridder,W,86,58,26,57,15,33,19,22,6,43,19,6,3,18,18,22,70,6,28,8,17,13,39,5,7,2,15,23
2017-12-29,Washington State,Pac-12,Ernie Kent,A,UCLA,Pac-12,Steve Alford,L,82,96,28,59,14,35,12,18,2,29,14,4,1,7,23,29,65,12,28,26,33,13,42,16,2,3,7,14
2017-12-31,Washington State,Pac-12,Ernie Kent,A,USC,Pac-12,Andy Enfield,L,71,89,23,58,13,34,12,18,7,26,14,8,2,16,17,36,66,5,20,12,19,10,39,23,10,5,11,18
