Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2008-09-11,North Carolina,ACC,Butch Davis,A,Rutgers,Big East,Greg Schiano,W,44,12,14,23,221,3,38,157,1,8,10,3,24,0,0
2008-09-20,North Carolina,ACC,Butch Davis,H,Virginia Tech,ACC,Frank Beamer,L,17,20,14,26,204,1,32,103,1,10,4,14,121,2,2
2008-09-27,North Carolina,ACC,Butch Davis,A,Miami (FL),ACC,Randy Shannon,W,28,24,13,24,264,2,33,35,2,10,5,6,55,0,0
2008-10-04,North Carolina,ACC,Butch Davis,H,Connecticut,Big East,Randy Edsall,W,38,12,9,16,117,1,33,146,2,4,7,6,57,0,1
2008-10-11,North Carolina,ACC,Butch Davis,H,Notre Dame,Ind,Charlie Weis,W,29,24,18,32,201,0,32,121,2,12,7,7,55,0,0
2008-10-18,North Carolina,ACC,Butch Davis,A,Virginia,ACC,Al Groh,L,13,16,16,26,166,0,48,166,1,10,8,1,5,1,2
2008-10-25,North Carolina,ACC,Butch Davis,H,Boston College,ACC,Jeff Jagodzinski,W,45,24,19,30,238,3,36,114,2,11,8,8,63,1,0
2008-11-08,North Carolina,ACC,Butch Davis,H,Georgia Tech,ACC,Paul Johnson,W,28,7,8,19,128,2,42,186,2,3,10,3,15,0,0
2008-11-15,North Carolina,ACC,Butch Davis,A,Maryland,ACC,Ralph Friedgen,L,15,17,11,25,210,1,26,75,0,7,4,2,18,1,1
2008-11-22,North Carolina,ACC,Butch Davis,H,North Carolina State,ACC,Tom O'Brien,L,10,41,14,28,147,0,26,56,1,8,4,2,20,3,3
2008-11-29,North Carolina,ACC,Butch Davis,A,Duke,ACC,David Cutcliffe,W,28,20,15,19,190,3,47,179,1,12,8,2,29,1,1
2008-12-27,North Carolina,ACC,Butch Davis,N,West Virginia,Big East,Bill Stewart,L,30,31,16,26,277,3,29,93,1,8,7,4,37,1,1
2008-08-28,Miami (OH),MAC,Shane Montgomery,H,Vanderbilt,SEC,Bobby Johnson,L,13,34,19,42,244,1,25,96,0,10,6,7,45,0,3
2008-09-06,Miami (OH),MAC,Shane Montgomery,A,Michigan,Big Ten,Rich Rodriguez,L,6,16,23,40,205,0,32,47,0,10,5,4,30,1,0
2008-09-20,Miami (OH),MAC,Shane Montgomery,A,Cincinnati,Big East,Brian Kelly,L,20,45,28,44,235,2,30,66,0,15,2,5,36,0,1
2008-10-04,Miami (OH),MAC,Shane Montgomery,H,Temple,MAC,Al Golden,L,10,28,22,40,212,0,39,91,1,10,9,5,46,3,1
2008-10-11,Miami (OH),MAC,Shane Montgomery,A,Northern Illinois,MAC,Jerry Kill,L,13,17,19,35,149,0,30,145,0,7,7,12,79,0,0
2008-10-18,Miami (OH),MAC,Shane Montgomery,A,Bowling Green State,MAC,Gregg Brandon,W,27,20,11,24,129,1,43,218,2,5,9,4,45,0,0
2008-10-25,Miami (OH),MAC,Shane Montgomery,H,Kent State,MAC,Doug Martin,L,21,54,18,31,171,1,33,147,2,9,9,4,56,4,2
2008-11-04,Miami (OH),MAC,Shane Montgomery,A,Buffalo,MAC,Turner Gill,L,17,37,25,44,241,0,29,142,2,13,7,6,45,2,0
2008-11-11,Miami (OH),MAC,Shane Montgomery,H,Ball State,MAC,Stan Parrish,L,16,31,25,42,254,1,26,76,0,13,7,2,10,1,0
2008-11-21,Miami (OH),MAC,Shane Montgomery,A,Toledo,MAC,Tom Amstutz,L,14,42,29,46,196,2,23,75,0,12,3,4,30,2,2
2008-11-28,Miami (OH),MAC,Shane Montgomery,H,Ohio,MAC,Frank Solich,L,26,41,27,43,274,1,28,92,0,14,7,6,39,0,2
2008-08-30,Indiana,Big Ten,Bill Lynch,H,Western Kentucky,Ind,David Elson,W,31,13,18,30,153,2,41,297,2,8,12,7,63,0,1
2008-09-20,Indiana,Big Ten,Bill Lynch,H,Ball State,MAC,Stan Parrish,L,20,42,11,25,159,0,48,256,1,7,13,7,77,0,2
2008-09-27,Indiana,Big Ten,Bill Lynch,H,Michigan State,Big Ten,Mark Dantonio,L,29,42,23,44,284,2,28,189,2,9,7,9,89,1,2
2008-10-04,Indiana,Big Ten,Bill Lynch,A,Minnesota,Big Ten,Tim Brewster,L,7,16,16,24,244,1,24,49,0,8,2,6,64,2,1
2008-10-11,Indiana,Big Ten,Bill Lynch,H,Iowa,Big Ten,Kirk Ferentz,L,9,45,22,36,191,1,28,95,0,10,4,6,50,1,1
2008-10-18,Indiana,Big Ten,Bill Lynch,A,Illinois,Big Ten,Ron Zook,L,13,55,12,29,172,0,44,141,1,6,10,3,25,2,0
2008-10-25,Indiana,Big Ten,Bill Lynch,H,Northwestern,Big Ten,Pat Fitzgerald,W,21,19,22,35,247,2,36,72,1,10,5,8,73,0,0
2008-11-01,Indiana,Big Ten,Bill Lynch,H,Central Michigan,MAC,Butch Jones,L,34,37,13,25,213,1,43,272,4,8,11,3,25,1,1
2008-11-08,Indiana,Big Ten,Bill Lynch,H,Wisconsin,Big Ten,Bret Bielema,L,20,55,13,34,141,1,38,133,1,6,6,4,30,1,0
2008-11-15,Indiana,Big Ten,Bill Lynch,A,Penn State,Big Ten,Joe Paterno,L,7,34,9,23,57,0,30,123,1,1,5,4,41,0,1
2008-11-22,Indiana,Big Ten,Bill Lynch,A,Purdue,Big Ten,Joe Tiller,L,10,62,13,25,92,1,32,122,0,4,8,7,54,1,2
2008-09-20,Florida State,ACC,Bobby Bowden,H,Wake Forest,ACC,Jim Grobe,L,3,12,12,36,118,0,28,102,0,7,4,12,139,2,5
2008-09-27,Florida State,ACC,Bobby Bowden,H,Colorado,Big 12,Dan Hawkins,W,39,21,10,22,119,0,46,259,3,7,13,12,110,1,1
2008-10-04,Florida State,ACC,Bobby Bowden,A,Miami (FL),ACC,Randy Shannon,W,41,39,14,31,159,1,53,310,4,8,15,12,98,2,2
2008-10-16,Florida State,ACC,Bobby Bowden,A,North Carolina State,ACC,Tom O'Brien,W,26,17,23,35,254,1,45,138,1,11,14,6,55,0,0
2008-10-25,Florida State,ACC,Bobby Bowden,H,Virginia Tech,ACC,Frank Beamer,W,30,20,11,19,159,1,38,89,2,6,5,8,73,0,0
2008-11-01,Florida State,ACC,Bobby Bowden,A,Georgia Tech,ACC,Paul Johnson,L,28,31,17,29,188,2,36,196,1,8,9,4,22,2,1
2008-11-08,Florida State,ACC,Bobby Bowden,H,Clemson,ACC,Dabo Swinney,W,41,27,16,27,153,1,36,266,3,8,14,9,96,1,1
2008-11-15,Florida State,ACC,Bobby Bowden,H,Boston College,ACC,Jeff Jagodzinski,L,17,27,16,32,212,1,24,73,1,9,6,7,61,0,3
2008-11-22,Florida State,ACC,Bobby Bowden,A,Maryland,ACC,Ralph Friedgen,W,37,3,20,26,160,1,42,172,2,7,12,5,40,0,0
2008-11-29,Florida State,ACC,Bobby Bowden,H,Florida,SEC,Urban Meyer,L,15,45,10,32,140,0,33,102,1,7,8,7,55,1,3
2008-12-27,Florida State,ACC,Bobby Bowden,N,Wisconsin,Big Ten,Bret Bielema,W,42,13,23,37,276,2,38,134,2,12,9,7,85,0,0
2008-09-06,Iowa State,Big 12,Gene Chizik,H,Kent State,MAC,Doug Martin,W,48,28,15,21,214,2,45,160,4,8,6,6,65,1,0
2008-09-13,Iowa State,Big 12,Gene Chizik,A,Iowa,Big Ten,Kirk Ferentz,L,5,17,24,40,252,0,27,73,0,14,3,6,60,0,3
2008-09-20,Iowa State,Big 12,Gene Chizik,A,Nevada-Las Vegas,MWC,Mike Sanford,L,31,34,13,28,155,2,35,151,2,6,6,8,91,0,0
2008-10-04,Iowa State,Big 12,Gene Chizik,H,Kansas,Big 12,Mark Mangino,L,33,35,27,46,268,3,31,97,1,10,8,4,25,1,1
2008-10-11,Iowa State,Big 12,Gene Chizik,A,Baylor,Big 12,Art Briles,L,10,38,21,41,176,1,18,81,0,8,5,10,70,0,1
2008-10-18,Iowa State,Big 12,Gene Chizik,H,Nebraska,Big 12,Bo Pelini,L,7,35,16,29,113,0,25,105,1,5,5,6,42,2,0
2008-10-25,Iowa State,Big 12,Gene Chizik,H,Texas A&M,Big 12,Mike Sherman,L,35,49,28,46,401,1,39,173,3,23,9,4,25,2,0
2008-11-01,Iowa State,Big 12,Gene Chizik,A,Oklahoma State,Big 12,Mike Gundy,L,17,59,20,35,240,1,38,122,1,9,7,10,94,1,2
2008-11-08,Iowa State,Big 12,Gene Chizik,A,Colorado,Big 12,Dan Hawkins,L,24,28,16,29,215,0,44,188,3,8,10,5,50,0,0
2008-11-15,Iowa State,Big 12,Gene Chizik,H,Missouri,Big 12,Gary Pinkel,L,20,52,36,54,326,2,23,118,0,15,8,7,60,0,2
2008-11-22,Iowa State,Big 12,Gene Chizik,A,Kansas State,Big 12,Ron Prince,L,30,38,32,50,462,3,36,164,1,21,9,5,43,1,2
2008-09-06,Cincinnati,Big East,Brian Kelly,A,Oklahoma,Big 12,Bob Stoops,L,26,52,22,42,239,1,29,87,2,9,7,8,64,0,2
2008-09-20,Cincinnati,Big East,Brian Kelly,H,Miami (OH),MAC,Shane Montgomery,W,45,20,20,24,241,3,31,152,2,11,9,6,70,2,0
2008-09-27,Cincinnati,Big East,Brian Kelly,A,Akron,MAC,J.D. Brookhart,W,17,15,24,38,322,2,31,104,0,11,7,9,75,2,0
2008-10-03,Cincinnati,Big East,Brian Kelly,A,Marshall,CUSA,Mark Snyder,W,33,10,16,26,158,2,46,203,2,9,13,2,25,1,1
2008-10-11,Cincinnati,Big East,Brian Kelly,H,Rutgers,Big East,Greg Schiano,W,13,10,21,29,239,0,31,97,1,10,5,12,115,0,0
2008-10-25,Cincinnati,Big East,Brian Kelly,A,Connecticut,Big East,Randy Edsall,L,16,40,19,47,259,1,19,30,0,9,4,5,38,3,3
2008-10-30,Cincinnati,Big East,Brian Kelly,H,South Florida,Big East,Jim Leavitt,W,24,10,20,28,281,2,37,115,1,13,8,6,36,2,1
2008-11-08,Cincinnati,Big East,Brian Kelly,A,West Virginia,Big East,Bill Stewart,W,26,23,16,30,178,1,33,82,1,7,4,10,91,0,0
2008-11-14,Cincinnati,Big East,Brian Kelly,A,Louisville,Big East,Steve Kragthorpe,W,28,20,20,36,274,2,31,131,2,13,4,6,42,1,1
2008-11-22,Cincinnati,Big East,Brian Kelly,H,Pitt,Big East,Dave Wannstedt,W,28,21,26,32,309,3,38,87,1,16,5,5,46,1,0
2008-11-29,Cincinnati,Big East,Brian Kelly,H,Syracuse,Big East,Greg Robinson,W,30,10,28,44,272,2,31,140,1,13,12,10,107,1,1
2008-12-06,Cincinnati,Big East,Brian Kelly,A,Hawaii,WAC,Greg McMackin,W,29,24,16,28,183,2,33,139,0,7,6,6,58,1,2
2009-01-01,Cincinnati,Big East,Brian Kelly,N,Virginia Tech,ACC,Frank Beamer,L,7,20,16,33,239,1,21,71,0,11,3,3,30,0,4
2008-09-06,Arizona State,Pac-10,Dennis Erickson,H,Stanford,Pac-10,Jim Harbaugh,W,41,17,27,36,345,3,36,127,2,17,8,10,107,1,1
2008-09-13,Arizona State,Pac-10,Dennis Erickson,H,Nevada-Las Vegas,MWC,Mike Sanford,L,20,23,13,23,242,2,36,131,0,8,9,4,35,0,1
2008-09-20,Arizona State,Pac-10,Dennis Erickson,H,Georgia,SEC,Mark Richt,L,10,27,23,36,208,1,19,4,0,10,1,6,50,1,0
2008-10-04,Arizona State,Pac-10,Dennis Erickson,A,California,Pac-10,Jeff Tedford,L,14,24,20,35,165,1,32,71,1,9,5,7,45,1,2
2008-10-11,Arizona State,Pac-10,Dennis Erickson,A,USC,Pac-10,Pete Carroll,L,0,28,15,37,154,0,36,75,0,7,5,9,58,1,3
2008-10-25,Arizona State,Pac-10,Dennis Erickson,H,Oregon,Pac-10,Mike Bellotti,L,20,54,24,45,226,2,32,107,1,10,7,5,62,1,2
2008-11-01,Arizona State,Pac-10,Dennis Erickson,A,Oregon State,Pac-10,Mike Riley,L,25,27,15,28,217,1,32,78,0,8,6,10,80,0,0
2008-11-08,Arizona State,Pac-10,Dennis Erickson,A,Washington,Pac-10,Tyrone Willingham,W,39,19,22,31,218,2,40,182,1,9,10,12,92,1,0
2008-11-15,Arizona State,Pac-10,Dennis Erickson,H,Washington State,Pac-10,Paul Wulff,W,31,0,20,31,257,3,36,141,0,11,8,10,104,0,0
2008-11-28,Arizona State,Pac-10,Dennis Erickson,H,UCLA,Pac-10,Rick Neuheisel,W,34,9,13,26,101,0,24,21,0,4,3,7,56,0,1
2008-12-06,Arizona State,Pac-10,Dennis Erickson,A,Arizona,Pac-10,Mike Stoops,L,10,31,13,31,124,1,23,38,0,6,4,8,61,0,1
