Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1903-10-10,North Carolina,Ind,H.B. Olcott,A,South Carolina,Ind,C.R. Williams,W,17,0
1903-10-17,North Carolina,Ind,H.B. Olcott,N,Georgetown,Ind,Phil King,L,0,33
1903-11-07,North Carolina,Ind,H.B. Olcott,N,Virginia Tech,Ind,C.A. Lueder,L,0,21
1903-11-14,North Carolina,Ind,H.B. Olcott,H,Clemson,Ind,John Heisman,W,11,6
1903-11-25,North Carolina,Ind,H.B. Olcott,A,Virginia,Ind,Gresham Poe,W,16,0
1903-09-26,Dickinson,Ind,Charles Hutchins,A,Pennsylvania,Ind,,L,0,27
1903-10-10,Dickinson,Ind,Charles Hutchins,A,Army,Ind,Edward King,L,0,12
1903-10-17,Dickinson,Ind,Charles Hutchins,A,Navy,Ind,,L,0,5
1903-10-31,Dickinson,Ind,Charles Hutchins,A,Lehigh,Ind,Samuel Newton,L,0,17
1903-11-14,Dickinson,Ind,Charles Hutchins,N,Penn State,Ind,Daniel Reed,W,6,0
1903-11-26,Dickinson,Ind,Charles Hutchins,A,Lafayette,Ind,,W,35,0
1903-10-03,Indiana,Western,James Horne,A,Chicago,Western,Amos Alonzo Stagg,L,0,34
1903-10-17,Indiana,Western,James Horne,A,Michigan,Western,Fielding Yost,L,0,51
1903-11-06,Indiana,Western,James Horne,H,Illinois,Western,George Woodruff,W,17,0
1903-09-30,Yale,Ind,George Chadwick,H,Tufts,Ind,Charles Whelan,W,19,0
1903-10-03,Yale,Ind,George Chadwick,H,Vermont,Ind,,W,46,0
1903-10-07,Yale,Ind,George Chadwick,H,Wesleyan (CT),Ind,Howard Reiter,W,33,0
1903-10-14,Yale,Ind,George Chadwick,H,Holy Cross,Ind,Frank Cavanaugh,W,36,10
1903-10-17,Yale,Ind,George Chadwick,H,Penn State,Ind,Daniel Reed,W,27,0
1903-10-24,Yale,Ind,George Chadwick,A,Army,Ind,Edward King,W,17,5
1903-10-31,Yale,Ind,George Chadwick,H,Columbia,Ind,William Morley,W,25,0
1903-11-14,Yale,Ind,George Chadwick,H,Princeton,Ind,,L,6,11
1903-11-21,Yale,Ind,George Chadwick,A,Harvard,Ind,John Cranston,W,16,0
1903-10-10,Iowa State,Ind,,A,Minnesota,Western,Henry Williams,L,0,46
1903-11-07,Iowa State,Ind,,A,Grinnell,Ind,Martin Bergen,W,41,6
1903-11-14,Iowa State,Ind,,A,Simpson,Ind,Graham Reid,W,11,2
1903-11-20,Iowa State,Ind,,A,Cornell College,Ind,,W,41,0
1903-11-26,Iowa State,Ind,,A,Drake,Ind,W.J. Monilaw,W,16,0
1903-10-03,Carlisle,Ind,Pop Warner,N,Bucknell,Ind,George Hoskins,W,12,0
1903-10-17,Carlisle,Ind,Pop Warner,A,Princeton,Ind,,L,0,11
1903-10-24,Carlisle,Ind,Pop Warner,H,Swarthmore,Ind,George Brooke,W,12,5
1903-10-31,Carlisle,Ind,Pop Warner,A,Harvard,Ind,John Cranston,L,11,12
1903-11-07,Carlisle,Ind,Pop Warner,A,Georgetown,Ind,Phil King,W,28,6
1903-11-14,Carlisle,Ind,Pop Warner,A,Pennsylvania,Ind,,W,16,6
1903-11-21,Carlisle,Ind,Pop Warner,A,Virginia,Ind,Gresham Poe,T,6,6
1903-11-26,Carlisle,Ind,Pop Warner,A,Northwestern,Western,Walter McCornack,W,28,0
1903-10-03,Grinnell,Ind,Martin Bergen,A,Minnesota,Western,Henry Williams,L,0,39
1903-10-12,Grinnell,Ind,Martin Bergen,A,Missouri,Ind,John McLean,W,15,6
1903-10-17,Grinnell,Ind,Martin Bergen,A,Simpson,Ind,Graham Reid,W,24,5
1903-10-24,Grinnell,Ind,Martin Bergen,H,Iowa,Western,John Chalmers,L,0,17
1903-10-31,Grinnell,Ind,Martin Bergen,A,Cornell College,Ind,,W,15,10
1903-11-07,Grinnell,Ind,Martin Bergen,H,Iowa State,Ind,,L,6,41
1903-11-14,Grinnell,Ind,Martin Bergen,H,Drake,Ind,W.J. Monilaw,L,0,32
1903-10-03,Knox,Ind,,A,Illinois,Western,George Woodruff,L,5,29
1903-10-24,Knox,Ind,,A,Wisconsin,Western,Arthur Curtis,L,6,54
1903-11-03,Knox,Ind,,A,Lombard,Ind,,L,0,6
1903-11-07,Knox,Ind,,A,Nebraska,Ind,Walter Booth,L,5,33
1903-11-26,Knox,Ind,,N,Beloit,Ind,John Hollister,W,23,0
1903-10-17,Georgia Tech,Ind,,H,Clemson,Ind,John Heisman,L,0,73
1903-10-24,Georgia Tech,Ind,,H,Georgia,Ind,Marvin Dickinson,L,0,38
1903-11-14,Georgia Tech,Ind,,H,Auburn,Ind,Billy Bates,L,5,10
1903-11-21,Georgia Tech,Ind,,A,Tennessee,Ind,H.E. Fisher,L,0,11
1903-11-26,Georgia Tech,Ind,,H,South Carolina,Ind,C.R. Williams,L,0,16
1903-09-26,Haskell,Ind,,A,Colorado College,Ind,E.S. Merrill,W,45,0
1903-10-09,Haskell,Ind,,A,Texas,Ind,Ralph Hutchinson,W,6,0
1903-10-17,Haskell,Ind,,A,Nebraska,Ind,Walter Booth,L,0,16
1903-10-24,Haskell,Ind,,A,Kansas,Ind,Harrison Weeks,W,12,6
1903-10-31,Haskell,Ind,,N,Missouri,Ind,John McLean,W,12,0
1903-11-07,Haskell,Ind,,A,Chicago,Western,Amos Alonzo Stagg,L,11,17
1903-11-26,Haskell,Ind,,A,Denver,Ind,,W,12,5
1903-10-03,Georgetown,Ind,Phil King,A,Princeton,Ind,,L,0,5
1903-10-17,Georgetown,Ind,Phil King,N,North Carolina,Ind,H.B. Olcott,W,33,0
1903-10-28,Georgetown,Ind,Phil King,A,Navy,Ind,,W,12,5
1903-11-07,Georgetown,Ind,Phil King,H,Carlisle,Ind,Pop Warner,L,6,28
1903-11-26,Georgetown,Ind,Phil King,H,Lehigh,Ind,Samuel Newton,L,6,12
1903-10-03,Army,Ind,Edward King,H,Tufts,Ind,Charles Whelan,W,17,0
1903-10-10,Army,Ind,Edward King,H,Dickinson,Ind,Charles Hutchins,W,12,0
1903-10-17,Army,Ind,Edward King,H,Harvard,Ind,John Cranston,L,0,5
1903-10-24,Army,Ind,Edward King,H,Yale,Ind,George Chadwick,L,5,17
1903-10-31,Army,Ind,Edward King,H,Vermont,Ind,,W,32,0
1903-11-14,Army,Ind,Edward King,H,Chicago,Western,Amos Alonzo Stagg,W,10,6
1903-11-28,Army,Ind,Edward King,N,Navy,Ind,,W,40,5
1903-10-10,Penn State,Ind,Daniel Reed,A,Pennsylvania,Ind,,L,0,39
1903-10-17,Penn State,Ind,Daniel Reed,A,Yale,Ind,George Chadwick,L,0,27
1903-10-31,Penn State,Ind,Daniel Reed,A,Navy,Ind,,W,17,0
1903-11-14,Penn State,Ind,Daniel Reed,N,Dickinson,Ind,Charles Hutchins,L,0,6
1903-09-26,Wesleyan (CT),Ind,Howard Reiter,A,Columbia,Ind,William Morley,L,0,10
1903-10-03,Wesleyan (CT),Ind,Howard Reiter,A,Brown,Ind,D.S. Fultz,L,0,11
1903-10-07,Wesleyan (CT),Ind,Howard Reiter,A,Yale,Ind,George Chadwick,L,0,33
1903-10-10,Wesleyan (CT),Ind,Howard Reiter,H,Holy Cross,Ind,Frank Cavanaugh,L,5,11
1903-10-14,Wesleyan (CT),Ind,Howard Reiter,A,Harvard,Ind,John Cranston,L,6,17
1903-10-31,Wesleyan (CT),Ind,Howard Reiter,A,Dartmouth,Ind,Fred Folsom,L,6,34
1903-11-07,Wesleyan (CT),Ind,Howard Reiter,A,Williams,Ind,,T,5,5
1903-09-26,Dartmouth,Ind,Fred Folsom,H,Massachusetts,Ind,James Halligan,W,12,0
1903-10-03,Dartmouth,Ind,Fred Folsom,H,Holy Cross,Ind,Frank Cavanaugh,W,18,0
1903-10-07,Dartmouth,Ind,Fred Folsom,A,Vermont,Ind,,W,36,0
1903-10-17,Dartmouth,Ind,Fred Folsom,A,Williams,Ind,,W,17,0
1903-10-24,Dartmouth,Ind,Fred Folsom,A,Princeton,Ind,,L,0,17
1903-10-31,Dartmouth,Ind,Fred Folsom,H,Wesleyan (CT),Ind,Howard Reiter,W,34,6
1903-11-07,Dartmouth,Ind,Fred Folsom,A,Amherst,Ind,Harry Smith,W,18,0
1903-11-14,Dartmouth,Ind,Fred Folsom,A,Harvard,Ind,John Cranston,W,11,0
1903-11-26,Dartmouth,Ind,Fred Folsom,N,Brown,Ind,D.S. Fultz,W,62,0
1903-09-26,Princeton,Ind,,H,Swarthmore,Ind,George Brooke,W,34,0
1903-10-03,Princeton,Ind,,H,Georgetown,Ind,Phil King,W,5,0
1903-10-10,Princeton,Ind,,A,Brown,Ind,D.S. Fultz,W,29,0
1903-10-14,Princeton,Ind,,H,Lehigh,Ind,Samuel Newton,W,12,0
1903-10-17,Princeton,Ind,,H,Carlisle,Ind,Pop Warner,W,11,0
1903-10-21,Princeton,Ind,,H,Bucknell,Ind,George Hoskins,W,17,0
1903-10-24,Princeton,Ind,,H,Dartmouth,Ind,Fred Folsom,W,17,0
1903-10-31,Princeton,Ind,,H,Cornell,Ind,,W,44,0
1903-11-07,Princeton,Ind,,H,Lafayette,Ind,,W,11,0
1903-11-14,Princeton,Ind,,A,Yale,Ind,George Chadwick,W,11,6
1903-10-03,Vanderbilt,Ind,J.H. Henry,H,Cumberland,Ind,,L,0,6
1903-10-10,Vanderbilt,Ind,J.H. Henry,H,Alabama,Ind,W.B. Blount,W,30,0
1903-10-17,Vanderbilt,Ind,J.H. Henry,H,Tennessee,Ind,H.E. Fisher,W,40,0
1903-10-31,Vanderbilt,Ind,J.H. Henry,A,Georgia,Ind,Marvin Dickinson,W,33,0
1903-11-06,Vanderbilt,Ind,J.H. Henry,A,Texas,Ind,Ralph Hutchinson,T,5,5
1903-11-14,Vanderbilt,Ind,J.H. Henry,H,Washington (MO),Ind,L.W. Boynton,W,41,0
1903-11-21,Vanderbilt,Ind,J.H. Henry,H,Sewanee,Ind,George Whitney,W,10,5
1903-09-26,Colorado College,Ind,E.S. Merrill,H,Haskell,Ind,,L,0,45
1903-10-24,Colorado College,Ind,E.S. Merrill,H,Denver,Ind,,W,6,0
1903-11-03,Colorado College,Ind,E.S. Merrill,H,Colorado State,Ind,Matt Rothwell,L,5,8
1903-11-14,Colorado College,Ind,E.S. Merrill,A,Colorado,Ind,David Cropp,L,6,31
1903-11-26,Colorado College,Ind,E.S. Merrill,H,Colorado Mines,Ind,,L,5,16
1903-10-23,Auburn,Ind,Billy Bates,N,Alabama,Ind,W.B. Blount,L,6,18
1903-10-31,Auburn,Ind,Billy Bates,H,Sewanee,Ind,George Whitney,L,0,47
1903-11-14,Auburn,Ind,Billy Bates,A,Georgia Tech,Ind,,W,10,5
1903-11-26,Auburn,Ind,Billy Bates,A,Georgia,Ind,Marvin Dickinson,L,13,22
1903-10-03,Northwestern,Western,Walter McCornack,H,Lombard,Ind,,W,23,0
1903-10-10,Northwestern,Western,Walter McCornack,A,Washington (MO),Ind,L.W. Boynton,W,23,0
1903-10-17,Northwestern,Western,Walter McCornack,A,Chicago,Western,Amos Alonzo Stagg,T,0,0
1903-10-31,Northwestern,Western,Walter McCornack,A,Illinois,Western,George Woodruff,W,12,11
1903-11-21,Northwestern,Western,Walter McCornack,H,Wisconsin,Western,Arthur Curtis,T,6,6
1903-11-26,Northwestern,Western,Walter McCornack,H,Carlisle,Ind,Pop Warner,L,0,28
