Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,FieldGoals,FieldGoalAttempts,ThreePointers,ThreePointerAttempts,FreeThrows,FreeThrowAttempts,OffensiveRebounds,TeamRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,OpponentFieldGoals,OpponentFieldGoalAttempts,OpponentThreePointers,OpponentThreePointerAttempts,OpponentFreeThrows,OpponentFreeThrowAttempts,OpponentOffensiveRebounds,OpponentTeamRebounds,OpponentAssists,OpponentSteals,OpponentBlocks,OpponentTurnovers,OpponentPersonalFouls
2020-11-25,Washington State,Pac-12,Kyle Smith,H,Texas Southern,SWAC,Johnny Jones,W,56,52,14,50,5,28,23,31,8,40,8,4,3,16,16,18,61,5,19,11,13,9,41,7,11,3,17,28
2020-11-28,Washington State,Pac-12,Kyle Smith,H,Eastern Washington,Big Sky,Shantay Legans,W,71,68,27,68,10,30,7,10,10,40,15,7,2,12,20,24,58,9,29,11,16,6,34,14,4,1,14,15
2020-12-02,Washington State,Pac-12,Kyle Smith,H,Oregon State,Pac-12,Wayne Tinkle,W,59,55,19,58,7,18,14,19,8,34,11,9,5,14,17,21,59,7,25,6,12,14,39,13,4,7,17,20
2020-12-09,Washington State,Pac-12,Kyle Smith,H,Idaho,Big Sky,Zac Claus,W,61,58,20,47,5,11,16,26,7,37,12,8,6,17,14,23,61,7,22,5,9,3,25,12,8,1,14,22
2020-12-13,Washington State,Pac-12,Kyle Smith,H,Portland State,Big Sky,Barret Peery,W,69,60,24,51,7,21,14,24,4,33,14,5,5,13,18,20,66,4,19,16,18,13,35,5,8,3,12,22
2020-12-18,Washington State,Pac-12,Kyle Smith,H,Montana State,Big Sky,Danny Sprinkle,W,82,54,28,57,7,20,19,24,9,46,10,5,4,12,22,15,56,6,23,18,26,5,23,11,2,3,10,19
2020-12-21,Washington State,Pac-12,Kyle Smith,H,Prairie View,SWAC,Byron Smith,W,90,62,30,62,13,27,17,24,17,46,17,9,4,15,12,25,64,4,24,8,12,10,28,14,7,5,13,20
2020-12-23,Washington State,Pac-12,Kyle Smith,H,Northwestern State,Southland,Mike McConathy,W,62,52,18,55,3,23,23,35,13,49,6,5,6,15,13,20,67,8,25,4,7,9,35,10,8,2,13,23
2021-01-02,Washington State,Pac-12,Kyle Smith,H,Arizona,Pac-12,Sean Miller,L,82,86,28,69,7,28,19,37,13,45,11,6,4,14,22,28,75,5,22,25,32,13,49,12,8,4,11,29
2021-01-07,Washington State,Pac-12,Kyle Smith,A,California,Pac-12,Mark Fox,W,71,60,23,52,7,18,18,23,8,38,11,5,3,14,19,20,58,5,21,15,22,6,25,12,8,2,7,20
2021-01-09,Washington State,Pac-12,Kyle Smith,N,Stanford,Pac-12,Jerod Haase,L,60,75,21,56,11,24,7,11,11,28,12,7,4,17,19,28,57,3,17,16,21,8,32,10,10,3,10,15
