Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1964-09-19,North Carolina,ACC,James Hickey,H,North Carolina State,ACC,Earle Edwards,L,13,14
1964-09-26,North Carolina,ACC,James Hickey,H,Michigan State,Big Ten,Duffy Daugherty,W,21,15
1964-10-03,North Carolina,ACC,James Hickey,H,Wake Forest,ACC,William Tate,W,23,0
1964-10-10,North Carolina,ACC,James Hickey,A,LSU,SEC,Charles McClendon,L,3,20
1964-10-17,North Carolina,ACC,James Hickey,N,Maryland,ACC,Thomas Nugent,L,9,10
1964-10-24,North Carolina,ACC,James Hickey,H,South Carolina,ACC,Marvin Bass,W,24,6
1964-10-31,North Carolina,ACC,James Hickey,A,Georgia,SEC,Vince Dooley,L,8,24
1964-11-07,North Carolina,ACC,James Hickey,A,Clemson,ACC,Frank Howard,W,29,0
1964-11-14,North Carolina,ACC,James Hickey,A,Virginia,ACC,William Elias,L,27,31
1964-11-21,North Carolina,ACC,James Hickey,H,Duke,ACC,Bill Murray,W,21,15
1964-09-19,Miami (OH),MAC,Bo Schembechler,A,Xavier,Ind,Edward Biles,T,7,7
1964-09-26,Miami (OH),MAC,Bo Schembechler,A,Marshall,MAC,Charlie Snyder,W,21,0
1964-10-03,Miami (OH),MAC,Bo Schembechler,H,Western Michigan,MAC,Bill Doolittle,W,35,0
1964-10-10,Miami (OH),MAC,Bo Schembechler,A,Kent State,MAC,Leo Strang,W,17,14
1964-10-17,Miami (OH),MAC,Bo Schembechler,A,Northwestern,Big Ten,Alex Agase,W,28,27
1964-10-24,Miami (OH),MAC,Bo Schembechler,A,Ohio,MAC,Bill Hess,L,7,10
1964-10-31,Miami (OH),MAC,Bo Schembechler,H,Bowling Green State,MAC,Doyt Perry,L,18,21
1964-11-07,Miami (OH),MAC,Bo Schembechler,A,Toledo,MAC,Frank Lauterbur,W,35,14
1964-11-14,Miami (OH),MAC,Bo Schembechler,H,Dayton,Ind,William Ankney,W,28,21
1964-11-21,Miami (OH),MAC,Bo Schembechler,A,Cincinnati,MVC,Charles Studley,L,14,28
1964-09-26,Indiana,Big Ten,Phil Dickens,H,Northwestern,Big Ten,Alex Agase,L,13,14
1964-10-03,Indiana,Big Ten,Phil Dickens,A,Ohio State,Big Ten,Woody Hayes,L,9,17
1964-10-10,Indiana,Big Ten,Phil Dickens,H,Iowa,Big Ten,Jerry Burns,L,20,21
1964-10-17,Indiana,Big Ten,Phil Dickens,H,Michigan State,Big Ten,Duffy Daugherty,W,27,20
1964-10-23,Indiana,Big Ten,Phil Dickens,A,Miami (FL),Ind,Charlie Tate,W,28,14
1964-10-31,Indiana,Big Ten,Phil Dickens,H,Minnesota,Big Ten,Murray Warmath,L,0,21
1964-11-07,Indiana,Big Ten,Phil Dickens,A,Oregon State,AAWU,Tommy Prothro,L,14,24
1964-11-14,Indiana,Big Ten,Phil Dickens,H,Oregon,AAWU,Len Casanova,L,21,29
1964-11-21,Indiana,Big Ten,Phil Dickens,A,Purdue,Big Ten,Jack Mollenkopf,L,22,28
1964-09-19,Florida State,Ind,Bill Peterson,A,Miami (FL),Ind,Charlie Tate,W,14,0
1964-09-26,Florida State,Ind,Bill Peterson,A,Texas Christian,SWC,Abe Martin,W,10,0
1964-10-03,Florida State,Ind,Bill Peterson,H,New Mexico State,Ind,Warren Woodson,W,36,0
1964-10-10,Florida State,Ind,Bill Peterson,H,Kentucky,SEC,Charley Bradshaw,W,48,6
