Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1947-09-27,North Carolina,Southern,Carl Snavely,H,Georgia,SEC,Wallace Butts,W,14,7
1947-10-04,North Carolina,Southern,Carl Snavely,A,Texas,SWC,Blair Cherry,L,0,34
1947-10-11,North Carolina,Southern,Carl Snavely,H,Wake Forest,Southern,D.C. Walker,L,7,19
1947-10-18,North Carolina,Southern,Carl Snavely,A,William & Mary,Southern,Rube McCray,W,13,7
1947-10-25,North Carolina,Southern,Carl Snavely,A,Florida,SEC,Raymond Wolf,W,35,7
1947-11-01,North Carolina,Southern,Carl Snavely,H,Tennessee,SEC,Bob Neyland,W,20,6
1947-11-08,North Carolina,Southern,Carl Snavely,H,North Carolina State,Southern,Beattie Feathers,W,41,6
1947-11-15,North Carolina,Southern,Carl Snavely,A,Maryland,Southern,Jim Tatum,W,19,0
1947-11-22,North Carolina,Southern,Carl Snavely,A,Duke,Southern,Wallace Wade,W,21,0
1947-11-29,North Carolina,Southern,Carl Snavely,H,Virginia,Ind,Arthur Guepe,W,40,7
1947-09-27,Indiana,Western,Bo McMillin,A,Nebraska,Big 6,Bernie Masterson,W,17,0
1947-10-04,Indiana,Western,Bo McMillin,H,Wisconsin,Western,Harry Stuhldreher,T,7,7
1947-10-11,Indiana,Western,Bo McMillin,A,Iowa,Western,Edward Anderson,L,14,27
1947-10-18,Indiana,Western,Bo McMillin,H,Pitt,Ind,Walter Milligan,W,41,6
1947-10-25,Indiana,Western,Bo McMillin,A,Northwestern,Western,Robert Voigts,L,6,7
1947-11-01,Indiana,Western,Bo McMillin,A,Ohio State,Western,Wesley Fesler,W,7,0
1947-11-08,Indiana,Western,Bo McMillin,A,Michigan,Western,Fritz Crisler,L,0,35
1947-11-15,Indiana,Western,Bo McMillin,H,Marquette,Ind,Frank Murray,W,48,6
1947-11-22,Indiana,Western,Bo McMillin,H,Purdue,Western,Stuart Holcomb,W,16,14
1947-09-27,Iowa State,Big 6,Abe Stuber,H,Colorado,MSAC,Jim Yeager,L,0,7
1947-10-04,Iowa State,Big 6,Abe Stuber,A,Kansas,Big 6,George Sauer,L,7,27
1947-10-11,Iowa State,Big 6,Abe Stuber,H,Nebraska,Big 6,Bernie Masterson,L,7,14
1947-10-18,Iowa State,Big 6,Abe Stuber,A,Michigan State,Ind,Biggie Munn,L,0,20
1947-10-25,Iowa State,Big 6,Abe Stuber,H,Missouri,Big 6,Don Faurot,L,7,26
1947-11-01,Iowa State,Big 6,Abe Stuber,A,Oklahoma,Big 6,Bud Wilkinson,L,9,27
1947-11-08,Iowa State,Big 6,Abe Stuber,A,Drake,MVC,Al Kawal,W,36,6
1947-11-15,Iowa State,Big 6,Abe Stuber,H,Kansas State,Big 6,Sam Francis,W,14,0
1947-10-04,Fordham,Ind,Edward Danowski,A,Georgetown,Ind,Jack Hagerty,L,7,40
1947-10-11,Fordham,Ind,Edward Danowski,H,Penn State,Ind,Bob Higgins,L,0,75
1947-10-18,Fordham,Ind,Edward Danowski,A,Rutgers,Ind,Harvey Harman,L,6,36
1947-10-25,Fordham,Ind,Edward Danowski,A,Merchant Marine,Ind,Bill Reinhart,W,12,0
1947-11-08,Fordham,Ind,Edward Danowski,A,Boston University,Ind,Aldo Donelli,L,6,26
1947-11-22,Fordham,Ind,Edward Danowski,A,Holy Cross,Ind,John DaGrosa,L,0,48
1947-11-29,Fordham,Ind,Edward Danowski,N,New York University,Ind,Hook Mylin,T,13,13
1947-09-27,Arizona State,BIAA,Edward Doherty,A,New Mexico,BIAA,Berl Huffman,W,25,12
1947-10-18,Arizona State,BIAA,Edward Doherty,H,Northern Arizona,BIAA,Nick Ragus,W,31,7
1947-11-01,Arizona State,BIAA,Edward Doherty,H,New Mexico State,BIAA,Raymond Curfman,W,33,12
1947-11-08,Arizona State,BIAA,Edward Doherty,A,UTEP,BIAA,Jack Curtice,L,0,21
1947-11-15,Arizona State,BIAA,Edward Doherty,H,Arizona,BIAA,Miles Casteel,L,13,26
1947-11-22,Arizona State,BIAA,Edward Doherty,A,West Texas A&M,BIAA,Frank Kimbrough,L,7,35
1947-11-29,Arizona State,BIAA,Edward Doherty,A,Nevada,Ind,Joseph Sheeketski,L,13,33
1947-12-06,Arizona State,BIAA,Edward Doherty,H,Hardin-Simmons,BIAA,Warren Woodson,L,0,42
1947-09-19,Furman,Southern,Robert Smith,A,Georgia,SEC,Wallace Butts,L,7,13
1947-09-27,Furman,Southern,Robert Smith,A,Virginia Tech,Southern,Jimmy Kitts,L,6,20
1947-10-11,Furman,Southern,Robert Smith,A,South Carolina,Southern,Rex Enright,L,8,26
1947-10-17,Furman,Southern,Robert Smith,H,Citadel,Southern,Quinn Decker,W,7,0
1947-11-01,Furman,Southern,Robert Smith,A,Florida,SEC,Raymond Wolf,L,7,34
1947-11-08,Furman,Southern,Robert Smith,H,Clemson,Southern,Frank Howard,L,7,35
1947-11-22,Furman,Southern,Robert Smith,A,Georgia Tech,SEC,Bobby Dodd,L,0,51
1947-11-27,Furman,Southern,Robert Smith,H,Davidson,Southern,William Story,L,6,20
1947-09-27,Utah,MSAC,Ike Armstrong,H,Oregon State,PCC,Lon Stiner,W,7,6
1947-10-11,Utah,MSAC,Ike Armstrong,H,Brigham Young,MSAC,Edwin Kimball,W,28,6
1947-10-18,Utah,MSAC,Ike Armstrong,H,Denver,MSAC,Cac Hubbard,W,13,7
