Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1976-09-04,North Carolina,ACC,Bill Dooley,H,Miami (OH),MAC,Dick Crum,W,14,10
1976-09-11,North Carolina,ACC,Bill Dooley,A,Florida,SEC,Doug Dickey,W,24,21
1976-09-18,North Carolina,ACC,Bill Dooley,H,Northwestern,Big Ten,John Pont,W,12,0
1976-09-25,North Carolina,ACC,Bill Dooley,A,Army,Ind,Homer Smith,W,34,32
1976-10-02,North Carolina,ACC,Bill Dooley,A,Missouri,Big 8,Al Onofrio,L,3,24
1976-10-16,North Carolina,ACC,Bill Dooley,H,North Carolina State,ACC,Bo Rein,L,13,21
1976-10-23,North Carolina,ACC,Bill Dooley,H,East Carolina,Southern,Pat Dye,W,12,10
1976-10-30,North Carolina,ACC,Bill Dooley,A,Wake Forest,ACC,Chuck Mills,W,34,14
1976-11-06,North Carolina,ACC,Bill Dooley,A,Clemson,ACC,Red Parker,W,27,23
1976-11-13,North Carolina,ACC,Bill Dooley,H,Virginia,ACC,Dick Bestwick,W,31,6
1976-11-20,North Carolina,ACC,Bill Dooley,H,Duke,ACC,Mike McGee,W,39,38
1976-12-31,North Carolina,ACC,Bill Dooley,N,Kentucky,SEC,Fran Curci,L,0,21
1976-09-04,Miami (OH),MAC,Dick Crum,A,North Carolina,ACC,Bill Dooley,L,10,14
1976-09-11,Miami (OH),MAC,Dick Crum,A,Marshall,Ind,Frank Ellwood,L,16,21
1976-09-18,Miami (OH),MAC,Dick Crum,H,Ball State,MAC,Dave McClain,L,6,23
1976-09-25,Miami (OH),MAC,Dick Crum,A,Cincinnati,Ind,Tony Mason,L,0,17
1976-10-02,Miami (OH),MAC,Dick Crum,A,Purdue,Big Ten,Alex Agase,L,20,42
1976-10-16,Miami (OH),MAC,Dick Crum,A,Ohio,MAC,Bill Hess,L,14,28
1976-10-23,Miami (OH),MAC,Dick Crum,H,Bowling Green State,MAC,Don Nehlen,W,9,7
1976-10-30,Miami (OH),MAC,Dick Crum,A,Toledo,MAC,Jack Murphy,L,9,24
1976-11-06,Miami (OH),MAC,Dick Crum,H,Western Michigan,MAC,Elliot Uzelac,W,31,0
1976-11-13,Miami (OH),MAC,Dick Crum,H,Kent State,MAC,Dennis Fitzgerald,L,17,24
1976-11-20,Miami (OH),MAC,Dick Crum,H,Dayton,Ind,Ron Marciniak,W,28,8
1976-09-11,Indiana,Big Ten,Lee Corso,A,Minnesota,Big Ten,Cal Stoll,L,13,32
1976-09-18,Indiana,Big Ten,Lee Corso,H,Nebraska,Big 8,Tom Osborne,L,13,45
1976-09-25,Indiana,Big Ten,Lee Corso,A,Washington,Pac-8,Don James,W,20,13
1976-10-02,Indiana,Big Ten,Lee Corso,H,North Carolina State,ACC,Bo Rein,L,21,24
1976-10-09,Indiana,Big Ten,Lee Corso,H,Northwestern,Big Ten,John Pont,W,7,0
1976-10-16,Indiana,Big Ten,Lee Corso,A,Iowa,Big Ten,Bob Commings,W,14,7
1976-10-23,Indiana,Big Ten,Lee Corso,H,Michigan,Big Ten,Bo Schembechler,L,0,35
1976-10-30,Indiana,Big Ten,Lee Corso,H,Ohio State,Big Ten,Woody Hayes,L,7,47
1976-11-06,Indiana,Big Ten,Lee Corso,A,Michigan State,Big Ten,Darryl Rogers,L,0,23
1976-11-13,Indiana,Big Ten,Lee Corso,H,Wisconsin,Big Ten,John Jardine,W,15,14
1976-11-20,Indiana,Big Ten,Lee Corso,A,Purdue,Big Ten,Alex Agase,W,20,14
1976-09-11,Florida State,Ind,Bobby Bowden,A,Memphis,Ind,Richard Williamson,L,12,21
1976-09-18,Florida State,Ind,Bobby Bowden,A,Miami (FL),Ind,Carl Selmer,L,0,47
1976-09-25,Florida State,Ind,Bobby Bowden,A,Oklahoma,Big 8,Barry Switzer,L,9,24
1976-10-02,Florida State,Ind,Bobby Bowden,H,Kansas State,Big 8,Ellis Rainsberger,W,20,10
1976-10-09,Florida State,Ind,Bobby Bowden,A,Boston College,Ind,Joseph Yukica,W,28,9
1976-10-16,Florida State,Ind,Bobby Bowden,H,Florida,SEC,Doug Dickey,L,26,33
1976-10-23,Florida State,Ind,Bobby Bowden,A,Auburn,SEC,Doug Barfield,L,19,31
1976-10-30,Florida State,Ind,Bobby Bowden,H,Clemson,ACC,Red Parker,L,12,15
1976-11-06,Florida State,Ind,Bobby Bowden,H,Southern Mississippi,Ind,Bobby Collins,W,30,27
1976-11-13,Florida State,Ind,Bobby Bowden,A,North Texas,Ind,Hayden Fry,W,21,20
1976-11-20,Florida State,Ind,Bobby Bowden,H,Virginia Tech,Ind,Jimmy Sharpe,W,28,21
1976-09-11,Iowa State,Big 8,Earle Bruce,H,Drake,MVC,Jack Wallace,W,58,14
1976-09-18,Iowa State,Big 8,Earle Bruce,A,Air Force,Ind,Ben Martin,W,41,6
