Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2019-08-31,North Carolina,ACC,Mack Brown,N,South Carolina,SEC,Will Muschamp,W,24,20,15,24,245,2,52,238,0,12,11,10,90,1,0
2019-09-07,North Carolina,ACC,Mack Brown,H,Miami (FL),ACC,Manny Diaz,W,28,25,17,25,292,2,36,97,1,11,8,1,5,0,0
2019-09-13,North Carolina,ACC,Mack Brown,A,Wake Forest,ACC,Dave Clawson,L,18,24,18,30,189,2,37,144,0,7,7,7,43,1,0
2019-09-21,North Carolina,ACC,Mack Brown,H,Appalachian State,Sun Belt,Eli Drinkwitz,L,31,34,27,42,323,3,40,146,1,17,10,5,40,1,2
2019-09-28,North Carolina,ACC,Mack Brown,H,Clemson,ACC,Dabo Swinney,L,20,21,15,27,144,2,36,146,0,8,6,3,20,0,0
2019-10-05,North Carolina,ACC,Mack Brown,A,Georgia Tech,ACC,Geoff Collins,W,38,22,33,51,376,4,46,211,1,19,14,6,61,0,1
2019-10-19,North Carolina,ACC,Mack Brown,A,Virginia Tech,ACC,Justin Fuente,L,41,43,26,49,348,5,40,143,0,14,8,9,69,0,0
2019-10-26,North Carolina,ACC,Mack Brown,H,Duke,ACC,David Cutcliffe,W,20,17,10,26,227,2,45,205,0,10,12,4,34,1,2
2019-08-31,Miami (OH),MAC,Chuck Martin,A,Iowa,Big Ten,Kirk Ferentz,L,14,38,17,27,186,2,25,59,0,9,2,10,77,0,1
2019-09-14,Miami (OH),MAC,Chuck Martin,A,Cincinnati,American,Luke Fickell,L,13,35,10,18,143,0,40,64,1,5,7,8,55,1,0
2019-09-21,Miami (OH),MAC,Chuck Martin,A,Ohio State,Big Ten,Ryan Day,L,5,76,7,20,60,0,41,72,0,2,6,4,50,2,1
2019-09-28,Miami (OH),MAC,Chuck Martin,H,Buffalo,MAC,Lance Leipold,W,34,20,8,18,120,1,55,145,2,4,9,2,20,0,0
2019-10-12,Miami (OH),MAC,Chuck Martin,A,Western Michigan,MAC,Tim Lester,L,16,38,26,46,260,0,34,105,1,10,6,8,83,0,3
2019-10-19,Miami (OH),MAC,Chuck Martin,H,Northern Illinois,MAC,Thomas Hammock,W,27,24,15,28,273,1,32,88,2,11,3,5,33,0,0
2019-10-26,Miami (OH),MAC,Chuck Martin,A,Kent State,MAC,Sean Lewis,W,23,16,13,29,178,1,42,289,1,7,11,11,101,2,0
2019-08-31,Indiana,Big Ten,Tom Allen,N,Ball State,MAC,Mike Neu,W,34,24,24,41,326,1,33,148,2,15,10,5,65,0,2
