Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1968-09-21,North Carolina,ACC,Bill Dooley,H,North Carolina State,ACC,Earle Edwards,L,6,38
1968-09-28,North Carolina,ACC,Bill Dooley,H,South Carolina,ACC,Paul Dietzel,L,27,32
1968-10-05,North Carolina,ACC,Bill Dooley,A,Vanderbilt,SEC,Bill Pace,W,8,7
1968-10-12,North Carolina,ACC,Bill Dooley,A,Maryland,ACC,Robert Ward,L,24,33
1968-10-19,North Carolina,ACC,Bill Dooley,H,Florida,SEC,Ray Graves,W,22,7
1968-10-26,North Carolina,ACC,Bill Dooley,A,Wake Forest,ACC,William Tate,L,31,48
1968-11-02,North Carolina,ACC,Bill Dooley,A,Air Force,Ind,Ben Martin,L,15,28
1968-11-09,North Carolina,ACC,Bill Dooley,H,Virginia,ACC,George Blackburn,L,6,41
1968-11-16,North Carolina,ACC,Bill Dooley,A,Clemson,ACC,Frank Howard,L,14,24
1968-11-23,North Carolina,ACC,Bill Dooley,H,Duke,ACC,Tom Harp,W,25,14
1968-09-14,Miami (OH),MAC,Bo Schembechler,A,Xavier,Ind,Edward Biles,W,28,7
1968-09-21,Miami (OH),MAC,Bo Schembechler,A,Pacific,Ind,Doug Scovil,L,20,21
1968-09-28,Miami (OH),MAC,Bo Schembechler,H,Western Michigan,MAC,Bill Doolittle,W,28,0
1968-10-05,Miami (OH),MAC,Bo Schembechler,H,Kent State,MAC,Dave Puddington,W,24,0
1968-10-12,Miami (OH),MAC,Bo Schembechler,A,Marshall,MAC,Perry Moss,W,46,0
1968-10-19,Miami (OH),MAC,Bo Schembechler,A,Ohio,MAC,Bill Hess,L,7,24
1968-10-26,Miami (OH),MAC,Bo Schembechler,H,Bowling Green State,MAC,Don Nehlen,W,31,7
1968-11-02,Miami (OH),MAC,Bo Schembechler,A,Toledo,MAC,Frank Lauterbur,W,21,17
1968-11-09,Miami (OH),MAC,Bo Schembechler,H,Dayton,Ind,John McVay,W,14,0
1968-11-23,Miami (OH),MAC,Bo Schembechler,A,Cincinnati,MVC,Homer Rice,L,21,23
1968-09-21,Indiana,Big Ten,John Pont,H,Baylor,SWC,John Bridgers,W,40,36
1968-09-28,Indiana,Big Ten,John Pont,A,Kansas,Big 8,Pepper Rodgers,L,20,38
1968-10-05,Indiana,Big Ten,John Pont,H,Illinois,Big Ten,James Valek,W,28,14
1968-10-12,Indiana,Big Ten,John Pont,A,Iowa,Big Ten,Ray Nagel,W,38,34
1968-10-19,Indiana,Big Ten,John Pont,H,Michigan,Big Ten,Bump Elliott,L,22,27
1968-10-26,Indiana,Big Ten,John Pont,H,Arizona,WAC,Darrell Mudra,W,16,13
1968-11-02,Indiana,Big Ten,John Pont,A,Wisconsin,Big Ten,John Coatta,W,21,20
1968-11-09,Indiana,Big Ten,John Pont,A,Michigan State,Big Ten,Duffy Daugherty,W,24,22
1968-11-16,Indiana,Big Ten,John Pont,H,Minnesota,Big Ten,Murray Warmath,L,6,20
