Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2015-09-03,North Carolina,ACC,Larry Fedora,N,South Carolina,SEC,Shawn Elliott,L,13,17,19,31,232,1,32,208,0,11,8,6,30,0,3
2015-09-19,North Carolina,ACC,Larry Fedora,H,Illinois,Big Ten,Bill Cubit,W,48,14,19,26,217,3,37,254,2,10,10,6,51,0,1
2015-10-03,North Carolina,ACC,Larry Fedora,A,Georgia Tech,ACC,Paul Johnson,W,38,31,15,26,182,1,31,231,4,8,11,6,42,0,0
2015-10-17,North Carolina,ACC,Larry Fedora,H,Wake Forest,ACC,Dave Clawson,W,50,14,18,26,326,3,33,212,4,11,10,6,44,0,2
2015-10-24,North Carolina,ACC,Larry Fedora,H,Virginia,ACC,Mike London,W,26,13,21,26,226,0,38,196,3,12,11,13,135,1,1
2015-10-29,North Carolina,ACC,Larry Fedora,A,Pitt,ACC,Pat Narduzzi,W,26,19,14,23,270,2,35,174,0,8,8,3,15,0,0
2015-11-07,North Carolina,ACC,Larry Fedora,H,Duke,ACC,David Cutcliffe,W,66,31,28,40,537,4,40,167,5,17,9,5,39,0,0
2015-11-14,North Carolina,ACC,Larry Fedora,H,Miami (FL),ACC,Larry Scott,W,59,21,16,22,189,1,46,298,6,10,15,5,56,0,0
2015-11-21,North Carolina,ACC,Larry Fedora,A,Virginia Tech,ACC,Frank Beamer,W,30,27,13,26,205,1,47,240,3,9,12,9,60,3,0
2015-11-28,North Carolina,ACC,Larry Fedora,A,North Carolina State,ACC,Dave Doeren,W,45,34,20,31,179,2,41,374,4,9,14,3,30,2,1
2015-12-05,North Carolina,ACC,Larry Fedora,N,Clemson,ACC,Dabo Swinney,L,37,45,12,35,240,3,32,142,2,10,7,6,44,1,1
2015-12-29,North Carolina,ACC,Larry Fedora,N,Baylor,Big 12,Art Briles,L,38,49,22,36,243,3,36,244,2,15,10,5,34,1,1
2015-09-12,Miami (OH),MAC,Chuck Martin,A,Wisconsin,Big Ten,Paul Chryst,L,0,58,13,34,160,0,24,-3,0,8,0,7,72,1,3
2015-09-19,Miami (OH),MAC,Chuck Martin,H,Cincinnati,American,Tommy Tuberville,L,33,37,14,34,228,4,41,220,0,7,9,6,50,0,1
2015-09-26,Miami (OH),MAC,Chuck Martin,A,Western Kentucky,CUSA,Jeff Brohm,L,14,56,15,28,168,2,40,123,0,9,5,6,36,1,3
2015-10-03,Miami (OH),MAC,Chuck Martin,A,Kent State,MAC,Paul Haynes,L,14,20,21,51,325,1,36,91,1,13,8,10,83,0,4
2015-10-10,Miami (OH),MAC,Chuck Martin,A,Ohio,MAC,Frank Solich,L,3,34,9,25,166,0,24,87,0,7,3,6,47,0,4
2015-10-17,Miami (OH),MAC,Chuck Martin,H,Northern Illinois,MAC,Rod Carey,L,12,45,16,33,156,1,41,153,0,6,9,9,75,1,1
2015-10-24,Miami (OH),MAC,Chuck Martin,A,Western Michigan,MAC,P.J. Fleck,L,13,35,14,27,218,0,27,58,1,9,3,8,64,2,0
2015-10-29,Miami (OH),MAC,Chuck Martin,H,Buffalo,MAC,Lance Leipold,L,24,29,13,36,224,2,31,124,0,10,6,6,53,1,0
2015-11-07,Miami (OH),MAC,Chuck Martin,H,Eastern Michigan,MAC,Chris Creighton,W,28,13,13,18,150,2,47,291,2,7,12,4,30,1,1
2015-11-14,Miami (OH),MAC,Chuck Martin,H,Akron,MAC,Terry Bowden,L,28,37,20,42,316,3,31,68,0,12,4,10,70,2,2
2015-11-21,Miami (OH),MAC,Chuck Martin,A,Massachusetts,MAC,Mark Whipple,W,20,13,12,23,160,1,46,139,1,10,7,4,30,1,0
2015-09-12,Indiana,Big Ten,Kevin Wilson,H,Florida International,CUSA,Ron Turner,W,36,22,19,33,234,1,52,205,2,10,14,11,110,0,1
2015-09-19,Indiana,Big Ten,Kevin Wilson,H,Western Kentucky,CUSA,Jeff Brohm,W,38,35,20,27,355,3,59,284,1,13,18,5,50,1,0
2015-09-26,Indiana,Big Ten,Kevin Wilson,A,Wake Forest,ACC,Dave Clawson,W,31,24,19,34,205,2,52,211,1,12,13,11,119,0,0
2015-10-03,Indiana,Big Ten,Kevin Wilson,H,Ohio State,Big Ten,Urban Meyer,L,27,34,17,36,226,0,55,176,3,11,5,7,50,0,0
2015-10-10,Indiana,Big Ten,Kevin Wilson,A,Penn State,Big Ten,James Franklin,L,7,29,15,33,155,0,33,79,1,7,7,8,65,0,1
2015-10-17,Indiana,Big Ten,Kevin Wilson,H,Rutgers,Big Ten,Kyle Flood,L,52,55,32,42,464,4,34,163,3,21,7,4,19,1,2
2015-10-24,Indiana,Big Ten,Kevin Wilson,A,Michigan State,Big Ten,Mark Dantonio,L,26,52,23,37,308,3,23,81,1,15,3,6,45,1,1
