Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1922-09-30,North Carolina,Southern,William Fetzer,N,Wake Forest,Ind,George Levene,W,62,3
1922-10-07,North Carolina,Southern,William Fetzer,A,Yale,Ind,Tad Jones,L,0,18
1922-10-12,North Carolina,Southern,William Fetzer,H,Duke,Ind,Herman Steiner,W,20,0
1922-10-14,North Carolina,Southern,William Fetzer,H,South Carolina,Southern,Sol Metzger,W,10,7
1922-10-19,North Carolina,Southern,William Fetzer,A,North Carolina State,Southern,Harry Hartsell,W,14,9
1922-10-28,North Carolina,Southern,William Fetzer,H,Maryland,Southern,Curley Byrd,W,27,3
1922-11-04,North Carolina,Southern,William Fetzer,A,Tulane,Southern,Clark Shaughnessy,W,19,12
1922-11-11,North Carolina,Southern,William Fetzer,A,Virginia Military Institute,Ind,,W,9,7
1922-11-18,North Carolina,Southern,William Fetzer,N,Davidson,Ind,Wooly Grey,W,20,6
1922-11-30,North Carolina,Southern,William Fetzer,A,Virginia,Southern,Thomas Campbell,W,10,7
1922-10-14,Indiana,Western,James Herron,H,Minnesota,Western,William Spaulding,L,0,20
1922-10-21,Indiana,Western,James Herron,A,Wisconsin,Western,J.R. Richards,L,0,20
1922-11-04,Indiana,Western,James Herron,A,Notre Dame,Ind,Knute Rockne,L,0,27
1922-11-11,Indiana,Western,James Herron,H,West Virginia,Ind,,L,0,33
1922-11-25,Indiana,Western,James Herron,A,Purdue,Western,James Phelan,T,7,7
1922-10-14,Iowa State,MVIAA,Sam Willaman,H,Missouri,MVIAA,Thomas Kelly,L,3,6
1922-10-21,Iowa State,MVIAA,Sam Willaman,A,Grinnell,MVIAA,Mal Elward,W,7,0
1922-10-28,Iowa State,MVIAA,Sam Willaman,H,Washington (MO),MVIAA,George Rider,W,13,0
1922-11-04,Iowa State,MVIAA,Sam Willaman,A,Drake,MVIAA,Ossie Solem,L,7,14
1922-11-11,Iowa State,MVIAA,Sam Willaman,A,Kansas State,MVIAA,Charlie Bachman,L,2,12
1922-11-25,Iowa State,MVIAA,Sam Willaman,A,Nebraska,MVIAA,Fred Dawson,L,6,54
1922-09-29,Furman,Ind,,H,Newberry,Ind,Dutch McLean,W,33,0
1922-10-07,Furman,Ind,,A,Florida,Southern,William Kline,W,7,6
1922-10-14,Furman,Ind,,H,Georgia,Southern,Herman Stegeman,L,0,7
1922-10-19,Furman,Ind,,N,Citadel,Ind,Carl Prause,W,28,0
1922-10-21,Furman,Ind,,A,Oglethorpe,Ind,,W,26,0
1922-10-28,Furman,Ind,,H,Richmond,Ind,Frank Dobson,L,0,13
1922-11-04,Furman,Ind,,H,Erskine,Ind,,W,67,6
1922-11-11,Furman,Ind,,A,South Carolina,Southern,Sol Metzger,L,7,27
1922-11-18,Furman,Ind,,A,Wofford,Ind,Rip Major,W,41,0
1922-11-25,Furman,Ind,,H,Clemson,Southern,Edward Stewart,W,20,6
1922-11-30,Furman,Ind,,H,Davidson,Ind,Wooly Grey,W,13,0
1922-10-14,Utah,RMC,Thomas Fitzpatrick,H,BYU,RMC,Alvin Twitchell,W,49,0
1922-10-21,Utah,RMC,Thomas Fitzpatrick,A,Colorado,RMC,Myron Witham,W,3,0
1922-10-25,Utah,RMC,Thomas Fitzpatrick,A,Wyoming,RMC,John Corbett,W,27,0
