Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1980-09-06,North Carolina,ACC,Dick Crum,H,Furman,Southern,Dick Sheridan,W,35,13
1980-09-13,North Carolina,ACC,Dick Crum,A,Texas Tech,SWC,Rex Dockery,W,9,3
1980-09-27,North Carolina,ACC,Dick Crum,H,Maryland,ACC,Jerry Claiborne,W,17,3
1980-10-04,North Carolina,ACC,Dick Crum,H,Georgia Tech,Ind,Bill Curry,W,33,0
1980-10-11,North Carolina,ACC,Dick Crum,A,Wake Forest,ACC,John Mackovic,W,27,9
1980-10-18,North Carolina,ACC,Dick Crum,H,North Carolina State,ACC,Monte Kiffin,W,28,8
1980-10-25,North Carolina,ACC,Dick Crum,H,East Carolina,Ind,Ed Emory,W,31,3
1980-11-01,North Carolina,ACC,Dick Crum,A,Oklahoma,Big 8,Barry Switzer,L,7,41
1980-11-08,North Carolina,ACC,Dick Crum,A,Clemson,ACC,Danny Ford,W,24,19
1980-11-15,North Carolina,ACC,Dick Crum,H,Virginia,ACC,Dick Bestwick,W,26,3
1980-11-22,North Carolina,ACC,Dick Crum,H,Duke,ACC,Red Wilson,W,44,21
1980-12-31,North Carolina,ACC,Dick Crum,N,Texas,SWC,Fred Akers,W,16,7
1980-09-13,Miami (OH),MAC,Tom Reed,H,Central Michigan,MAC,Herb Deromedi,L,14,15
1980-09-20,Miami (OH),MAC,Tom Reed,A,Syracuse,Ind,Frank Maloney,L,24,36
1980-09-27,Miami (OH),MAC,Tom Reed,A,Ball State,MAC,Dwight Wallace,W,42,9
1980-10-04,Miami (OH),MAC,Tom Reed,A,Purdue,Big Ten,Jim Young,L,3,28
1980-10-11,Miami (OH),MAC,Tom Reed,H,Marshall,Southern,Sonny Randle,W,34,6
1980-10-18,Miami (OH),MAC,Tom Reed,A,Ohio,MAC,Brian Burke,L,7,17
1980-10-25,Miami (OH),MAC,Tom Reed,H,Bowling Green State,MAC,Dennis Stolz,W,7,3
1980-11-01,Miami (OH),MAC,Tom Reed,A,Toledo,MAC,Chuck Stobart,L,14,17
1980-11-08,Miami (OH),MAC,Tom Reed,H,Western Michigan,MAC,Elliot Uzelac,W,34,24
1980-11-15,Miami (OH),MAC,Tom Reed,H,Kent State,MAC,Ron Blackledge,W,49,14
1980-11-22,Miami (OH),MAC,Tom Reed,A,Cincinnati,Ind,Ralph Staub,L,13,23
1980-09-13,Indiana,Big Ten,Lee Corso,H,Iowa,Big Ten,Hayden Fry,L,7,16
