Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1943-09-25,North Carolina,Southern,Tom Young,A,Georgia Tech,SEC,William Alexander,L,7,20
1943-10-02,North Carolina,Southern,Tom Young,H,Penn State,Ind,Bob Higgins,W,19,0
1943-10-16,North Carolina,Southern,Tom Young,A,Duke,Southern,,L,7,14
1943-10-30,North Carolina,Southern,Tom Young,H,North Carolina State,Southern,,W,27,13
1943-11-06,North Carolina,Southern,Tom Young,A,South Carolina,Southern,J.P. Moran,W,21,6
1943-11-13,North Carolina,Southern,Tom Young,A,Pennsylvania,Ind,George Munger,W,9,6
1943-11-20,North Carolina,Southern,Tom Young,H,Duke,Southern,,L,6,27
1943-11-27,North Carolina,Southern,Tom Young,H,Virginia,Ind,Frank Murray,W,54,7
1943-09-25,Indiana,Western,Bo McMillin,A,Northwestern,Western,Pappy Waldorf,L,6,14
1943-10-09,Indiana,Western,Bo McMillin,A,Nebraska,Big 6,Adolph Lewandowski,W,54,13
1943-10-16,Indiana,Western,Bo McMillin,A,Iowa,Western,Slip Madigan,T,7,7
1943-10-23,Indiana,Western,Bo McMillin,H,Wisconsin,Western,Harry Stuhldreher,W,34,0
1943-10-30,Indiana,Western,Bo McMillin,A,Ohio State,Western,Paul Brown,W,20,14
1943-11-06,Indiana,Western,Bo McMillin,A,Michigan,Western,Fritz Crisler,L,6,23
1943-11-13,Indiana,Western,Bo McMillin,H,Great Lakes Navy,Ind,,L,7,21
1943-11-20,Indiana,Western,Bo McMillin,H,Purdue,Western,Elmer Burnham,L,0,7
1943-10-02,Iowa State,Big 6,Mike Michalske,H,Iowa Pre-Flight,Ind,Don Faurot,L,13,33
1943-10-09,Iowa State,Big 6,Mike Michalske,A,Kansas,Big 6,Henry Shenk,W,13,6
1943-10-16,Iowa State,Big 6,Mike Michalske,H,Nebraska,Big 6,Adolph Lewandowski,W,27,6
1943-10-30,Iowa State,Big 6,Mike Michalske,A,Oklahoma,Big 6,Snorter Luster,L,7,21
1943-11-06,Iowa State,Big 6,Mike Michalske,H,Missouri,Big 6,Chauncey Simpson,L,7,25
1943-11-20,Iowa State,Big 6,Mike Michalske,H,Kansas State,Big 6,Ward Haylett,W,48,0
1943-10-09,Utah,MSAC,Ike Armstrong,A,Colorado,MSAC,Jim Yeager,L,0,35
1943-10-23,Utah,MSAC,Ike Armstrong,A,Tulsa,MVC,Henry Frnka,L,0,55
1943-11-06,Utah,MSAC,Ike Armstrong,H,Colorado,MSAC,Jim Yeager,L,19,22
1943-11-13,Utah,MSAC,Ike Armstrong,A,Colorado College,Ind,Harold White,L,0,64
1943-11-25,Utah,MSAC,Ike Armstrong,H,Saint Mary's (CA),Ind,James Phelan,L,0,34
1943-09-25,Villanova,Ind,Jordan Olivar,A,Army,Ind,Red Blaik,L,0,27
1943-10-30,Villanova,Ind,Jordan Olivar,A,Princeton,Ind,Harry Mahnken,W,45,22
1943-11-13,Villanova,Ind,Jordan Olivar,A,Holy Cross,Ind,,L,7,12
1943-11-20,Villanova,Ind,Jordan Olivar,A,Temple,Ind,Ray Morrison,W,34,7
1943-10-09,Georgia Pre-Flight,Ind,,A,Georgia Tech,SEC,William Alexander,L,7,35
1943-10-23,Georgia Pre-Flight,Ind,,A,North Carolina Pre-Flight,Ind,Frank Kimbrough,W,20,7
