Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2001-08-25,North Carolina,ACC,John Bunting,A,Oklahoma,Big 12,Bob Stoops,L,27,41,17,41,226,2,35,64,0,13,4,5,34,4,1
2001-09-01,North Carolina,ACC,John Bunting,A,Maryland,ACC,Ralph Friedgen,L,7,23,16,26,158,0,37,118,1,6,4,5,30,0,3
2001-09-08,North Carolina,ACC,John Bunting,A,Texas,Big 12,Mack Brown,L,14,44,10,30,116,0,38,95,2,5,8,14,108,0,3
2001-09-22,North Carolina,ACC,John Bunting,H,Florida State,ACC,Bobby Bowden,W,41,9,14,30,232,3,41,69,2,10,5,6,55,0,2
2001-09-29,North Carolina,ACC,John Bunting,A,North Carolina State,ACC,Chuck Amato,W,17,9,17,29,186,2,49,161,0,7,9,10,76,1,2
2001-10-06,North Carolina,ACC,John Bunting,H,East Carolina,CUSA,Steve Logan,W,24,21,21,33,278,3,48,134,0,13,10,10,78,1,0
2001-10-13,North Carolina,ACC,John Bunting,H,Virginia,ACC,Al Groh,W,30,24,13,21,243,1,56,234,1,10,11,7,59,2,1
2001-10-20,North Carolina,ACC,John Bunting,A,Clemson,ACC,Tommy Bowden,W,38,3,14,18,206,2,54,219,3,9,11,8,85,0,0
2001-11-01,North Carolina,ACC,John Bunting,A,Georgia Tech,ACC,Mac McWhorter,L,21,28,22,37,286,3,17,13,0,14,1,8,45,0,1
2001-11-10,North Carolina,ACC,John Bunting,H,Wake Forest,ACC,Jim Grobe,L,31,32,24,32,361,4,34,54,0,16,4,8,63,3,1
2001-11-17,North Carolina,ACC,John Bunting,H,Duke,ACC,Carl Franks,W,52,17,22,39,368,4,39,192,3,14,9,8,61,0,0
2001-12-01,North Carolina,ACC,John Bunting,H,SMU,WAC,Mike Cavan,W,19,10,15,27,212,1,32,162,1,8,8,9,79,1,2
2001-09-01,Miami (OH),MAC,Terry Hoeppner,A,Michigan,Big Ten,Lloyd Carr,L,13,31,22,44,223,2,29,127,0,9,8,6,55,0,3
2001-09-08,Miami (OH),MAC,Terry Hoeppner,A,Iowa,Big Ten,Kirk Ferentz,L,19,44,10,20,223,2,38,165,1,7,9,2,27,1,2
2001-09-22,Miami (OH),MAC,Terry Hoeppner,H,Cincinnati,CUSA,Rick Minter,W,21,14,20,25,264,2,43,199,1,11,9,11,80,0,0
2001-09-29,Miami (OH),MAC,Terry Hoeppner,A,Ball State,MAC,Bill Lynch,W,28,20,15,24,122,1,42,212,3,5,13,4,40,1,1
2001-10-06,Miami (OH),MAC,Terry Hoeppner,H,Buffalo,MAC,Jim Hofher,W,31,14,23,30,212,2,42,128,1,9,12,8,105,1,1
2001-10-13,Miami (OH),MAC,Terry Hoeppner,H,Akron,MAC,Lee Owens,W,30,27,23,40,399,3,34,167,1,16,6,8,75,1,1
2001-10-20,Miami (OH),MAC,Terry Hoeppner,A,Ohio,MAC,Brian Knorr,W,36,24,24,37,322,5,39,62,0,18,1,9,75,0,0
2001-10-27,Miami (OH),MAC,Terry Hoeppner,H,Western Michigan,MAC,Gary Darnell,W,25,11,18,29,215,2,42,154,0,11,7,5,40,1,2
2001-11-03,Miami (OH),MAC,Terry Hoeppner,A,Bowling Green State,MAC,Urban Meyer,W,24,21,15,25,305,2,38,109,1,11,5,9,69,0,1
2001-11-10,Miami (OH),MAC,Terry Hoeppner,H,Marshall,MAC,Bob Pruett,L,21,27,16,29,210,0,31,123,3,10,7,7,40,0,0
2001-11-17,Miami (OH),MAC,Terry Hoeppner,A,Hawaii,WAC,June Jones,L,51,52,40,53,452,3,38,164,4,27,8,16,121,0,0
2001-11-24,Miami (OH),MAC,Terry Hoeppner,A,Kent State,MAC,Dean Pees,L,20,24,20,36,238,1,31,-1,0,10,3,5,55,0,2
2001-09-06,Indiana,Big Ten,Cam Cameron,A,North Carolina State,ACC,Chuck Amato,L,14,35,19,33,170,1,34,106,1,9,8,7,36,2,0
2001-09-22,Indiana,Big Ten,Cam Cameron,H,Utah,MWC,Ron McBride,L,26,28,13,23,157,1,44,229,3,10,11,2,15,0,1
2001-09-29,Indiana,Big Ten,Cam Cameron,H,Ohio State,Big Ten,Jim Tressel,L,14,27,14,21,181,1,36,156,1,6,9,6,52,1,1
2001-10-06,Indiana,Big Ten,Cam Cameron,A,Wisconsin,Big Ten,Barry Alvarez,W,63,32,8,13,182,1,54,449,7,6,17,9,73,1,0
2001-10-13,Indiana,Big Ten,Cam Cameron,H,Illinois,Big Ten,Ron Turner,L,14,35,18,36,165,1,40,194,1,10,11,7,52,0,1
2001-10-20,Indiana,Big Ten,Cam Cameron,A,Iowa,Big Ten,Kirk Ferentz,L,28,42,14,28,160,0,56,308,4,7,20,5,39,0,0
2001-11-03,Indiana,Big Ten,Cam Cameron,H,Northwestern,Big Ten,Randy Walker,W,56,21,13,23,246,3,59,316,5,9,18,9,66,0,1
2001-11-10,Indiana,Big Ten,Cam Cameron,A,Michigan State,Big Ten,Bobby Williams,W,37,28,4,13,48,0,63,489,5,3,20,8,62,1,0
2001-11-17,Indiana,Big Ten,Cam Cameron,A,Penn State,Big Ten,Joe Paterno,L,14,28,12,24,225,0,49,298,2,9,16,9,82,0,0
2001-11-24,Indiana,Big Ten,Cam Cameron,H,Purdue,Big Ten,Joe Tiller,W,13,7,7,19,96,0,51,204,2,6,10,8,75,2,1
2001-12-01,Indiana,Big Ten,Cam Cameron,H,Kentucky,SEC,Guy Morriss,W,26,15,15,31,194,2,55,215,2,10,12,7,76,0,0
2001-09-01,Florida State,ACC,Bobby Bowden,A,Duke,ACC,Carl Franks,W,55,13,16,30,189,2,38,200,3,9,9,6,45,0,0
2001-09-08,Florida State,ACC,Bobby Bowden,H,UAB,CUSA,Watson Brown,W,29,7,15,23,246,1,41,135,2,9,9,11,110,0,0
2001-09-22,Florida State,ACC,Bobby Bowden,A,North Carolina,ACC,John Bunting,L,9,41,9,25,136,1,37,88,0,6,5,14,103,4,1
2001-09-29,Florida State,ACC,Bobby Bowden,H,Wake Forest,ACC,Jim Grobe,W,48,24,17,28,358,3,43,154,4,15,11,11,99,0,1
2001-10-13,Florida State,ACC,Bobby Bowden,H,Miami (FL),Big East,Larry Coker,L,27,49,17,37,262,1,48,214,2,13,13,11,106,2,4
2001-10-20,Florida State,ACC,Bobby Bowden,A,Virginia,ACC,Al Groh,W,43,7,14,25,230,3,58,303,1,10,16,11,88,1,2
2001-10-27,Florida State,ACC,Bobby Bowden,H,Maryland,ACC,Ralph Friedgen,W,52,31,16,27,363,5,39,134,1,13,7,7,60,0,1
2001-11-03,Florida State,ACC,Bobby Bowden,A,Clemson,ACC,Tommy Bowden,W,41,27,19,30,369,4,35,188,1,16,10,4,30,0,2
2001-11-10,Florida State,ACC,Bobby Bowden,H,North Carolina State,ACC,Chuck Amato,L,28,34,20,35,302,3,28,132,1,14,7,6,47,1,1
