Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1925-09-26,North Carolina,Southern,William Fetzer,H,Wake Forest,Ind,Hank Garrity,L,0,6
1925-10-03,North Carolina,Southern,William Fetzer,A,South Carolina,Southern,Branch Bocock,W,7,0
1925-10-10,North Carolina,Southern,William Fetzer,A,Duke,Ind,James Herron,W,41,0
1925-10-15,North Carolina,Southern,William Fetzer,A,North Carolina State,Southern,Gus Tebell,W,17,0
1925-10-24,North Carolina,Southern,William Fetzer,A,Mercer,Ind,,W,3,0
1925-10-31,North Carolina,Southern,William Fetzer,A,Maryland,Southern,Curley Byrd,W,16,0
1925-11-07,North Carolina,Southern,William Fetzer,A,Virginia Military Institute,Southern,,W,23,11
1925-11-14,North Carolina,Southern,William Fetzer,H,Davidson,Ind,Monk Younger,W,13,0
1925-11-26,North Carolina,Southern,William Fetzer,H,Virginia,Southern,Greasy Neale,T,3,3
1925-10-10,Indiana,Western,William Ingram,A,Michigan,Western,Fielding Yost,L,0,63
1925-10-17,Indiana,Western,William Ingram,H,Syracuse,Ind,Pete Reynolds,L,0,14
1925-10-31,Indiana,Western,William Ingram,A,Northwestern,Western,Glenn Thistlethwaite,L,14,17
1925-11-07,Indiana,Western,William Ingram,A,Ohio State,Western,John Wilce,L,0,7
1925-11-21,Indiana,Western,William Ingram,H,Purdue,Western,James Phelan,T,0,0
1925-10-03,Iowa State,MVIAA,Sam Willaman,A,Wisconsin,Western,George Little,L,0,30
1925-10-10,Iowa State,MVIAA,Sam Willaman,H,Kansas,MVIAA,Potsy Clark,W,20,0
1925-10-24,Iowa State,MVIAA,Sam Willaman,H,Washington (MO),MVIAA,Bob Higgins,W,28,13
1925-10-31,Iowa State,MVIAA,Sam Willaman,A,Missouri,MVIAA,Gwinn Henry,L,8,23
1925-11-07,Iowa State,MVIAA,Sam Willaman,H,Grinnell,MVIAA,Mike Hyland,T,9,9
1925-11-21,Iowa State,MVIAA,Sam Willaman,A,Drake,MVIAA,Ossie Solem,W,7,6
1925-11-26,Iowa State,MVIAA,Sam Willaman,H,Kansas State,MVIAA,Charlie Bachman,L,7,12
1925-09-26,Furman,Ind,,H,Newberry,Ind,Dutch McLean,W,27,10
1925-10-03,Furman,Ind,,A,Washington & Lee,Southern,Jimmy DeHart,W,20,15
1925-10-10,Furman,Ind,,H,Citadel,Ind,Carl Prause,W,7,0
1925-10-17,Furman,Ind,,N,Georgia,Southern,George Woodruff,L,0,21
1925-10-24,Furman,Ind,,N,Davidson,Ind,Monk Younger,W,7,0
1925-10-31,Furman,Ind,,H,Presbyterian,Ind,Walter Johnson,W,27,3
1925-11-07,Furman,Ind,,A,Mercer,Ind,,L,0,17
1925-11-14,Furman,Ind,,H,South Carolina,Southern,Branch Bocock,W,2,0
1925-11-20,Furman,Ind,,N,Wake Forest,Ind,Hank Garrity,L,0,9
1925-11-26,Furman,Ind,,H,Clemson,Southern,Bud Saunders,W,26,0
1925-10-10,Utah,RMC,Ike Armstrong,A,USC,PCC,Howard Jones,L,2,28
1925-10-24,Utah,RMC,Ike Armstrong,H,Colorado,RMC,Myron Witham,W,12,7
1925-10-31,Utah,RMC,Ike Armstrong,A,Brigham Young,RMC,C.J. Hart,W,27,0
1925-11-07,Utah,RMC,Ike Armstrong,H,Denver,RMC,Fred Dawson,W,27,0
1925-11-14,Utah,RMC,Ike Armstrong,A,Colorado College,RMC,Tefler Meade,W,20,0
1925-11-18,Utah,RMC,Ike Armstrong,A,Wyoming,RMC,William Dietz,W,7,6
1925-11-26,Utah,RMC,Ike Armstrong,H,Utah State,RMC,,L,6,10
1925-10-03,Northern Colorado,RMC,George Cooper,A,Denver,RMC,Fred Dawson,L,0,13
1925-10-10,Northern Colorado,RMC,George Cooper,H,Colorado Mines,RMC,William Courtright,L,2,6
1925-10-24,Northern Colorado,RMC,George Cooper,A,Western State,RMC,Eugene Maynor,L,7,18
1925-11-07,Northern Colorado,RMC,George Cooper,A,Colorado State,RMC,Harry Hughes,L,18,43
1925-11-11,Northern Colorado,RMC,George Cooper,A,Wyoming,RMC,William Dietz,L,10,13
1925-11-21,Northern Colorado,RMC,George Cooper,H,Colorado College,RMC,Tefler Meade,L,6,10
1925-09-26,Washington & Lee,Southern,Jimmy DeHart,A,Pitt,Ind,Jock Sutherland,L,0,28
1925-10-03,Washington & Lee,Southern,Jimmy DeHart,H,Furman,Ind,,L,15,20
1925-10-10,Washington & Lee,Southern,Jimmy DeHart,A,Princeton,Ind,,L,6,15
1925-10-17,Washington & Lee,Southern,Jimmy DeHart,A,Kentucky,Southern,Fred Murphy,W,25,0
1925-10-24,Washington & Lee,Southern,Jimmy DeHart,N,Virginia Tech,Southern,B.C. Cubbage,W,20,0
1925-10-31,Washington & Lee,Southern,Jimmy DeHart,N,West Virginia,Ind,Rat Rogers,L,0,21
1925-11-07,Washington & Lee,Southern,Jimmy DeHart,H,Virginia,Southern,Greasy Neale,W,12,0
1925-11-14,Washington & Lee,Southern,Jimmy DeHart,A,Maryland,Southern,Curley Byrd,W,7,3
1925-11-21,Washington & Lee,Southern,Jimmy DeHart,H,North Carolina State,Southern,Gus Tebell,W,12,0
1925-11-26,Washington & Lee,Southern,Jimmy DeHart,A,Florida,Southern,Tom Sebring,L,14,17
1925-10-10,Syracuse,Ind,Pete Reynolds,H,William & Mary,Ind,J. Wilder Tasker,W,33,0
1925-10-17,Syracuse,Ind,Pete Reynolds,A,Indiana,Western,William Ingram,W,14,0
1925-10-31,Syracuse,Ind,Pete Reynolds,H,Penn State,Ind,Hugo Bezdek,W,7,0
1925-11-14,Syracuse,Ind,Pete Reynolds,H,Colgate,Ind,Dick Harlow,L,6,19
1925-11-26,Syracuse,Ind,Pete Reynolds,A,Columbia,Ind,Charles Crowley,W,16,5
1925-10-03,Montana,PCC,Click Clark,H,Washington State,PCC,Albert Exendine,L,0,9
1925-10-10,Montana,PCC,Click Clark,A,Washington,PCC,Enoch Bagshaw,L,10,30
1925-10-17,Montana,PCC,Click Clark,A,Gonzaga,Ind,,T,14,14
1925-10-31,Montana,PCC,Click Clark,A,Oregon State,PCC,Paul Schissler,L,7,27
1925-11-07,Montana,PCC,Click Clark,A,Idaho,PCC,Robert Mathews,W,20,14
1925-11-14,Montana,PCC,Click Clark,A,USC,PCC,Howard Jones,L,7,27
1925-11-28,Montana,PCC,Click Clark,A,Montana State,RMC,Ott Romney,W,28,7
1925-10-10,Penn State,Ind,Hugo Bezdek,N,Georgia Tech,Southern,William Alexander,L,7,16
1925-10-24,Penn State,Ind,Hugo Bezdek,H,Michigan State,Ind,Ralph Young,W,13,6
1925-10-31,Penn State,Ind,Hugo Bezdek,A,Syracuse,Ind,Pete Reynolds,L,0,7
1925-11-07,Penn State,Ind,Hugo Bezdek,H,Notre Dame,Ind,Knute Rockne,T,0,0
1925-11-14,Penn State,Ind,Hugo Bezdek,A,West Virginia,Ind,Rat Rogers,L,0,14
1925-11-26,Penn State,Ind,Hugo Bezdek,A,Pitt,Ind,Jock Sutherland,L,7,23
1925-10-10,Princeton,Ind,,H,Washington & Lee,Southern,Jimmy DeHart,W,15,6
