Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1977-09-10,North Carolina,ACC,Bill Dooley,A,Kentucky,SEC,Fran Curci,L,7,10
1977-09-17,North Carolina,ACC,Bill Dooley,H,Richmond,Ind,Jim Tait,W,31,0
1977-09-24,North Carolina,ACC,Bill Dooley,A,Northwestern,Big Ten,John Pont,W,41,7
1977-10-01,North Carolina,ACC,Bill Dooley,H,Texas Tech,SWC,Steve Sloan,L,7,10
1977-10-08,North Carolina,ACC,Bill Dooley,H,Wake Forest,ACC,Chuck Mills,W,24,3
1977-10-15,North Carolina,ACC,Bill Dooley,A,North Carolina State,ACC,Bo Rein,W,27,14
1977-10-22,North Carolina,ACC,Bill Dooley,H,South Carolina,Ind,Jim Carlen,W,17,0
1977-10-29,North Carolina,ACC,Bill Dooley,A,Maryland,ACC,Jerry Claiborne,W,16,7
1977-11-05,North Carolina,ACC,Bill Dooley,H,Clemson,ACC,Charley Pell,T,13,13
1977-11-12,North Carolina,ACC,Bill Dooley,A,Virginia,ACC,Dick Bestwick,W,35,14
1977-11-19,North Carolina,ACC,Bill Dooley,A,Duke,ACC,Mike McGee,W,16,3
1977-12-19,North Carolina,ACC,Bill Dooley,N,Nebraska,Big 8,Tom Osborne,L,17,21
1977-09-17,Miami (OH),MAC,Dick Crum,A,South Carolina,Ind,Jim Carlen,L,19,42
1977-09-24,Miami (OH),MAC,Dick Crum,A,Indiana,Big Ten,Lee Corso,W,21,20
1977-10-01,Miami (OH),MAC,Dick Crum,A,Yale,Ivy,Carmen Cozza,W,28,14
1977-10-08,Miami (OH),MAC,Dick Crum,H,Marshall,Southern,Frank Ellwood,W,29,19
1977-10-15,Miami (OH),MAC,Dick Crum,H,Ohio,MAC,Bill Hess,W,28,24
1977-10-22,Miami (OH),MAC,Dick Crum,A,Bowling Green State,MAC,Dennis Stolz,W,33,13
1977-10-29,Miami (OH),MAC,Dick Crum,H,Toledo,MAC,Chuck Stobart,W,27,3
1977-11-05,Miami (OH),MAC,Dick Crum,A,Western Michigan,MAC,Elliot Uzelac,W,14,8
1977-11-12,Miami (OH),MAC,Dick Crum,A,Kent State,MAC,Dennis Fitzgerald,W,25,0
1977-11-24,Miami (OH),MAC,Dick Crum,A,Cincinnati,Ind,Ralph Staub,W,12,7
1977-09-10,Indiana,Big Ten,Lee Corso,H,Wisconsin,Big Ten,John Jardine,L,14,30
1977-09-17,Indiana,Big Ten,Lee Corso,H,LSU,SEC,Charles McClendon,W,24,21
1977-09-24,Indiana,Big Ten,Lee Corso,H,Miami (OH),MAC,Dick Crum,L,20,21
1977-10-01,Indiana,Big Ten,Lee Corso,A,Nebraska,Big 8,Tom Osborne,L,13,31
1977-10-08,Indiana,Big Ten,Lee Corso,A,Northwestern,Big Ten,John Pont,W,28,3
1977-10-15,Indiana,Big Ten,Lee Corso,H,Michigan State,Big Ten,Darryl Rogers,T,13,13
1977-10-22,Indiana,Big Ten,Lee Corso,A,Illinois,Big Ten,Gary Moeller,L,7,21
1977-10-29,Indiana,Big Ten,Lee Corso,H,Minnesota,Big Ten,Cal Stoll,W,34,22
1977-11-05,Indiana,Big Ten,Lee Corso,A,Iowa,Big Ten,Bob Commings,W,24,21
1977-11-12,Indiana,Big Ten,Lee Corso,A,Ohio State,Big Ten,Woody Hayes,L,7,35
1977-11-19,Indiana,Big Ten,Lee Corso,H,Purdue,Big Ten,Jim Young,W,21,10
1977-09-10,Florida State,Ind,Bobby Bowden,A,Southern Mississippi,Ind,Bobby Collins,W,35,6
