Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1916-09-30,North Carolina,Ind,Thomas Campbell,H,Wake Forest,Ind,G.M. Billings,W,20,0
1916-10-07,North Carolina,Ind,Thomas Campbell,A,Princeton,Ind,John Rush,L,0,29
1916-10-14,North Carolina,Ind,Thomas Campbell,A,Harvard,Ind,Percy Haughton,L,0,21
1916-10-21,North Carolina,Ind,Thomas Campbell,A,Georgia Tech,Ind,John Heisman,L,6,10
1916-10-28,North Carolina,Ind,Thomas Campbell,H,Virginia Military Institute,Ind,Frank Gorton,W,38,13
1916-11-04,North Carolina,Ind,Thomas Campbell,A,Virginia Tech,Ind,Jack Ingersoll,L,7,14
1916-11-11,North Carolina,Ind,Thomas Campbell,N,Davidson,Ind,William Fetzer,W,10,6
1916-11-18,North Carolina,Ind,Thomas Campbell,H,Furman,Ind,,W,46,0
1916-11-30,North Carolina,Ind,Thomas Campbell,A,Virginia,Ind,Peyton Evans,W,7,0
1916-10-14,Indiana,Western,Jumbo Stiehm,A,Chicago,Western,Amos Alonzo Stagg,L,0,22
1916-11-04,Indiana,Western,Jumbo Stiehm,H,Northwestern,Western,Fred Murphy,L,0,7
1916-11-11,Indiana,Western,Jumbo Stiehm,A,Ohio State,Western,John Wilce,L,7,46
1916-11-18,Indiana,Western,Jumbo Stiehm,H,Florida,Ind,,W,14,3
1916-11-25,Indiana,Western,Jumbo Stiehm,A,Purdue,Western,Cleo O'Donnell,T,0,0
1916-10-14,Iowa State,MVIAA,,H,Kansas,MVIAA,Herman Olcott,W,13,0
1916-10-21,Iowa State,MVIAA,,A,Missouri,MVIAA,Henry Schulte,T,0,0
1916-11-04,Iowa State,MVIAA,,A,Nebraska,MVIAA,Edward Stewart,L,0,3
1916-11-18,Iowa State,MVIAA,,H,Iowa,Western,Howard Jones,L,16,19
1916-11-30,Iowa State,MVIAA,,H,Drake,MVIAA,Ralph Glaze,W,33,14
1916-09-30,Furman,Ind,,A,Clemson,Ind,Wayne Hart,L,6,7
1916-10-27,Furman,Ind,,A,Presbyterian,Ind,Walter Johnson,W,42,10
1916-11-04,Furman,Ind,,H,Davidson,Ind,William Fetzer,L,14,46
1916-11-11,Furman,Ind,,A,Georgia,Ind,W.A. Cunningham,L,0,49
1916-11-18,Furman,Ind,,A,North Carolina,Ind,Thomas Campbell,L,0,46
1916-11-23,Furman,Ind,,H,South Carolina,Ind,Rice Warren,W,14,0
1916-11-30,Furman,Ind,,A,Wofford,Ind,Leslie Moser,L,7,9
1916-10-28,Utah,RMC,Nelson Norgren,H,Colorado,RMC,Bob Evans,W,28,0
1916-11-11,Utah,RMC,Nelson Norgren,H,Utah State,RMC,Jack Watson,W,46,0
1916-11-18,Utah,RMC,Nelson Norgren,A,Colorado State,RMC,Harry Hughes,L,6,12
1916-11-30,Utah,RMC,Nelson Norgren,H,Colorado College,RMC,C.J. Rothget,L,6,21
1916-10-07,Washington & Lee,Ind,Jogger Elcock,A,Army,Ind,Charles Daly,L,7,14
1916-10-14,Washington & Lee,Ind,Jogger Elcock,A,Rutgers,Ind,George Sanford,T,13,13
1916-10-28,Washington & Lee,Ind,Jogger Elcock,A,Georgia Tech,Ind,John Heisman,T,7,7
1916-11-04,Washington & Lee,Ind,Jogger Elcock,A,Navy,Ind,Jonas Ingram,W,10,0
1916-11-11,Washington & Lee,Ind,Jogger Elcock,H,Bucknell,Ind,George Johnson,W,55,7
1916-11-18,Washington & Lee,Ind,Jogger Elcock,H,Washington & Jefferson,Ind,Sol Metzger,L,6,10
1916-11-30,Washington & Lee,Ind,Jogger Elcock,A,North Carolina State,Ind,,W,21,0
1916-10-21,Syracuse,Ind,William Hollenback,H,Pitt,Ind,Pop Warner,L,0,30
1916-10-28,Syracuse,Ind,William Hollenback,A,Michigan,Ind,Fielding Yost,L,13,14
1916-11-04,Syracuse,Ind,William Hollenback,N,Dartmouth,Ind,Frank Cavanaugh,L,10,15
1916-11-18,Syracuse,Ind,William Hollenback,H,Colgate,Ind,Laurence Bankart,L,0,15
1916-10-14,Haskell,Ind,,A,Notre Dame,Ind,Jesse Harper,L,0,25
1916-10-21,Haskell,Ind,,A,Wisconsin,Western,Paul Withington,L,0,13
1916-10-28,Haskell,Ind,,A,Texas A&M,SWC,E.H. Harlan,L,6,13
1916-10-07,Georgetown,Ind,,A,Navy,Ind,Jonas Ingram,L,7,13
1916-10-21,Georgetown,Ind,,H,Dartmouth,Ind,Frank Cavanaugh,W,10,0
1916-11-04,Georgetown,Ind,,H,West Virginia Wesleyan,Ind,,W,47,0
1916-11-18,Georgetown,Ind,,A,North Carolina State,Ind,,W,61,5
1916-11-25,Georgetown,Ind,,H,Bucknell,Ind,George Johnson,W,78,0
1916-12-09,Georgetown,Ind,,A,Tulane,Ind,Clark Shaughnessy,W,61,0
1916-10-07,Penn State,Ind,Dick Harlow,H,Bucknell,Ind,George Johnson,W,50,7
1916-10-14,Penn State,Ind,Dick Harlow,H,West Virginia Wesleyan,Ind,,W,39,0
1916-10-21,Penn State,Ind,Dick Harlow,A,Pennsylvania,Ind,,L,0,15
1916-11-11,Penn State,Ind,Dick Harlow,A,Lehigh,Ind,Tom Keady,W,10,7
1916-11-17,Penn State,Ind,Dick Harlow,H,Lafayette,Ind,Wilmer Crowell,W,40,0
1916-11-30,Penn State,Ind,Dick Harlow,A,Pitt,Ind,Pop Warner,L,0,31
1916-10-07,Princeton,Ind,John Rush,H,North Carolina,Ind,Thomas Campbell,W,29,0
1916-10-21,Princeton,Ind,John Rush,H,Lafayette,Ind,Wilmer Crowell,W,33,0
1916-10-28,Princeton,Ind,John Rush,H,Dartmouth,Ind,Frank Cavanaugh,W,7,3
1916-11-04,Princeton,Ind,John Rush,H,Bucknell,Ind,George Johnson,W,42,0
1916-11-11,Princeton,Ind,John Rush,A,Harvard,Ind,Percy Haughton,L,0,3
1916-11-18,Princeton,Ind,John Rush,H,Yale,Ind,Tad Jones,L,0,10
1916-10-14,Vanderbilt,Ind,Dan McGugin,A,Kentucky,Ind,J.J. Tigert,W,45,0
1916-10-21,Vanderbilt,Ind,Dan McGugin,H,Ole Miss,Ind,Fred Robbins,W,35,0
1916-10-28,Vanderbilt,Ind,Dan McGugin,H,Virginia,Ind,Peyton Evans,W,27,6
1916-11-11,Vanderbilt,Ind,Dan McGugin,A,Tennessee,Ind,John Bender,L,6,10
1916-11-18,Vanderbilt,Ind,Dan McGugin,A,Auburn,Ind,Mike Donahue,W,20,9
1916-11-25,Vanderbilt,Ind,Dan McGugin,H,Sewanee,Ind,Harris Cope,T,0,0
1916-10-21,Colorado College,RMC,C.J. Rothget,H,Colorado Mines,RMC,F.G. Carter,W,54,0
1916-10-28,Colorado College,RMC,C.J. Rothget,A,Colorado State,RMC,Harry Hughes,L,12,14
1916-11-11,Colorado College,RMC,C.J. Rothget,H,Colorado,RMC,Bob Evans,W,58,0
1916-11-18,Colorado College,RMC,C.J. Rothget,H,Denver,RMC,John Fike,W,35,13
1916-11-30,Colorado College,RMC,C.J. Rothget,A,Utah,RMC,Nelson Norgren,W,21,6
1916-10-14,Kentucky,Ind,J.J. Tigert,H,Vanderbilt,Ind,Dan McGugin,L,0,45
1916-10-21,Kentucky,Ind,J.J. Tigert,H,Sewanee,Ind,Harris Cope,T,0,0
1916-11-18,Kentucky,Ind,J.J. Tigert,H,Mississippi State,Ind,E.C. Hayes,W,13,3
1916-11-30,Kentucky,Ind,J.J. Tigert,A,Tennessee,Ind,John Bender,T,0,0
1916-10-21,California,PCC,Andy Smith,H,Oregon,PCC,Hugo Bezdek,L,14,39
1916-11-18,California,PCC,Andy Smith,H,Washington,PCC,Gilmour Dobie,L,3,13
1916-11-30,California,PCC,Andy Smith,A,Washington,PCC,Gilmour Dobie,L,7,14
1916-10-14,Florida,Ind,,A,Georgia,Ind,W.A. Cunningham,L,0,21
1916-10-21,Florida,Ind,,H,Alabama,Ind,Thomas Kelley,L,0,16
1916-10-28,Florida,Ind,,H,Tennessee,Ind,John Bender,L,0,24
1916-11-11,Florida,Ind,,H,Auburn,Ind,Mike Donahue,L,0,20
1916-11-18,Florida,Ind,,A,Indiana,Western,Jumbo Stiehm,L,3,14
1916-10-07,Presbyterian,Ind,Walter Johnson,A,Wofford,Ind,Leslie Moser,W,49,13
1916-10-14,Presbyterian,Ind,Walter Johnson,A,Citadel,Ind,Harry O'Brien,L,7,34
1916-10-27,Presbyterian,Ind,Walter Johnson,H,Furman,Ind,,L,10,42
1916-11-22,Presbyterian,Ind,Walter Johnson,A,Clemson,Ind,Wayne Hart,L,0,40
1916-11-30,Presbyterian,Ind,Walter Johnson,H,Newberry,Ind,James Driver,W,3,0
1916-09-30,Southwestern (TX),SWC,,A,Texas A&M,SWC,E.H. Harlan,L,0,6
1916-10-21,Southwestern (TX),SWC,,A,Rice,SWC,Phillip Arbuckle,L,0,54
1916-11-04,Southwestern (TX),SWC,,A,Baylor,SWC,Bubs Mosley,L,0,20
1916-11-11,Southwestern (TX),SWC,,H,Texas Christian,Ind,Milton Daniel,W,41,13
1916-11-21,Southwestern (TX),SWC,,A,Texas,SWC,Conrad Van Gent,L,3,17
1916-12-01,Southwestern (TX),SWC,,H,SMU,Ind,Ray Morrison,T,9,9
1916-10-07,Illinois,Western,Robert Zuppke,H,Kansas,MVIAA,Herman Olcott,W,30,0
1916-10-14,Illinois,Western,Robert Zuppke,H,Colgate,Ind,Laurence Bankart,L,3,15
1916-10-21,Illinois,Western,Robert Zuppke,H,Ohio State,Western,John Wilce,L,6,7
1916-10-28,Illinois,Western,Robert Zuppke,A,Purdue,Western,Cleo O'Donnell,W,14,7
1916-11-11,Illinois,Western,Robert Zuppke,A,Minnesota,Western,Henry Williams,W,14,9
1916-11-18,Illinois,Western,Robert Zuppke,H,Chicago,Western,Amos Alonzo Stagg,L,7,20
1916-11-25,Illinois,Western,Robert Zuppke,A,Wisconsin,Western,Paul Withington,T,0,0
1916-10-07,Baylor,SWC,Bubs Mosley,H,SMU,Ind,Ray Morrison,W,61,0
1916-10-28,Baylor,SWC,Bubs Mosley,A,Texas,SWC,Conrad Van Gent,W,7,3
1916-11-04,Baylor,SWC,Bubs Mosley,H,Southwestern (TX),SWC,,W,20,0
1916-11-11,Baylor,SWC,Bubs Mosley,H,Texas A&M,SWC,E.H. Harlan,L,0,3
1916-11-18,Baylor,SWC,Bubs Mosley,A,Oklahoma State,SWC,John Griffith,W,10,7
1916-11-30,Baylor,SWC,Bubs Mosley,A,Texas Christian,Ind,Milton Daniel,W,32,14
1916-09-30,SMU,Ind,Ray Morrison,A,Texas,SWC,Conrad Van Gent,L,0,74
1916-10-07,SMU,Ind,Ray Morrison,A,Baylor,SWC,Bubs Mosley,L,0,61
1916-10-14,SMU,Ind,Ray Morrison,H,Texas Christian,Ind,Milton Daniel,L,3,48
1916-10-21,SMU,Ind,Ray Morrison,A,Texas A&M,SWC,E.H. Harlan,L,0,62
1916-11-17,SMU,Ind,Ray Morrison,A,Rice,SWC,Phillip Arbuckle,L,3,146
1916-12-01,SMU,Ind,Ray Morrison,A,Southwestern (TX),SWC,,T,9,9
1916-09-30,Georgia,Ind,W.A. Cunningham,H,Citadel,Ind,Harry O'Brien,W,6,0
1916-10-07,Georgia,Ind,W.A. Cunningham,A,Clemson,Ind,Wayne Hart,W,26,0
1916-10-14,Georgia,Ind,W.A. Cunningham,H,Florida,Ind,,W,21,0
1916-10-21,Georgia,Ind,W.A. Cunningham,A,Virginia,Ind,Peyton Evans,W,13,7
1916-10-28,Georgia,Ind,W.A. Cunningham,A,Navy,Ind,Jonas Ingram,L,3,27
1916-11-04,Georgia,Ind,W.A. Cunningham,N,Auburn,Ind,Mike Donahue,L,0,3
1916-11-11,Georgia,Ind,W.A. Cunningham,H,Furman,Ind,,W,49,0
1916-11-18,Georgia,Ind,W.A. Cunningham,H,Georgia Tech,Ind,John Heisman,L,0,21
1916-11-30,Georgia,Ind,W.A. Cunningham,A,Alabama,Ind,Thomas Kelley,W,3,0
1916-09-30,Virginia,Ind,Peyton Evans,H,Davidson,Ind,William Fetzer,W,14,0
1916-10-07,Virginia,Ind,Peyton Evans,A,Yale,Ind,Tad Jones,L,3,61
1916-10-21,Virginia,Ind,Peyton Evans,H,Georgia,Ind,W.A. Cunningham,L,7,13
1916-10-28,Virginia,Ind,Peyton Evans,A,Vanderbilt,Ind,Dan McGugin,L,6,27
1916-11-04,Virginia,Ind,Peyton Evans,A,Harvard,Ind,Percy Haughton,L,0,51
1916-11-11,Virginia,Ind,Peyton Evans,H,South Carolina,Ind,Rice Warren,W,35,6
1916-11-18,Virginia,Ind,Peyton Evans,H,Virginia Military Institute,Ind,Frank Gorton,W,20,7
1916-11-30,Virginia,Ind,Peyton Evans,H,North Carolina,Ind,Thomas Campbell,L,0,7
1916-09-30,Citadel,Ind,Harry O'Brien,A,Georgia,Ind,W.A. Cunningham,L,0,6
