Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1978-09-16,North Carolina,ACC,Dick Crum,H,East Carolina,Ind,Pat Dye,W,14,10
1978-09-23,North Carolina,ACC,Dick Crum,H,Maryland,ACC,Jerry Claiborne,L,20,21
1978-09-30,North Carolina,ACC,Dick Crum,A,Pitt,Ind,Jackie Sherrill,L,16,20
1978-10-07,North Carolina,ACC,Dick Crum,H,Miami (OH),MAC,Tom Reed,L,3,7
1978-10-14,North Carolina,ACC,Dick Crum,A,Wake Forest,ACC,John Mackovic,W,34,29
1978-10-21,North Carolina,ACC,Dick Crum,H,North Carolina State,ACC,Bo Rein,L,7,34
1978-10-28,North Carolina,ACC,Dick Crum,A,South Carolina,Ind,Jim Carlen,W,24,22
1978-11-04,North Carolina,ACC,Dick Crum,A,Richmond,Ind,Jim Tait,L,18,27
1978-11-11,North Carolina,ACC,Dick Crum,A,Clemson,ACC,Danny Ford,L,9,13
1978-11-18,North Carolina,ACC,Dick Crum,H,Virginia,ACC,Dick Bestwick,W,38,20
1978-11-25,North Carolina,ACC,Dick Crum,H,Duke,ACC,Mike McGee,W,16,15
1978-09-09,Miami (OH),MAC,Tom Reed,A,Ball State,MAC,Dwight Wallace,L,14,38
1978-09-16,Miami (OH),MAC,Tom Reed,H,Central Michigan,MAC,Herb Deromedi,L,18,37
1978-09-23,Miami (OH),MAC,Tom Reed,H,Western Michigan,MAC,Elliot Uzelac,W,7,3
1978-10-07,Miami (OH),MAC,Tom Reed,A,North Carolina,ACC,Dick Crum,W,7,3
1978-10-14,Miami (OH),MAC,Tom Reed,A,Marshall,Southern,Frank Ellwood,W,29,3
1978-10-21,Miami (OH),MAC,Tom Reed,H,Bowling Green State,MAC,Dennis Stolz,W,18,7
1978-10-28,Miami (OH),MAC,Tom Reed,A,Toledo,MAC,Chuck Stobart,W,28,7
1978-11-04,Miami (OH),MAC,Tom Reed,A,Ohio,MAC,Bob Kappes,W,31,16
1978-11-11,Miami (OH),MAC,Tom Reed,H,Kent State,MAC,Ron Blackledge,W,38,13
