Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1967-09-16,North Carolina,ACC,Bill Dooley,A,North Carolina State,ACC,Earle Edwards,L,7,13
1967-09-23,North Carolina,ACC,Bill Dooley,A,South Carolina,ACC,Paul Dietzel,L,10,16
1967-09-30,North Carolina,ACC,Bill Dooley,H,Tulane,Ind,Jim Pittman,L,11,36
1967-10-07,North Carolina,ACC,Bill Dooley,H,Vanderbilt,SEC,Bill Pace,L,7,21
1967-10-14,North Carolina,ACC,Bill Dooley,A,Air Force,Ind,Ben Martin,L,8,10
1967-10-21,North Carolina,ACC,Bill Dooley,H,Maryland,ACC,Robert Ward,W,14,0
1967-10-28,North Carolina,ACC,Bill Dooley,H,Wake Forest,ACC,William Tate,L,10,20
1967-11-04,North Carolina,ACC,Bill Dooley,H,Clemson,ACC,Frank Howard,L,0,17
1967-11-11,North Carolina,ACC,Bill Dooley,A,Virginia,ACC,George Blackburn,L,17,40
1967-11-18,North Carolina,ACC,Bill Dooley,A,Duke,ACC,Tom Harp,W,20,9
1967-09-16,Miami (OH),MAC,Bo Schembechler,A,Western Michigan,MAC,Bill Doolittle,L,14,24
1967-09-23,Miami (OH),MAC,Bo Schembechler,A,Tulane,Ind,Jim Pittman,W,14,3
1967-09-30,Miami (OH),MAC,Bo Schembechler,H,Xavier,Ind,Edward Biles,L,6,7
1967-10-07,Miami (OH),MAC,Bo Schembechler,A,Kent State,MAC,Leo Strang,W,21,7
1967-10-14,Miami (OH),MAC,Bo Schembechler,H,Marshall,MAC,Charlie Snyder,W,48,6
1967-10-21,Miami (OH),MAC,Bo Schembechler,H,Ohio,MAC,Bill Hess,W,22,15
1967-10-28,Miami (OH),MAC,Bo Schembechler,A,Bowling Green State,MAC,Bob Gibson,W,9,7
1967-11-04,Miami (OH),MAC,Bo Schembechler,H,Toledo,MAC,Frank Lauterbur,L,14,24
1967-11-11,Miami (OH),MAC,Bo Schembechler,A,Dayton,Ind,John McVay,L,6,7
1967-11-18,Miami (OH),MAC,Bo Schembechler,A,Cincinnati,MVC,Homer Rice,W,27,14
1967-09-23,Indiana,Big Ten,John Pont,H,Kentucky,SEC,Charley Bradshaw,W,12,10
1967-09-30,Indiana,Big Ten,John Pont,H,Kansas,Big 8,Pepper Rodgers,W,18,15
1967-10-07,Indiana,Big Ten,John Pont,A,Illinois,Big Ten,James Valek,W,20,7
1967-10-14,Indiana,Big Ten,John Pont,H,Iowa,Big Ten,Ray Nagel,W,21,17
1967-10-21,Indiana,Big Ten,John Pont,A,Michigan,Big Ten,Bump Elliott,W,27,20
1967-10-28,Indiana,Big Ten,John Pont,A,Arizona,WAC,Darrell Mudra,W,42,7
1967-11-04,Indiana,Big Ten,John Pont,H,Wisconsin,Big Ten,John Coatta,W,14,9
1967-11-11,Indiana,Big Ten,John Pont,A,Michigan State,Big Ten,Duffy Daugherty,W,14,13
1967-11-18,Indiana,Big Ten,John Pont,A,Minnesota,Big Ten,Murray Warmath,L,7,33
1967-11-25,Indiana,Big Ten,John Pont,H,Purdue,Big Ten,Jack Mollenkopf,W,19,14
1968-01-01,Indiana,Big Ten,John Pont,A,USC,AAWU,John McKay,L,3,14
1967-09-15,Florida State,Ind,Bill Peterson,A,Houston,Ind,Bill Yeoman,L,13,33
1967-09-23,Florida State,Ind,Bill Peterson,A,Alabama,SEC,Bear Bryant,T,37,37
1967-09-30,Florida State,Ind,Bill Peterson,H,North Carolina State,ACC,Earle Edwards,L,10,20
1967-10-07,Florida State,Ind,Bill Peterson,A,Texas A&M,SWC,Gene Stallings,W,19,18
1967-10-14,Florida State,Ind,Bill Peterson,H,South Carolina,ACC,Paul Dietzel,W,17,0
1967-10-21,Florida State,Ind,Bill Peterson,H,Texas Tech,SWC,J.T. King,W,28,12
1967-10-28,Florida State,Ind,Bill Peterson,H,Mississippi State,SEC,Charles Shira,W,24,12
1967-11-04,Florida State,Ind,Bill Peterson,A,Memphis,Ind,Billy Murphy,W,26,7
1967-11-11,Florida State,Ind,Bill Peterson,H,Virginia Tech,Ind,Jerry Claiborne,W,38,15
1967-11-25,Florida State,Ind,Bill Peterson,A,Florida,SEC,Ray Graves,W,21,16
1967-12-30,Florida State,Ind,Bill Peterson,N,Penn State,Ind,Joe Paterno,T,17,17
1967-09-16,Iowa State,Big 8,Clay Stapleton,A,South Carolina,ACC,Paul Dietzel,L,3,34
1967-09-23,Iowa State,Big 8,Clay Stapleton,A,Texas Tech,SWC,J.T. King,L,0,52
1967-09-30,Iowa State,Big 8,Clay Stapleton,H,New Mexico,WAC,Bill Weeks,W,17,12
1967-10-07,Iowa State,Big 8,Clay Stapleton,A,Colorado,Big 8,Eddie Crowder,L,0,34
1967-10-14,Iowa State,Big 8,Clay Stapleton,H,Kansas State,Big 8,Vince Gibson,W,17,0
